Analista,NR,,,,,,,,,,,,
Fecha de inicio,15/12/2025 02:52 p. m.  GMT: 15/12/2025 08:52 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007222,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9905,,mg/L,0.5,0.1067,-0.0006,1,1,1,0.106,0.107,0.1069
,BLANCO,-0.0082,,mg/L,9.2,-0.0009,0.0073,1,1,1,-0.0009,-0.0009,-0.001
,BLANCO REACTIVO,0,,mg/L,7.6,-0.0053,0.0036,1,1,1,-0.005,-0.0051,-0.0057
,SA007222-001,5.8102,,mg/L,1.1,0.0259,0.0031,2.021,50,1,0.0258,0.0262,0.0256
,SA007222-002,3.148,,mg/L,1.1,0.0139,0.0048,2.008,50,1,0.0141,0.0138,0.0139
,SA007222-003,0.2493,,mg/L,38.3,0.0011,-0.0012,2,50,1,0.0016,0.0007,0.001
,SA007222-004,5.2155,,mg/L,2.7,0.023,0.0029,2.004,50,1,0.0224,0.0237,0.0229
,SA007222-005,3.8735,,mg/L,2.6,0.0172,0.0046,2.015,50,1,0.0167,0.0176,0.0173
,PATRON,1.0024,,mg/L,0.7,0.108,-0.0028,1,1,1,0.1077,0.1075,0.1089
,SA007222-006,7.6334,,mg/L,1.1,0.0339,0.0037,2.021,50,1,0.0335,0.0342,0.0341
,SA007222-007,3.9212,,mg/L,0.9,0.0174,0.0039,2.018,50,1,0.0175,0.0175,0.0173
,SA007222-008,5.1598,,mg/L,1.5,0.023,0.0042,2.02,50,1,0.0233,0.0228,0.0227
,SA007222-009,4.501,,mg/L,1.7,0.02,0.0034,2.022,50,1,0.0203,0.0197,0.0202
,SA007222-010,7.0005,,mg/L,1.5,0.031,0.0027,2.014,50,1,0.0311,0.0314,0.0305
,PATRON,0.9818,,mg/L,0.5,0.1059,-0.0032,1,1,1,0.1054,0.1064,0.1059
,BLANCO,0.0006,,mg/L,>100,0.0001,-0.0008,1,1,1,0,0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0007,1,1,1,0.0007,0.0002,0.0001
,SA007222-011,3.7202,,mg/L,4.2,0.0165,0.0066,2.017,50,1,0.0157,0.0169,0.017
,SA007222-012,3.6255,,mg/L,1.2,0.016,0.0043,2.008,50,1,0.0162,0.0161,0.0158
,SA007222-013,4.2368,,mg/L,0.1,0.0188,0.0035,2.011,50,1,0.0188,0.0188,0.0187
,SA007222-014,0.0189,,mg/L,>100,0.0001,0.0089,2.022,50,1,0.0001,0,0.0002
,SA007222-015,4.3406,,mg/L,2.5,0.0192,0.0031,2.003,50,1,0.0191,0.0187,0.0196
,PATRON,0.9941,,mg/L,1.4,0.1072,-0.0026,1,1,1,0.106,0.1068,0.1088
,SA007222-016,4.9516,,mg/L,0.6,0.0219,0.003,2.011,50,1,0.022,0.022,0.0218
,SA007222-017,4.9441,,mg/L,0.7,0.0218,0.0032,2.006,50,1,0.0218,0.0217,0.022
,SA007222-018,4.7791,,mg/L,1.3,0.0212,0.0031,2.017,50,1,0.0215,0.021,0.0212
,SA007222-019,4.9982,,mg/L,2,0.022,0.0033,2.001,50,1,0.0217,0.0219,0.0225
,SA007222-020,0.2573,,mg/L,30.4,0.0011,-0.0002,2.004,50,1,0.0011,0.0015,0.0008
,PATRON,0.995,,mg/L,1.2,0.1073,-0.0029,1,1,1,0.1087,0.1068,0.1063
,BLANCO,0.0005,,mg/L,>100,0.0001,-0.001,1,1,1,0.0005,-0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,25.3,0.0005,-0.0006,1,1,1,0.0006,0.0005,0.0004
