Analista,MVG,,,,,,,,,
Fecha de inicio,04:58 a. m. 16/12/2025  GMT: 10:58 a. m. 16/12/2025,,,,,,,,,
Hoja de trabajo,SA007225_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5052,,mg/L,1,1.7,0.0197,0.0008,1,1
Au,BLANCO,-0.0021,,mg/L,1,>100,-0.0001,-0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,27.2,-0.0018,0.0017,1,1
Au,SA007225-001,0.0794,,mg/L,1,1.4,0.0133,0.0032,30.02,7
Au,SA007225-002,0.1502,,mg/L,1,2.1,0.0252,0.0032,30.013,7
Au,SA007225-003,0.2151,,mg/L,1,0.3,0.0361,0.0025,30.004,7
Au,SA007225-004,0.5126,,mg/L,1,1.2,0.0863,0.0029,30.026,7
Au,SA007225-005,0.012,,mg/L,1,5.7,0.002,0.0034,30.023,7
Au,PATRON,0.5004,,mg/L,1,1.1,0.0195,0.0039,1,1
Au,SA007225-006,0.092,,mg/L,1,2.3,0.0154,0.0032,30.018,7
Au,SA007225-007,0.0468,,mg/L,1,3.3,0.0078,0.003,30.032,7
Au,SA007225-008,0.0004,,mg/L,1,>100,0.0001,0.0033,30,7
Au,SA007225-009,0.0905,,mg/L,1,2.2,0.0151,0.0035,30.012,7
Au,SA007225-010,0.0299,,mg/L,1,4.9,0.005,0.0034,30.009,7
Au,PATRON,0.5129,,mg/L,1,0.3,0.0205,0.0011,1,1
Au,BLANCO,0.0042,,mg/L,1,>100,0.0002,-0.0007,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,13.5,-0.0005,0.0002,1,1
Au,SA007225-011,0.1433,,mg/L,1,0.3,0.024,-0.0003,30.003,7
Au,SA007225-012,0.0015,,mg/L,1,59.9,0.0002,0,30.024,7
Au,SA007225-013,0.2414,,mg/L,1,0.8,0.0415,0.0008,30.031,7
Au,SA007225-014,0.2399,,mg/L,1,0.4,0.0412,0.0006,30.041,7
Au,SA007225-015,0.071,,mg/L,1,3.4,0.0121,0.0002,30.006,7
Au,PATRON,0.5195,,mg/L,1,0.6,0.0203,0.0003,1,1
Au,SA007225-016,0.0487,,mg/L,1,4.6,0.0081,-0.0007,30.007,7
Au,SA007225-017,0.0652,,mg/L,1,2.3,0.0109,-0.0009,30.016,7
Au,SA007225-018,0.4314,,mg/L,1,0.5,0.0722,0,30.017,7
Au,SA007225-019,0.4377,,mg/L,1,1.7,0.0732,0.0002,30.005,7
Au,SA007225-020,0.295,,mg/L,1,1,0.0495,-0.0009,30.007,7
Au,PATRON,0.4958,,mg/L,1,2.4,0.0194,0.0004,1,1
Au,BLANCO,-0.0035,,mg/L,1,90.5,-0.0001,-0.0012,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,0,1,1
Au,SA007225-021,0.6504,,mg/L,1,1.6,0.1096,-0.0009,30.015,7
Au,PATRON,0.5111,,mg/L,1,2.6,0.02,-0.0003,1,1
Au,BLANCO,-0.0021,,mg/L,1,>100,-0.0001,-0.0011,1,1
