Analista,JS,,,,,,,,,
Fecha de inicio,06:59 a. m. 16/12/2025  GMT: 12:59 p. m. 16/12/2025,,,,,,,,,
Hoja de trabajo,SA007226_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5103,,mg/L,1,0.9,0.0198,0.0018,1,1
Au,BLANCO,0.0034,,mg/L,1,36.6,0.0001,-0.0001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,30.1,0.0004,-0.001,1,1
Au,SA007226-001,0.5522,,mg/L,1,0.9,0.0813,-0.0011,30.005,7
Au,SA007226-002,0.5575,,mg/L,1,0.5,0.0822,-0.0015,30.026,7
Au,SA007226-003,0.0066,,mg/L,1,33,0.001,-0.0004,30.03,7
Au,SA007226-004,0.4722,,mg/L,1,1.1,0.0696,-0.0009,30.003,7
Au,PATRON,0.4997,,mg/L,1,1.6,0.0172,-0.0002,1,1
Au,SA007226-006,0.0457,,mg/L,1,3.9,0.0068,-0.0008,30.032,7
Au,SA007226-007,0.1203,,mg/L,1,1.4,0.0178,-0.0006,30.033,7
Au,SA007226-008,0.3635,,mg/L,1,1.1,0.0537,-0.0009,30.031,7
Au,SA007226-009,0.1487,,mg/L,1,1.9,0.022,-0.0005,30.017,7
Au,SA007226-010,0.1566,,mg/L,1,2.8,0.0232,-0.0006,30.001,7
Au,PATRON,0.4891,,mg/L,1,2.2,0.0169,-0.0002,1,1
Au,BLANCO,-0.025,,mg/L,1,28.4,-0.0009,-0.0008,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,8.1,-0.0005,-0.001,1,1
Au,SA007226-011,0.0999,,mg/L,1,3.6,0.0148,0.0002,30.049,7
Au,SA007226-012,0.0508,,mg/L,1,3.5,0.0075,-0.0001,30.004,7
Au,SA007226-013,0.0174,,mg/L,1,11.5,0.0026,0.0002,30.028,7
Au,SA007226-014,0.1231,,mg/L,1,0.4,0.0182,0.0002,30.011,7
Au,SA007226-015,0.1593,,mg/L,1,0.3,0.0236,0.0002,30.033,7
Au,PATRON,0.4869,,mg/L,1,2.8,0.0168,0.0008,1,1
Au,SA007226-016,0.0317,,mg/L,1,6.5,0.0047,0.0003,30.006,7
Au,SA007226-017,0.8611,,mg/L,1,0.4,0.1263,-0.0011,30.019,7
Au,SA007226-018,0.3502,,mg/L,1,1.7,0.0518,-0.0013,30.046,7
Au,SA007226-019,-0.0023,,mg/L,1,47.1,-0.0003,0.0002,30,7
Au,SA007226-020,0.1384,,mg/L,1,1.5,0.0205,0,30.01,7
Au,PATRON,0.491,,mg/L,1,0.3,0.017,0.0005,1,1
Au,BLANCO,0.0112,,mg/L,1,35.4,0.0004,-0.0009,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,15.4,-0.0005,-0.001,1,1
Au,SA007226-021,0.1583,,mg/L,1,1.7,0.0234,-0.0001,30.023,7
Au,SA007226-022,0.1338,,mg/L,1,1,0.0198,0.0002,30.023,7
Au,SA007226-023,0.1488,,mg/L,1,0.8,0.022,0,30.014,7
Au,SA007226-024,0.1965,,mg/L,1,0.9,0.0291,-0.0001,30,7
Au,SA007226-025,0.1052,,mg/L,1,2.1,0.0156,-0.0001,30.036,7
Au,PATRON,0.5012,,mg/L,1,0.5,0.0173,0.0003,1,1
Au,SA007226-026,0.1705,,mg/L,1,0.8,0.0252,0.0001,30.035,7
Au,SA007226-028,0.6171,,mg/L,1,0.6,0.0908,-0.0006,30.004,7
Au,SA007226-029,0.9609,,mg/L,1,1.5,0.1407,-0.0004,30.033,7
Au,SA007226-030,0.2561,,mg/L,1,1.3,0.0379,-0.0006,30.013,7
Au,PATRON,0.4982,,mg/L,1,2,0.0172,0.0004,1,1
Au,BLANCO,-0.0045,,mg/L,1,>100,-0.0002,-0.0006,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,16.1,-0.0007,-0.0011,1,1
Au,SA007226-031,0.027,,mg/L,1,7.1,0.004,-0.0001,30.013,7
Au,SA007226-032,0.1176,,mg/L,1,3.3,0.0174,0.0004,30.035,7
Au,PATRON,0.5085,,mg/L,1,1.7,0.0176,0.0007,1,1
Au,BLANCO,0.0083,,mg/L,1,79.9,0.0003,-0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,82.3,-0.0004,-0.0012,1,1
