Analista,GGP,,,,,,,,,
Fecha de inicio,11:40 a. m. 16/12/2025  GMT: 05:40 p. m. 16/12/2025,,,,,,,,,
Hoja de trabajo,SA007236_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5116,,mg/L,1,2.1,0.0199,0.0004,1,1
Au,BLANCO,0.0011,,mg/L,1,>100,0,-0.0012,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,24,-0.0013,0.0019,1,1
Au,SA007236-001,0.124,,mg/L,1,1.7,0.0203,-0.0001,30.038,7
Au,SA007236-002,0.104,,mg/L,1,2.4,0.017,0,30.031,7
Au,SA007236-003,0.2677,,mg/L,1,1,0.0428,0.0007,30.022,7
Au,SA007236-004,0.0336,,mg/L,1,4.7,0.0051,0.0001,30.037,7
Au,SA007236-005,0.4468,,mg/L,1,0.7,0.0739,-0.0004,30.005,7
Au,PATRON,0.4702,,mg/L,1,0.2,0.017,0.0018,1,1
Au,SA007236-006,0.0578,,mg/L,1,1.9,0.0089,0.0002,30.022,7
Au,SA007236-007,0.1612,,mg/L,1,1.3,0.0253,0.0003,30.028,7
Au,SA007236-008,0.031,,mg/L,1,6.7,0.0047,0.0004,30.032,7
Au,SA007236-009,0.0498,,mg/L,1,1.7,0.0076,0.0004,30.027,7
Au,SA007236-010,0.115,,mg/L,1,0.5,0.0178,0.0006,30.014,7
Au,PATRON,0.5003,,mg/L,1,1.5,0.0191,0.0015,1,1
Au,BLANCO,0.0051,,mg/L,1,>100,0.0002,-0.0014,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,4.5,0.001,-0.0005,1,1
Au,SA007236-011,0.1776,,mg/L,1,1.1,0.0288,0.0022,30.028,7
Au,SA007236-012,0.0685,,mg/L,1,2.5,0.0111,0.002,30.034,7
Au,SA007236-013,0.3418,,mg/L,1,0.4,0.0557,0.0017,30.019,7
Au,SA007236-014,0.2208,,mg/L,1,0.1,0.0362,-0.0006,30.024,7
Au,SA007236-015,0.0527,,mg/L,1,2.5,0.0085,0.002,30.025,7
Au,PATRON,0.4982,,mg/L,1,1.2,0.0188,0.0021,1,1
Au,SA007236-016,0.6864,,mg/L,1,0.2,0.1127,0.0003,30.027,7
Au,SA007236-017,0.2229,,mg/L,1,35.2,0.0372,0.0018,30.012,7
Au,SA007236-018,0.0414,,mg/L,1,1.4,0.0063,0.0006,30.008,7
Au,SA007236-019,0.0052,,mg/L,1,11.4,0.0008,0.0009,30,7
Au,SA007236-020,0.0068,,mg/L,1,13.2,0.001,0.0009,30.008,7
Au,PATRON,0.5171,,mg/L,1,1.7,0.0187,0.0021,1,1
Au,BLANCO,0.0029,,mg/L,1,>100,0.0001,0.0017,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,29.1,-0.0006,0.0015,1,1
Au,SA007236-021,0.0593,,mg/L,1,0.6,0.0091,0.0008,30.032,7
Au,SA007236-022,0.0593,,mg/L,1,3.1,0.0091,0.0009,30.003,7
Au,SA007236-023,0.2304,,mg/L,1,0.9,0.0366,0.001,30.015,7
Au,SA007236-024,0.3974,,mg/L,1,0.3,0.0652,0.0007,30.038,7
Au,SA007236-025,0.5612,,mg/L,1,0.6,0.0947,0.0003,30.022,7
Au,PATRON,0.4871,,mg/L,1,1.1,0.0176,0.0025,1,1
Au,SA007236-026,0.2849,,mg/L,1,0.3,0.0457,0.0009,30.009,7
Au,SA007236-027,0.1066,,mg/L,1,1.6,0.0165,0.0012,30.019,7
Au,SA007236-028,0.4302,,mg/L,1,0.6,0.0709,0.0004,30.001,7
Au,SA007236-029,0.3731,,mg/L,1,1.4,0.0609,0.0008,30,7
Au,SA007236-030,0.3647,,mg/L,1,0.4,0.0595,0.0005,30.024,7
Au,PATRON,0.512,,mg/L,1,0.9,0.0195,0.0021,1,1
Au,BLANCO,0.0094,,mg/L,1,9.4,0.0003,0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,24.2,-0.0004,0.0011,1,1
Au,SA007236-031,0.2718,,mg/L,1,0.9,0.0459,0,30.038,7
Au,SA007236-032,0.1495,,mg/L,1,1.2,0.0245,0.0004,30.001,7
Au,PATRON,0.4901,,mg/L,1,1.1,0.0186,0.0015,1,1
Au,BLANCO,-0.0014,,mg/L,1,>100,-0.0001,0.0005,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,20.9,-0.0008,0.0014,1,1
