Analista,NR,,,,,,,,
Fecha de inicio,02:02 p. m. 16/12/2025  GMT: 08:02 p. m. 16/12/2025,,,,,,,,
Hoja de trabajo,SA007237_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4857,,mg/L,1,1.1,0.0175,0.0013,
Au,BLANCO,0.0059,,mg/L,1,>100,0.0002,-0.0005,
Au,BLANCO REACTIVO,0,,mg/L,1,4.4,-0.0005,0.0014,
Au,SA007237-001,0.368,,mg/L,1,0.7,0.06,-0.0003,30.02
Au,SA007237-002,0.5263,,mg/L,1,0.8,0.0882,-0.0005,30
Au,SA007237-003,0.0346,,mg/L,1,1.4,0.0053,-0.0003,30.01
Au,SA007237-004,0.0347,,mg/L,1,3.3,0.0053,-0.0001,30.03
Au,SA007237-005,0.0389,,mg/L,1,5.4,0.0059,0,30.03
Au,PATRON,0.488,,mg/L,1,2,0.0176,0.0012,
Au,SA007237-006,0.0162,,mg/L,1,15.8,0.0025,0.0003,30
Au,SA007237-007,0.0091,,mg/L,1,10,0.0014,-0.0001,30
Au,SA007237-008,0.0216,,mg/L,1,0.8,0.0033,0.0004,30
Au,SA007237-009,0.1063,,mg/L,1,1.4,0.0164,0,30.01
Au,SA007237-010,0.0054,,mg/L,1,6.9,0.0008,0.0002,30.03
Au,PATRON,0.5158,,mg/L,1,1.6,0.0187,0.0017,
Au,BLANCO,0.0007,,mg/L,1,>100,0,-0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,-0.0003,
Au,SA007237-011,0.0954,,mg/L,1,3.3,0.0147,0.0006,30
Au,SA007237-012,0.0864,,mg/L,1,2.5,0.0133,0.0006,30.02
Au,SA007237-013,0.0048,,mg/L,1,50.2,0.0007,0.0001,3
Au,SA007237-014,0.0781,,mg/L,1,2.2,0.012,0.001,30
Au,SA007237-015,0.0555,,mg/L,1,0.5,0.0085,0.0007,30.03
Au,PATRON,0.5066,,mg/L,1,2.2,0.0183,0.0016,
Au,SA007237-016,0.0459,,mg/L,1,1.2,0.007,0.0007,30
Au,SA007237-017,0.0374,,mg/L,1,3.4,0.0057,0.0004,30
Au,SA007237-018,0.0279,,mg/L,1,13.4,0.0042,0.0004,30.02
Au,SA007237-019,0.0661,,mg/L,1,0.8,0.0101,0.0005,30.02
Au,SA007237-020,0.0345,,mg/L,1,4.3,0.0053,0.0009,30.02
Au,PATRON,0.4947,,mg/L,1,2,0.0179,0.0015,
Au,BLANCO,-0.0004,,mg/L,1,>100,0,-0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0018,
Au,SA007237-021,0.0548,,mg/L,1,4.3,0.0084,0.0008,30
Au,SA007237-022,0.0341,,mg/L,1,3.9,0.0052,0.0009,30.02
Au,SA007237-023,0.1002,,mg/L,1,1,0.0155,0.0009,30
Au,SA007237-024,0.1072,,mg/L,1,0.1,0.0164,-0.0009,3
Au,SA007237-025,0.1031,,mg/L,1,2.8,0.0159,0.0009,30
Au,PATRON,0.5027,,mg/L,1,2.2,0.0182,0.0021,
Au,SA007237-026,0.0447,,mg/L,1,2.1,0.0068,0.0007,30
Au,SA007237-027,0.098,,mg/L,1,1.7,0.0151,0.0009,3
Au,SA007237-028,0.2682,,mg/L,1,1.1,0.0426,0.0003,30.04
Au,SA007237-029,0.0493,,mg/L,1,4.1,0.0075,0.0003,30.02
Au,SA007237-030,0.2247,,mg/L,1,33.1,0.0353,0,30
Au,PATRON,0.4947,,mg/L,1,0.9,0.0177,0.0011,
Au,BLANCO,-0.0027,,mg/L,1,>100,-0.0001,0.0004,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,-0.0002,
