Analista,,,,,,,,,,
Fecha de inicio,06:18 a. m. 17/12/2025  GMT: 12:18 p. m. 17/12/2025,,,,,,,,,
Hoja de trabajo,SA007239_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5169,,mg/L,1,1.3,0.0197,0.0016,1,1
Au,BLANCO,-0.0012,,mg/L,1,>100,0,-0.0006,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,23.7,0.0002,0.0024,1,1
Au,SA007239-001,0.3672,,mg/L,1,0.2,0.0603,0,30.02,7
Au,SA007239-002,0.3829,,mg/L,1,1.1,0.0627,-0.0003,29.928,7
Au,SA007239-003,0.4265,,mg/L,1,0.2,0.0703,-0.0004,30.077,7
Au,SA007239-004,1.5161,,mg/L,1,0.8,0.2545,0.0001,30.057,7
Au,SA007239-005,0.0412,,mg/L,1,2.1,0.0067,0.0006,30.068,7
Au,PATRON,0.4914,,mg/L,1,2.6,0.0187,0.0014,1,1
Au,SA007239-006,0.0519,,mg/L,1,2.2,0.0084,0.0005,30.04,7
Au,SA007239-007,0.0298,,mg/L,1,5,0.0049,0.0006,30.055,7
Au,SA007239-008,0.1354,,mg/L,1,0.8,0.0221,0.0006,30.094,7
Au,SA007239-009,0.2217,,mg/L,1,0.9,0.0362,0.0005,29.992,7
Au,SA007239-010,0.1918,,mg/L,1,0.5,0.0313,0.0003,30.016,7
Au,PATRON,0.4935,,mg/L,1,1,0.0188,0.0023,1,1
Au,BLANCO,0.0069,,mg/L,1,92.8,0.0003,0.0005,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,30.8,-0.0005,0.003,1,1
Au,SA007239-011,0.0003,,mg/L,1,>100,0,0.0011,30,7
Au,SA007239-012,0.0972,,mg/L,1,2.3,0.0158,0.001,30.018,7
Au,SA007239-013,0.0704,,mg/L,1,2.8,0.0115,0.0009,30.094,7
Au,SA007239-014,0.0614,,mg/L,1,2,0.01,0.001,30.044,7
Au,SA007239-015,0.1746,,mg/L,1,0.9,0.0285,0.0011,30.041,7
Au,PATRON,0.4847,,mg/L,1,0.4,0.0184,0.0025,1,1
Au,SA007239-016,0.6148,,mg/L,1,0.8,0.1018,0.0009,30.069,7
Au,SA007239-017,0.2226,,mg/L,1,0.9,0.0365,0.0011,30.058,7
Au,SA007239-018,0.1301,,mg/L,1,0.9,0.0212,0.002,30.032,7
Au,SA007239-019,0.1164,,mg/L,1,1.5,0.019,0.0021,29.99,7
Au,SA007239-020,0.0024,,mg/L,1,56.5,0.0004,0.002,30.004,7
Au,PATRON,0.4878,,mg/L,1,1.3,0.0186,0.0025,1,1
Au,BLANCO,-0.004,,mg/L,1,>100,-0.0002,0.0009,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,62.9,-0.0004,-0.0001,1,1
Au,SA007239-021,0.2001,,mg/L,1,0.3,0.0295,0.0022,29.978,7
Au,SA007239-022,0.1425,,mg/L,1,1.3,0.021,0.0021,30.018,7
Au,SA007239-023,0.0688,,mg/L,1,1.3,0.0101,0.0023,30.084,7
Au,SA007239-024,0.062,,mg/L,1,2,0.0091,0.002,30.019,7
Au,SA007239-025,0.0077,,mg/L,1,33.9,0.0011,0.0021,30.067,7
Au,PATRON,0.5099,,mg/L,1,0.9,0.0175,0.0031,1,1
Au,SA007239-026,0.2024,,mg/L,1,1.4,0.0332,0.0014,30.053,7
Au,SA007239-027,0.0424,,mg/L,1,4.7,0.0069,0.0016,30.01,7
Au,SA007239-028,0.0999,,mg/L,1,0.9,0.0164,0.0015,30.077,7
Au,SA007239-029,0.224,,mg/L,1,7.1,0.0367,0.002,30.016,7
Au,SA007239-030,0.0333,,mg/L,1,8.1,0.0054,0.0013,30.066,7
Au,PATRON,0.4961,,mg/L,1,1.9,0.017,0.003,1,1
Au,BLANCO,-0.0026,,mg/L,1,>100,-0.0001,0.0009,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,0.0009,1,1
Au,SA007239-031,0.2505,,mg/L,1,0.7,0.0371,0.0019,30.042,7
Au,SA007239-032,0.2702,,mg/L,1,0.3,0.04,0.002,30.06,7
Au,PATRON,0.4812,,mg/L,1,2,0.0165,0.0024,1,1
Au,BLANCO,0.0048,,mg/L,1,>100,0.0002,0.0009,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,68.4,-0.0006,0.0007,1,1
