Analista,NR,,,,,,,,
Fecha de inicio,11:38 a. m. 17/12/2025  GMT: 05:38 p. m. 17/12/2025,,,,,,,,
Hoja de trabajo,SA007240_3,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5176,,mg/L,1,2.5,0.0195,0.0004,
Au,BLANCO,-0.006,,mg/L,1,>100,-0.0002,0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,22.2,-0.0006,0.0001,
Au,SA007240-001,0.3401,,mg/L,1,0.2,0.053,0.0001,30.02
Au,SA007240-002,1.1527,,mg/L,1,0.6,0.1734,-0.0002,30.06
Au,SA007240-003,0.9511,,mg/L,1,29.1,0.1543,-0.0017,30
Au,SA007240-004,0.0418,,mg/L,1,5.1,0.0068,-0.0015,30
Au,SA007240-005,0.6958,,mg/L,1,0.3,0.1123,-0.0018,29.93
Au,PATRON,0.5068,,mg/L,1,0.7,0.0188,0.0017,
Au,SA007240-006,0.0079,,mg/L,1,6.6,0.0013,-0.0011,29.95
Au,SA007240-007,0.0912,,mg/L,1,1.7,0.0145,0.0006,30.05
Au,SA007240-008,0.0868,,mg/L,1,1.1,0.0139,0.0005,30.06
Au,SA007240-009,0.1931,,mg/L,1,0.6,0.0305,0.0003,30.06
Au,SA007240-010,0.162,,mg/L,1,0.1,0.0256,0.0005,29.99
Au,PATRON,0.4985,,mg/L,1,0.9,0.0185,0.0011,
Au,BLANCO,-0.0033,,mg/L,1,>100,-0.0001,-0.0009,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0.0016,
Au,SA007240-011,0.4281,,mg/L,1,0.3,0.0663,-0.0013,30.01
Au,SA007240-012,0.314,,mg/L,1,0.9,0.049,-0.0014,29.98
Au,SA007240-013,0.0356,,mg/L,1,2.7,0.0057,-0.0005,30.03
Au,SA007240-014,0.0649,,mg/L,1,2.7,0.0104,-0.0004,30.07
Au,SA007240-015,0.0461,,mg/L,1,2.2,0.0074,-0.0003,30
Au,PATRON,0.5076,,mg/L,1,0.8,0.0188,0.0013,
Au,SA007240-016,0.5282,,mg/L,1,9.8,0.0876,-0.0002,30.07
Au,SA007240-017,0.0423,,mg/L,1,3,0.0068,0.0002,30.09
Au,SA007240-018,0.0411,,mg/L,1,4.1,0.0066,0.0001,30
Au,SA007240-019,0.0055,,mg/L,1,18.3,0.0009,0.0003,3
Au,SA007240-020,0.0267,,mg/L,1,6.5,0.0043,0.0001,30.04
Au,PATRON,0.4947,,mg/L,1,2.9,0.0183,0.0016,
Au,BLANCO,-0.0089,,mg/L,1,67,-0.0003,-0.0016,
Au,BLANCO REACTIVO,0,,mg/L,1,10.1,0.001,-0.0004,
Au,SA007240-021,0.02,,mg/L,1,3.5,0.0032,-0.0005,29.95
Au,SA007240-022,0.0181,,mg/L,1,9.5,0.0029,-0.0004,30
Au,SA007240-023,0.0195,,mg/L,1,6.4,0.0031,-0.0005,29.99
Au,SA007240-024,0.0328,,mg/L,1,6.6,0.0053,-0.0005,30.08
Au,SA007240-025,0.0457,,mg/L,1,2.4,0.0073,-0.0004,29.99
Au,PATRON,0.4954,,mg/L,1,1,0.0184,0.0007,
Au,SA007240-026,0.0356,,mg/L,1,3.7,0.0057,-0.0005,30.01
Au,SA007240-027,0.063,,mg/L,1,1.3,0.0102,-0.0015,30.03
Au,SA007240-028,0.0603,,mg/L,1,3.8,0.0097,-0.0009,29.99
Au,SA007240-029,0.0289,,mg/L,1,6.2,0.0046,-0.0007,30.09
Au,SA007240-030,0.0231,,mg/L,1,3.9,0.0037,-0.0004,30.02
Au,PATRON,0.4965,,mg/L,1,0.7,0.0184,0.0004,
Au,BLANCO,-0.0077,,mg/L,1,>100,-0.0003,-0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,52.6,0.0005,-0.0007,
Au,SA007240-031,0.0239,,mg/L,1,3.8,0.004,-0.0002,29.99
Au,SA007240-032,0.0262,,mg/L,1,5.5,0.0044,-0.0005,29.95
Au,PATRON,0.5122,,mg/L,1,2.9,0.0198,0.0009,
Au,BLANCO,0.0028,,mg/L,1,>100,0.0001,-0.0013,
Au,BLANCO REACTIVO,0,,mg/L,1,23.8,0.0009,-0.0006,
