Analista,NR,,,,,,,,,
Fecha de inicio,12:38 p. m. 17/12/2025  GMT: 06:38 p. m. 17/12/2025,,,,,,,,,
Hoja de trabajo,SA007241_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.4917,,mg/L,1,1.2,0.0188,0.0011,1,1
Au,BLANCO,-0.0008,,mg/L,1,>100,0,-0.0008,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,92.9,0.0001,-0.001,1,1
Au,SA007241-001,0.0625,,mg/L,1,2.3,0.0098,0.0013,30.067,7
Au,SA007241-002,0.1034,,mg/L,1,1.4,0.0163,0.0014,30.041,7
Au,SA007241-004,0.4062,,mg/L,1,0.6,0.0661,0.0007,30.031,7
Au,SA007241-005,0.2084,,mg/L,1,0.9,0.0332,0.0009,30.054,7
Au,PATRON,0.4923,,mg/L,1,1.9,0.0181,0.0019,1,1
Au,SA007241-006,0.3744,,mg/L,1,0.3,0.0607,0.0009,30.03,7
Au,SA007241-007,0.3064,,mg/L,1,0.5,0.0493,0.0008,29.977,7
Au,SA007241-008,0.0079,,mg/L,1,5.6,0.0012,0.0012,30.014,7
Au,SA007241-009,0.0068,,mg/L,1,22.6,0.0011,-0.0007,30.016,7
Au,SA007241-010,0.0536,,mg/L,1,3.4,0.0084,0.0012,30.014,7
Au,PATRON,0.5145,,mg/L,1,0.8,0.0189,0.0023,1,1
Au,BLANCO,-0.0084,,mg/L,1,27.5,-0.0003,0.0009,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0.0007,1,1
Au,SA007241-011,0.1053,,mg/L,1,0.7,0.0166,0.001,30.014,7
Au,SA007241-012,0.2097,,mg/L,1,1.5,0.0334,0.0011,30.006,7
Au,SA007241-014,0.0518,,mg/L,1,2.3,0.0081,0.0007,30.028,7
Au,SA007241-015,0.0546,,mg/L,1,1,0.0085,-0.0003,30.015,7
Au,PATRON,0.485,,mg/L,1,1.2,0.0178,0.0023,1,1
Au,SA007241-016,0.0742,,mg/L,1,0.4,0.0116,0.0014,30.006,7
Au,SA007241-017,0.3362,,mg/L,1,0.2,0.0543,0.0013,30.01,7
Au,SA007241-019,0.2145,,mg/L,1,27.4,0.0353,-0.0004,30.023,7
Au,SA007241-020,0.0471,,mg/L,1,0.8,0.0074,0.0012,30.025,7
Au,PATRON,0.4831,,mg/L,1,3.7,0.0177,0.002,1,1
Au,BLANCO,-0.0028,,mg/L,1,>100,-0.0001,0.0005,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,19.3,-0.0002,0.0012,1,1
Au,SA007241-021,0.6719,,mg/L,1,0.5,0.1121,0.0011,30.029,7
Au,SA007241-022,0.1246,,mg/L,1,0.8,0.0196,0.001,30.022,7
Au,SA007241-023,0.0441,,mg/L,1,2.7,0.0069,0.0013,30.024,7
Au,SA007241-024,0.0993,,mg/L,1,1.5,0.0156,0.0012,30.026,7
Au,SA007241-025,0.071,,mg/L,1,1.3,0.0111,0.0009,30.004,7
Au,PATRON,0.4976,,mg/L,1,1.4,0.0183,0.0024,1,1
Au,SA007241-026,0.142,,mg/L,1,1.1,0.0224,0.0015,30.014,7
Au,PATRON,0.4969,,mg/L,1,0.1,0.0183,0.0024,1,1
Au,BLANCO,0.0053,,mg/L,1,73.6,0.0002,0.0007,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,48.9,0.0002,0.0006,1,1
