Analista,,,,,,,,,,,,,
Fecha de inicio,17/12/2025 04:29 a. m.  GMT: 17/12/2025 10:29 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007241,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9809,,mg/L,0.4,0.097,-0.0023,1,1,1,0.0974,0.0968,0.0968
,BLANCO,-0.0018,,mg/L,>100,-0.0002,-0.0008,1,1,1,0,-0.0002,-0.0004
,BLANCO REACTIVO,0,,mg/L,36.5,-0.0009,-0.0001,1,1,1,-0.0006,-0.0009,-0.0013
,SA007241-001,1.2465,,mg/L,6,0.0051,0.0046,2.01,50,1,0.005,0.0055,0.0049
,SA007241-002,0.9815,,mg/L,1.5,0.004,0.0059,2.007,50,1,0.004,0.0041,0.004
,SA007241-003,0.0152,,mg/L,>100,0.0001,0.0008,2,50,1,0,0.0001,0.0001
,SA007241-004,2.2337,,mg/L,2.3,0.0091,0.0065,2.005,50,1,0.0089,0.0091,0.0093
,SA007241-005,7.9224,,mg/L,1.4,0.032,0.0056,2.01,50,1,0.0315,0.0322,0.0323
,PATRON,1.0086,,mg/L,0.5,0.0976,-0.0018,1,1,1,0.0973,0.0975,0.0982
,SA007241-006,3.7927,,mg/L,3.7,0.0155,0.0056,2.008,50,1,0.0159,0.0156,0.0148
,SA007241-007,3.7411,,mg/L,0.5,0.0152,0.0049,2.006,50,1,0.0152,0.0152,0.0153
,SA007241-008,-0.2421,,mg/L,48.8,-0.001,0.0013,2.009,50,1,-0.0005,-0.0011,-0.0014
,SA007241-009,-0.0753,,mg/L,84.2,-0.0003,0.0022,2.01,50,1,-0.0006,-0.0003,-0.0001
,SA007241-010,3.5952,,mg/L,2.6,0.0147,0.0057,2.008,50,1,0.0148,0.0149,0.0142
,PATRON,0.9978,,mg/L,0.2,0.0966,-0.002,1,1,1,0.0964,0.0969,0.0967
,BLANCO,-0.0007,,mg/L,>100,-0.0001,-0.0022,1,1,1,0.0003,-0.0001,-0.0004
,BLANCO REACTIVO,0,,mg/L,24.7,0.001,-0.0009,1,1,1,0.0007,0.0012,0.0011
,SA007241-011,3.2608,,mg/L,3.3,0.0133,0.0046,2.006,50,1,0.0128,0.0136,0.0135
,SA007241-012,4.7431,,mg/L,1.6,0.0192,0.0073,2.001,50,1,0.0194,0.0194,0.0189
,SA007241-013,2.706,,mg/L,2.4,0.011,0.0039,2.002,50,1,0.011,0.0113,0.0108
,SA007241-014,0.9385,,mg/L,1.8,0.0038,0.004,2.002,50,1,0.0038,0.0038,0.0039
,SA007241-015,1.2103,,mg/L,5.5,0.0049,0.005,2.001,50,1,0.0051,0.0046,0.0051
,PATRON,0.9834,,mg/L,0.7,0.0953,-0.0031,1,1,1,0.0946,0.0959,0.0954
,SA007241-016,4.3591,,mg/L,2.5,0.0177,0.003,2,50,1,0.0182,0.0175,0.0173
,SA007241-017,3.8475,,mg/L,1.2,0.0156,0.0021,2.002,50,1,0.0157,0.0158,0.0154
,SA007241-018,4.8026,,mg/L,3.1,0.0195,0.0033,2.01,50,1,0.0189,0.0196,0.0201
,SA007241-019,5.6882,,mg/L,1.2,0.0233,0.0034,2.03,50,1,0.0233,0.023,0.0236
,SA007241-020,4.8066,,mg/L,0.6,0.0196,0.0024,2.015,50,1,0.0195,0.0195,0.0197
,PATRON,0.9881,,mg/L,1,0.0957,-0.0038,1,1,1,0.0947,0.096,0.0965
,BLANCO,-0.0017,,mg/L,>100,-0.0002,-0.0021,1,1,1,-0.0004,0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,62.2,0.0007,-0.0007,1,1,1,0.0008,0.0002,0.001
,SA007241-021,3.6785,,mg/L,2.7,0.015,0.0041,2.01,50,1,0.0147,0.0148,0.0155
,SA007241-022,3.2991,,mg/L,1.8,0.0135,0.0035,2.015,50,1,0.0138,0.0134,0.0133
,SA007241-023,2.6284,,mg/L,3.7,0.0107,0.0035,2.008,50,1,0.0109,0.011,0.0103
,SA007241-024,3.8946,,mg/L,3.1,0.016,0.0044,2.02,50,1,0.0154,0.0164,0.016
,SA007241-025,4.8063,,mg/L,1.8,0.0196,0.0043,2.013,50,1,0.0194,0.0193,0.02
,PATRON,0.9789,,mg/L,1.1,0.0949,-0.003,1,1,1,0.0937,0.0954,0.0957
,SA007241-026,3.1571,,mg/L,2.7,0.0129,0.0034,2.012,50,1,0.0125,0.0132,0.013
,PATRON,0.98,,mg/L,0.4,0.095,-0.0031,1,1,1,0.0948,0.0954,0.0948
,BLANCO,-0.0033,,mg/L,>100,-0.0003,-0.0021,1,1,1,0.0001,-0.0006,-0.0005
,BLANCO REACTIVO,0,,mg/L,31.2,0.0008,-0.0009,1,1,1,0.0009,0.0009,0.0005
