Analista,NR,,,,,,,,,
Fecha de inicio,09:49 a. m. 17/12/2025  GMT: 03:49 p. m. 17/12/2025,,,,,,,,,
Hoja de trabajo,SA007242-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.481,,mg/L,1,0.7,0.019,0.0017,1,1
Au,BLANCO,0.0044,,mg/L,1,>100,0.0002,-0.0007,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,64.2,0.0003,0.0001,1,1
Au,SA007221-009,0.0989,,mg/L,1,2.2,0.016,0.0002,29.992,7
Au,SA007221-023,1.1151,,mg/L,1,0.8,0.1801,-0.0007,30.01,7
Au,SA007226-005,3.581,,mg/L,1,0.4,0.0588,-0.0014,30.063,7
Au,SA007226-027,1.5084,,mg/L,1,0.6,0.2449,-0.0006,30.029,7
Au,SA007227-002,0.0649,,mg/L,1,1.4,0.0105,0.0001,29.908,7
Au,PATRON,0.5191,,mg/L,1,1,0.0193,0.0012,1,1
Au,SA007227-003,0.0408,,mg/L,1,4.7,0.0065,0.0005,30.034,7
Au,SA007227-004,0.0327,,mg/L,1,6.9,0.0052,0.0006,30.061,7
Au,SA007227-006,0.1241,,mg/L,1,20.5,0.0211,0.0006,30.049,7
Au,SA007227-007,0.033,,mg/L,1,6.4,0.0052,0.0002,30.011,7
Au,SA007227-009,0.0675,,mg/L,1,1.4,0.0108,-0.0002,30.077,7
Au,PATRON,0.4847,,mg/L,1,2,0.018,0.0013,1,1
Au,BLANCO,-0.0094,,mg/L,1,23.1,-0.0003,-0.001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,34.5,0.0007,0.0002,1,1
Au,SA007227-010,0.0303,,mg/L,1,5.8,0.0048,-0.0005,30.024,7
Au,SA007235-012,1.6899,,mg/L,1,0.4,0.2866,-0.0007,30.042,7
Au,SA007235-022,1.5663,,mg/L,1,0.2,0.2656,-0.0007,30.029,7
Au,PATRON,0.5043,,mg/L,1,1.6,0.0186,0.0014,1,1
Au,BLANCO,-0.009,,mg/L,1,87.2,-0.0003,-0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,51.9,0.0011,-0.0011,1,1
