Analista,GGP,,,,,,,,,,,,
Fecha de inicio,17/12/2025 01:25 p. m.  GMT: 17/12/2025 07:25 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007250,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0182,,mg/L,0.2,0.1142,-0.0026,1,1,1,0.1142,0.114,0.1144
,BLANCO,0.0065,,mg/L,8.5,0.0007,-0.0007,1,1,1,0.0008,0.0007,0.0007
,BLANCO REACTIVO,0,,mg/L,11.4,0.0012,-0.0006,1,1,1,0.0013,0.0012,0.001
,SA007250-001,3.0684,,mg/L,1.5,0.0142,0.0049,2.009,50,1,0.014,0.0142,0.0145
,SA007250-002,-0.1348,,mg/L,60.1,-0.0006,-0.0015,2,50,1,-0.0007,-0.0002,-0.0009
,SA007250-003,3.0137,,mg/L,2.5,0.014,0.0053,2.014,50,1,0.0144,0.0137,0.0139
,SA007250-004,-0.0428,,mg/L,>100,-0.0002,-0.0011,2.036,50,1,0,-0.0005,-0.0001
,SA007250-005,2.4925,,mg/L,1.6,0.0118,0.0057,2.044,50,1,0.0119,0.0116,0.0118
,PATRON,1.0007,,mg/L,1,0.1123,-0.0034,1,1,1,0.1111,0.1133,0.1127
,SA007250-006,2.6702,,mg/L,1.6,0.0125,0.005,2.024,50,1,0.0123,0.0125,0.0127
,SA007250-007,3.4741,,mg/L,3.3,0.0166,0.0035,2.076,50,1,0.016,0.017,0.0169
,SA007250-008,3.427,,mg/L,4,0.0164,0.0038,2.069,50,1,0.0159,0.0161,0.0171
,SA007250-009,13.8499,,mg/L,1.5,0.064,0.0023,2.021,50,1,0.0634,0.0635,0.0651
,PATRON,1.0139,,mg/L,0.4,0.1137,-0.0033,1,1,1,0.1135,0.1134,0.1143
,BLANCO,-0.0043,,mg/L,62.1,-0.0005,-0.0017,1,1,1,-0.0005,-0.0008,-0.0002
,BLANCO REACTIVO,0,,mg/L,37.1,0.0011,-0.0004,1,1,1,0.0009,0.0008,0.0015
