Analista,,,,,,,,,,,,,
Fecha de inicio,21/12/2025 16:12  GMT: 21/12/2025 22:12,,,,,,,,,,,,
Hoja de trabajo,SA007319_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,,1,Nominal Dilution,1,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9775,,mg/L,0.7,0.09,0.0001,,,,0.09,0.0894,0.0907
,BLANCO,-0.0038,,mg/L,78.9,-0.0004,-0.0013,,,,-0.0006,-0.0004,-0.0001
,BLANCO REACTIVO,0,,mg/L,30.4,-0.0022,0.0004,,,,-0.0016,-0.0022,-0.0029
,SA007319-001,7.4584,,mg/L,1.3,0.0283,0.0061,2.02,5,,0.0285,0.0279,0.0286
,SA007319-002,32.6176,,mg/L,1,0.1189,0.0071,2,5,,0.1176,0.119,0.12
,SA007319-003,0.0525,,mg/L,>100,0.0002,0.0039,2,5,,0.0007,0.0004,-0.0005
,SA007319-004,7.72,,mg/L,1,0.0295,0.0075,2.03,5,,0.0293,0.0293,0.0298
,SA007319-005,4.6692,,mg/L,2.9,0.0177,0.0071,2.01,5,,0.0173,0.0183,0.0177
,PATRON,0.9929,,mg/L,0.7,0.0914,0.0033,,,,0.0913,0.0921,0.0908
,SA007319-006,3.3955,,mg/L,5.7,0.0129,0.007,2,5,,0.0122,0.0128,0.0136
,SA007319-007,13.9766,,mg/L,1.9,0.0525,0.0083,2,5,,0.0518,0.0519,0.0536
,SA007319-008,4.5278,,mg/L,4.2,0.0173,0.0074,2.02,5,,0.0179,0.0175,0.0165
,SA007319-009,4.0015,,mg/L,90.2,0.0152,0.0067,2.01,5,,0,0.019,0.0267
,SA007319-010,14.3531,,mg/L,0.5,0.0542,0.0068,2.02,5,,0.0539,0.0543,0.0543
,PATRON,0.9966,,mg/L,1.2,0.0917,0.0033,,,,0.0918,0.0928,0.0906
,BLANCO,0.0106,,mg/L,42.4,0.001,0.0027,,,,0.0012,0.0013,0.0005
,BLANCO REACTIVO,0,,mg/L,45.7,-0.0017,0.0008,,,,-0.0008,-0.0022,-0.0022
,SA007319-011,14.7024,,mg/L,1.4,0.0558,0.0075,2.03,5,,0.0551,0.0557,0.0566
,SA007319-012,6.9374,,mg/L,2.8,0.0266,0.0068,2.03,5,,0.0258,0.0273,0.0266
,SA007319-013,18.0532,,mg/L,1.1,0.0678,0.009,2.02,5,,0.067,0.0681,0.0683
,SA007319-014,7.7282,,mg/L,4,0.0291,0.0083,,5,,0.0277,0.0294,0.03
,SA007319-015,11.8447,,mg/L,0.2,0.0451,0.007,2.03,5,,0.0451,0.0449,0.0451
,PATRON,0.9701,,mg/L,1.1,0.0894,0.0042,,,,0.0887,0.0888,0.0905
,SA007319-016,16.369,,mg/L,1.5,0.0619,0.0076,2.03,5,,0.0614,0.0614,0.063
,SA007319-017,5.9972,,mg/L,1,0.0226,0.0078,2,5,,0.0225,0.0228,0.0224
,SA007319-018,-0.1968,,mg/L,75.4,-0.0007,0.007,2,5,,-0.0001,-0.0012,-0.0009
,SA007319-019,16.6268,,mg/L,2.2,0.0621,0.0076,2,5,,0.0605,0.0628,0.063
,SA007319-020,9.9647,,mg/L,1.3,0.0376,0.0083,2,5,,0.0373,0.0381,0.0373
,PATRON,0.955,,mg/L,0.9,0.088,0.0039,,,,0.0883,0.0887,0.0871
,BLANCO,-0.0065,,mg/L,88.2,-0.0006,0.0039,,,,-0.0012,-0.0003,-0.0004
,BLANCO REACTIVO,0,,mg/L,21.9,-0.002,0.0017,,,,-0.0016,-0.0019,-0.0024
,SA007319-021,-0.0542,,mg/L,36.6,-0.0002,0.0038,,5,,-0.0002,-0.0003,-0.0001
,SA007319-022,38.6455,,mg/L,0.4,0.14,0.0083,2.02,5,,0.1403,0.1394,0.1403
,SA007319-023,38.7046,,mg/L,0.6,0.1404,0.0087,2.02,5,,0.1398,0.1415,0.1401
,SA007319-024,12.9206,,mg/L,0.6,0.0492,0.0091,2.03,5,,0.0488,0.0494,0.0492
,SA007319-025,29.1134,,mg/L,1.1,0.108,0.0083,2.03,5,,0.1072,0.1074,0.1093
,PATRON,0.9619,,mg/L,1,0.0886,0.0042,,,,0.0885,0.0896,0.0878
,SA007319-026,7.1162,,mg/L,2.6,0.0273,0.0087,2.04,5,,0.0279,0.0275,0.0265
,SA007319-027,5.4172,,mg/L,4.9,0.0205,0.0084,2.01,5,,0.0195,0.0206,0.0215
,SA007319-028,3.763,,mg/L,3.2,0.0142,0.0095,2,5,,0.0147,0.0138,0.0142
,SA007319-029,7.3101,,mg/L,8.8,0.0277,0.0089,2.01,5,,0.0283,0.0297,0.025
,SA007319-030,3.5309,,mg/L,0.6,0.0123,0.0112,2.01,5,,0.0122,0.0123,0.0123
,PATRON,0.9211,,mg/L,0.2,0.085,0.0049,,,,0.0852,0.0848,0.085
,BLANCO,0.0001,,mg/L,>100,0,0.0044,,,,0.0007,-0.0003,-0.0004
,BLANCO REACTIVO,0,,mg/L,30.5,-0.0024,0.0026,,,,-0.0031,-0.0026,-0.0016
