Analista,,,,,,,,,,,,,
Fecha de inicio,21/12/2025 15:32  GMT: 21/12/2025 21:32,,,,,,,,,,,,
Hoja de trabajo,SA007320_6  04,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,,Volumen nominal,1,Nominal Dilution,1,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9876,,mg/L,1.5,0.093,0.0011,,,,0.0913,0.0936,0.094
,BLANCO,-0.0018,,mg/L,>100,-0.0002,0.0007,,,,-0.0006,-0.0004,0.0004
,BLANCO REACTIVO,0,,mg/L,19.9,-0.0013,0.0005,,,,-0.0011,-0.0013,-0.0016
,SA007320-001,10.4736,,mg/L,2.5,0.0415,0.0077,2.04,5,,0.0409,0.041,0.0428
,SA007320-002,3.5269,,mg/L,5.5,0.0123,0.0096,2.03,58,,0.0116,0.0122,0.013
,SA007320-003,7.1472,,mg/L,1.6,0.0285,0.007,2,5,,0.0281,0.0285,0.029
,SA007320-004,4.0895,,mg/L,2.9,0.0163,0.0082,2.01,5,,0.0158,0.0162,0.0167
,SA007320-005,6.5956,,mg/L,1.9,0.0262,0.0079,2.02,5,,0.0257,0.0264,0.0266
,PATRON,0.9609,,mg/L,1.2,0.0906,0.0031,,,,0.0917,0.0905,0.0895
,SA007320-006,4.8316,,mg/L,3.2,0.0192,0.0078,2.02,5,,0.0186,0.0194,0.0197
,SA007320-007,6.0123,,mg/L,0.9,0.0236,0.0083,2,5,,0.0236,0.0234,0.0239
,SA007320-008,4.0605,,mg/L,4.4,0.0162,0.0083,2.02,5,,0.0161,0.017,0.0156
,SA007320-009,3.9749,,mg/L,8,0.0158,0.0089,2,5,,0.0144,0.0158,0.017
,SA007320-010,3.2541,,mg/L,4.6,0.0129,0.0091,2,5,,0.0136,0.0124,0.0128
,PATRON,0.9528,,mg/L,0.9,0.0898,0.0046,,,,0.0889,0.0904,0.0902
,BLANCO,0.1412,,mg/L,2.5,0.014,0.0084,,,,0.0138,0.0144,0.0137
,BLANCO REACTIVO,0,,mg/L,8.9,-0.0035,0.0022,,,,-0.0034,-0.0032,-0.0038
,SA007320-011,0.1189,,mg/L,72.2,0.0005,0.0058,2.03,5,,0.0001,0.0007,0.0007
,SA007320-012,1.1633,,mg/L,19.8,0.0047,0.0078,2,5,,0.0048,0.0037,0.0055
,SA007320-013,2.2415,,mg/L,20.6,0.009,0.0111,2.02,5,,0.0073,0.0088,0.011
,SA007320-014,1.8547,,mg/L,17,0.0075,0.0109,2.03,5,,0.0074,0.0063,0.0088
,SA007320-015,2.8435,,mg/L,2,0.0113,0.0115,2,5,,0.0111,0.0114,0.0115
,PATRON,0.871,,mg/L,1.7,0.0825,0.0069,,,,0.0815,0.0819,0.084
,SA007320-016,3.1299,,mg/L,4.4,0.0125,0.0115,2.02,5,,0.0122,0.0132,0.0122
,SA007320-017,4.4778,,mg/L,2.7,0.0179,0.0115,2.02,5,,0.0173,0.0181,0.0182
,SA007320-018,4.2805,,mg/L,1,0.0171,0.0121,2.02,5,,0.0171,0.0169,0.0173
,SA007320-019,5.6147,,mg/L,3.6,0.0222,0.0119,2,5,,0.0223,0.0213,0.0229
,SA007320-020,3.7198,,mg/L,2,0.0147,0.013,,5,,0.0145,0.0145,0.015
,PATRON,0.9427,,mg/L,1.1,0.0889,0.0074,,,,0.0885,0.0901,0.0882
,BLANCO,-0.0112,,mg/L,27.3,-0.0011,0.0076,,,,-0.0011,-0.0014,-0.0008
,BLANCO REACTIVO,0,,mg/L,11.1,-0.0039,0.0032,,,,-0.0044,-0.0035,-0.0039
,SA007320-021,5.9883,,mg/L,0.9,0.0237,0.0122,2.01,5,,0.0239,0.0237,0.0235
,SA007320-022,4.7669,,mg/L,0.6,0.0192,0.0123,2.04,5,,0.0193,0.0192,0.0191
,SA007320-023,0.0413,,mg/L,>100,0.0002,0.01,2,5,,0.0002,-0.0003,0.0006
,SA007320-024,4.8093,,mg/L,0.8,0.0191,0.0132,2.01,5,,0.0192,0.0192,0.0189
,SA007320-025,4.046,,mg/L,3.1,0.0161,0.0129,2.01,5,,0.016,0.0156,0.0166
,PATRON,0.9554,,mg/L,1.1,0.0901,0.008,,,,0.0899,0.0911,0.0892
,SA007320-026,4.3365,,mg/L,3.7,0.0173,0.0137,2.02,5,,0.0166,0.0177,0.0177
,SA007320-027,3.5638,,mg/L,4.4,0.0141,0.0125,2,5,,0.0137,0.0148,0.0138
,SA007320-028,2.6633,,mg/L,3.5,0.0107,0.0128,2.02,5,,0.0104,0.0111,0.0106
,SA007320-029,3.4149,,mg/L,0.7,0.0137,0.0134,2.03,5,,0.0139,0.0137,0.0137
,SA007320-030,3.6612,,mg/L,2,0.0147,0.0125,2.03,5,,0.0144,0.015,0.0147
,PATRON,0.0045,,mg/L,99.2,0.0004,0.0068,,,,0.0009,0.0003,0.0001
,BLANCO,0.0048,,mg/L,12.5,0.0005,0.007,,,,0.0004,0.0005,0.0005
,BLANCO REACTIVO,0,,mg/L,31.4,-0.0029,0.0025,,,,-0.0029,-0.0019,-0.0037
,SA007320-031,-0.0734,,mg/L,>100,-0.0003,0.0058,,5,,0.0003,-0.0003,-0.0009
,SA007320-032,2.814,,mg/L,0.7,0.0112,0.0109,2.01,5,,0.0111,0.0112,0.0113
,PATRON,0.8922,,mg/L,0.4,0.0844,0.0068,,,,0.084,0.0844,0.0848
,BLANCO,-0.0037,,mg/L,59.9,-0.0004,0.0061,,,,-0.0003,-0.0002,-0.0006
,BLANCO REACTIVO,0,,mg/L,14.4,-0.0034,0.003,,,,-0.0038,-0.0035,-0.0028
