Analista,RR,,,,,,,,,,,,
Fecha de inicio,22/12/2025 02:34 a. m.  GMT: 22/12/2025 08:34 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007324,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9839,,mg/L,0,0.103,-0.0022,1,1,1,0.103,0.103,0.103
,BLANCO,0.0008,,mg/L,>100,0.0001,-0.0001,1,1,1,0.0004,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,55.5,0.0006,-0.0005,1,1,1,0.0004,0.001,0.0004
,SA007324-001,8.915,,mg/L,0.2,0.0393,0.0069,2.025,50,1,0.0393,0.0391,0.0393
,SA007324-002,8.485,,mg/L,0.2,0.0373,0.0061,2.021,50,1,0.0374,0.0373,0.0373
,SA007324-003,8.3814,,mg/L,1.6,0.037,0.0066,2.028,50,1,0.0364,0.0371,0.0376
,SA007324-004,14.4962,,mg/L,0.7,0.0626,0.0061,2.015,50,1,0.0623,0.0631,0.0624
,SA007324-005,-0.3066,,mg/L,17.6,-0.0014,-0.0007,2,50,1,-0.0011,-0.0014,-0.0016
,PATRON,0.9969,,mg/L,0.7,0.1004,-0.0027,1,1,1,0.1006,0.0996,0.101
,SA007324-006,0.2854,,mg/L,21.5,0.0012,0.0026,2.008,50,1,0.0015,0.0009,0.0012
,SA007324-007,9.6681,,mg/L,1.7,0.0403,0.0049,2.018,50,1,0.0411,0.0403,0.0397
,SA007324-008,39.9847,,mg/L,0.7,0.1572,0.0043,2.018,50,1,0.1559,0.1579,0.1576
,SA007324-009,6.5449,,mg/L,1.4,0.0272,0.0038,2,50,1,0.0275,0.0273,0.0267
,SA007324-010,9.399,,mg/L,1.3,0.0392,0.0073,2.019,50,1,0.0397,0.0393,0.0387
,PATRON,0.9801,,mg/L,0.6,0.0988,-0.002,1,1,1,0.099,0.0993,0.0981
,BLANCO,-0.0076,,mg/L,20,-0.0008,0.0002,1,1,1,-0.001,-0.0008,-0.0006
,BLANCO REACTIVO,0,,mg/L,19.2,-0.0009,0.0009,1,1,1,-0.001,-0.0007,-0.001
,SA007324-011,4.9964,,mg/L,2.7,0.0214,0.0063,2.058,50,1,0.0219,0.0208,0.0215
,SA007324-012,23.7144,,mg/L,0.9,0.0956,0.0047,1.997,50,1,0.096,0.0962,0.0947
,SA007324-013,25.8897,,mg/L,0.5,0.1057,0.0138,2.032,50,1,0.1059,0.1051,0.106
,SA007324-014,25.7581,,mg/L,0.6,0.1051,0.0139,2.03,50,1,0.1057,0.1047,0.1048
,SA007324-015,7.1199,,mg/L,0.7,0.0297,0.0058,2.009,50,1,0.0294,0.0298,0.0298
,PATRON,1.0039,,mg/L,0.3,0.1011,-0.0005,1,1,1,0.1011,0.1014,0.1007
,SA007324-016,6.3128,,mg/L,3.1,0.0267,0.006,2.039,50,1,0.0266,0.0276,0.026
,SA007324-017,9.7503,,mg/L,1.3,0.041,0.0073,2.034,50,1,0.0404,0.0414,0.0411
,SA007324-018,13.3672,,mg/L,0.8,0.0559,0.0053,2.033,50,1,0.0554,0.0559,0.0562
,SA007324-019,8.9476,,mg/L,0.4,0.0373,0.0056,2.015,50,1,0.0372,0.0374,0.0373
,SA007324-020,7.5935,,mg/L,1.3,0.0315,0.0069,1.998,50,1,0.0317,0.0317,0.031
,PATRON,0.9653,,mg/L,0.4,0.0972,-0.0024,1,1,1,0.0967,0.0976,0.0972
,BLANCO,0.005,,mg/L,27.2,0.0005,0.0019,1,1,1,0.0006,0.0006,0.0004
,BLANCO REACTIVO,0,,mg/L,11.2,-0.0004,0.001,1,1,1,-0.0004,-0.0004,-0.0003
,SA007324-021,6.1958,,mg/L,1.1,0.0265,0.0037,2.036,50,1,0.0269,0.0263,0.0264
,SA007324-022,14.1035,,mg/L,1.2,0.0583,0.0039,2.003,50,1,0.0582,0.0576,0.059
,SA007324-023,7.0163,,mg/L,1.1,0.0299,0.0051,2.029,50,1,0.0296,0.0303,0.0298
,SA007324-024,8.8232,,mg/L,2.5,0.037,0.0032,2.004,50,1,0.0362,0.0367,0.038
,SA007324-025,6.9433,,mg/L,0.9,0.0293,0.0042,2.009,50,1,0.0296,0.0293,0.029
,PATRON,0.9765,,mg/L,1.4,0.0982,-0.0018,1,1,1,0.0981,0.0996,0.0969
,SA007324-026,4.6951,,mg/L,1.7,0.02,0.0033,2.02,50,1,0.0204,0.0199,0.0198
,SA007324-027,4.9031,,mg/L,1.8,0.0207,0.0042,2.004,50,1,0.0203,0.0209,0.021
,SA007324-028,5.0189,,mg/L,2.4,0.0215,0.0044,2.031,50,1,0.0214,0.0221,0.0211
,SA007324-029,6.721,,mg/L,0.4,0.0283,0.0047,2.006,50,1,0.0282,0.0283,0.0285
,SA007324-030,7.0422,,mg/L,0.3,0.0298,0.0054,2.019,50,1,0.0297,0.0299,0.0299
,PATRON,0.9656,,mg/L,0.6,0.0972,-0.0019,1,1,1,0.0977,0.0973,0.0965
,BLANCO,-0.002,,mg/L,>100,-0.0002,0.0002,1,1,1,0.0001,0,-0.0007
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0005,1,1,1,0.0003,-0.0002,-0.0006
,SA007324-031,6.8,,mg/L,1,0.029,0.0059,2.033,50,1,0.029,0.0294,0.0288
,SA007324-032,7.0601,,mg/L,0.6,0.0331,0.0041,2.01,50,1,0.033,0.0329,0.0333
,PATRON,0.9762,,mg/L,2,0.0982,-0.0006,1,1,1,0.1,0.0984,0.0962
,BLANCO,0.007,,mg/L,36.8,0.0007,-0.0001,1,1,1,0.0009,0.0009,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,0.0002,1,1,1,-0.0001,0,0.0005
