Analista,ACG,,,,,,,,,,,,
Fecha de inicio,22/12/2025 07:03 a. m.  GMT: 22/12/2025 01:03 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007326,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,,Volumen nominal,1,Nominal Dilution,1,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9944,,mg/L,1.3,0.0922,-0.0025,,,,0.0909,0.0924,0.0932
,BLANCO,0.0079,,mg/L,52.2,0.0008,-0.0005,,,,0.0012,0.0009,0.0003
,BLANCO REACTIVO,0,,mg/L,33.8,0.0006,-0.0003,,,,0.0006,0.0007,0.0004
,SA007326-001,3.7958,,mg/L,2.7,0.0155,0.0045,2,5,,0.0152,0.0154,0.016
,SA007326-002,6.8412,,mg/L,0.9,0.0281,0.0042,2.07,5,,0.0285,0.028,0.028
,SA007326-003,5.8556,,mg/L,2,0.0238,0.0039,2,5,,0.0237,0.0244,0.0235
,SA007326-004,5.0903,,mg/L,2,0.0208,0.0039,2.04,5,,0.0208,0.0213,0.0204
,SA007326-005,5.4373,,mg/L,1.5,0.0224,0.0033,2.05,5,,0.0227,0.0223,0.0221
,PATRON,0.9759,,mg/L,0.9,0.0906,-0.0031,,,,0.0898,0.0914,0.0905
,SA007326-006,6.9731,,mg/L,2.6,0.0285,0.0012,2.05,5,,0.0277,0.0287,0.0291
,SA007326-007,0.25,,mg/L,29.2,0.001,-0.002,,5,,0.0011,0.0007,0.0013
,SA007326-008,3.5302,,mg/L,1.9,0.0146,0.0047,2.04,5,,0.0147,0.0142,0.0147
,SA007326-009,5.1291,,mg/L,2.6,0.0209,0.0032,2.03,5,,0.0206,0.0216,0.0206
,SA007326-010,5.3977,,mg/L,11.4,0.0215,0.0027,1.98,5,,0.0197,0.0243,0.0205
,PATRON,0.9795,,mg/L,0.5,0.0909,-0.0026,,,,0.0912,0.0904,0.0911
,BLANCO,0.0042,,mg/L,90.3,0.0004,-0.0013,,,,0.0008,0,0.0004
,BLANCO REACTIVO,0,,mg/L,16,0.0011,-0.0009,,,,0.0011,0.001,0.0013
,SA007326-011,9.3478,,mg/L,2.1,0.0371,0.0024,2,5,,0.0367,0.0366,0.038
,SA007326-012,5.0503,,mg/L,0.7,0.0204,0.0032,2.01,5,,0.0204,0.0205,0.0202
,SA007326-013,7.2287,,mg/L,0.9,0.0293,0.0029,2.04,5,,0.0293,0.0291,0.0296
,SA007326-014,4.9659,,mg/L,2.3,0.0203,0.0028,2.03,5,,0.0207,0.0204,0.0198
,SA007326-015,13.1397,,mg/L,1,0.051,0.0026,2,5,,0.0516,0.0509,0.0505
,PATRON,0.9743,,mg/L,0.6,0.0904,-0.0029,,,,0.0906,0.0908,0.0898
,SA007326-016,8.2676,,mg/L,1.4,0.0336,0.0008,2.05,5,,0.0338,0.0338,0.0331
,SA007326-017,3.4823,,mg/L,2.1,0.0146,0.0015,2.07,5,,0.0145,0.0144,0.015
,SA007326-018,4.929,,mg/L,2.6,0.0199,0.0022,2.01,5,,0.0201,0.0203,0.0193
,SA007326-019,0.1428,,mg/L,45.2,0.0006,0.0025,2.04,5,,0.0006,0.0008,0.0003
,SA007326-020,0.2528,,mg/L,51.1,0.001,-0.0018,2,5,,0.0011,0.0015,0.0005
,PATRON,1.0087,,mg/L,0.3,0.0935,-0.0013,,,,0.0934,0.0938,0.0933
,BLANCO,0.0136,,mg/L,>100,0.0013,0.0002,,,,0.0001,0,0.0038
,BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0004,,,,0.0007,0.0001,0.0001
,SA007326-021,5.1446,,mg/L,1.1,0.0198,0.0032,2,5,,0.0197,0.02,0.0196
,SA007326-022,4.9805,,mg/L,2.3,0.0193,0.0034,2,5,,0.0197,0.0191,0.0189
,SA007326-023,5.4552,,mg/L,0.6,0.0211,0.0034,2,5,,0.0211,0.0212,0.0209
,SA007326-024,7.7181,,mg/L,0.5,0.0297,0.004,2.02,5,,0.0299,0.0297,0.0296
,SA007326-025,7.1823,,mg/L,0.4,0.0284,0.004,2.07,5,,0.0283,0.0284,0.0286
,PATRON,1.0032,,mg/L,0.5,0.093,-0.0025,,,,0.0931,0.0934,0.0924
,SA007326-026,7.6898,,mg/L,2.1,0.0295,0.0029,2.01,5,,0.0288,0.0297,0.03
,SA007326-027,13.4945,,mg/L,1.2,0.051,0.0053,2,5,,0.0512,0.0515,0.0503
,SA007326-028,6.797,,mg/L,2,0.026,0.0039,2,5,,0.0265,0.0254,0.026
,SA007326-029,7.4354,,mg/L,2.4,0.0291,0.0038,2.05,5,,0.0291,0.0298,0.0284
,SA007326-030,9.4167,,mg/L,1.4,0.0365,0.0034,2.03,5,,0.0369,0.0359,0.0367
,PATRON,0.9968,,mg/L,1.2,0.0924,-0.0017,,,,0.0923,0.0914,0.0936
,BLANCO,-0.0004,,mg/L,>100,0,-0.0007,,,,-0.0002,0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,0,,,,-0.0001,-0.0001,0.0002
,SA007326-031,12.4422,,mg/L,0.7,0.0473,0.0037,2,5,,0.0476,0.0469,0.0474
,SA007326-032,7.8747,,mg/L,0.2,0.0301,0.0029,2,5,,0.0301,0.0302,0.0301
,PATRON,1.0126,,mg/L,0.4,0.0938,-0.0016,,,,0.0938,0.0935,0.0942
,BLANCO,0.0046,,mg/L,48.5,0.0004,-0.0003,,,,0.0003,0.0003,0.0007
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0005,,,,0.0001,0.0009,0.0001
