Analista,MVG,,,,,,,,,,,,
Fecha de inicio,22/12/2025 10:24 a. m.  GMT: 22/12/2025 04:24 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007335,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0116,,mg/L,0.3,0.0879,-0.0019,,,,0.0879,0.0877,0.0881
,BLANCO,-0.0013,,mg/L,83.6,-0.0001,-0.0003,,,,-0.0001,-0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,28.1,-0.001,0.0015,,,,-0.0008,-0.0009,-0.0014
,SA007335-001,4.7098,,mg/L,1.4,0.017,0.0053,2.01,5,,0.0169,0.0172,0.0168
,SA007335-002,4.6843,,mg/L,1.1,0.0169,0.0052,2,5,,0.0171,0.0168,0.0167
,SA007335-003,4.5021,,mg/L,1.3,0.0163,0.0054,2,5,,0.0162,0.0166,0.0162
,SA007335-004,16.9833,,mg/L,1,0.0599,0.0052,2,5,,0.0592,0.06,0.0604
,SA007335-005,12.1093,,mg/L,0.2,0.0433,0.0044,2.01,5,,0.0433,0.0433,0.0434
,PATRON,1.0125,,mg/L,1.2,0.088,0.001,,,,0.0872,0.0891,0.0876
,SA007335-006,13.4676,,mg/L,0.5,0.0483,0.0044,2.02,5,,0.0485,0.0481,0.0482
,SA007335-007,7.2992,,mg/L,7.5,0.0267,0.006,2,5,,0.029,0.0254,0.0258
,SA007335-008,5.3471,,mg/L,2.8,0.0193,0.0053,2.01,5,,0.0194,0.0187,0.0198
,SA007335-009,5.6262,,mg/L,1.7,0.0203,0.0047,2.01,5,,0.0204,0.0206,0.0199
,SA007335-010,6.2815,,mg/L,1.7,0.0228,0.005,2,5,,0.0232,0.0227,0.0225
,PATRON,0.9965,,mg/L,0.2,0.0866,0.0012,,,,0.0868,0.0865,0.0867
,BLANCO,0.0059,,mg/L,66.2,0.0005,0.001,,,,0.0004,0.0003,0.0009
,BLANCO REACTIVO,0,,mg/L,47.9,-0.0004,0.001,,,,-0.0006,-0.0004,-0.0002
,SA007335-011,4.6973,,mg/L,1.7,0.0171,0.0049,2,5,,0.0168,0.0173,0.0172
,SA007335-012,3.4256,,mg/L,2.6,0.0124,0.0057,2.01,5,,0.0121,0.0127,0.0125
,SA007335-013,0.0152,,mg/L,>100,0.0001,0.0018,2.01,5,,0.0003,-0.0004,0.0003
,SA007335-014,4.4246,,mg/L,1.3,0.0159,0.0062,2,5,,0.0158,0.0157,0.0161
,SA007335-015,2.6424,,mg/L,3.6,0.0095,0.0061,2,5,,0.0097,0.0097,0.0091
,PATRON,0.9954,,mg/L,0.3,0.0866,0.0005,,,,0.0867,0.0867,0.0863
,SA007335-016,2.954,,mg/L,0.9,0.0106,0.0059,2,5,,0.0105,0.0107,0.0106
,SA007335-017,2.9592,,mg/L,5.7,0.0108,0.0057,2.02,5,,0.0101,0.0108,0.0113
,SA007335-018,3.4188,,mg/L,1.2,0.0124,0.0059,2.01,5,,0.0124,0.0125,0.0122
,SA007335-019,3.8146,,mg/L,1.6,0.0137,0.0053,2,5,,0.0137,0.0135,0.014
,SA007335-020,4.19,,mg/L,1.9,0.0151,0.0067,2,5,,0.0149,0.015,0.0154
,PATRON,0.9893,,mg/L,0.8,0.086,0.0007,,,,0.0852,0.0865,0.0864
,BLANCO,0.0066,,mg/L,63.1,0.0006,0.0011,,,,0.0002,0.001,0.0005
,BLANCO REACTIVO,0,,mg/L,30.2,-0.0005,0.0014,,,,-0.0006,-0.0003,-0.0005
,SA007335-021,-0.0105,,mg/L,>100,0,0.0016,,5,,-0.0004,0.0002,0
,SA007335-022,3.8959,,mg/L,7.4,0.0142,0.0056,2.02,5,,0.0133,0.0154,0.0139
,SA007335-023,3.0595,,mg/L,3.3,0.0114,0.0057,2,5,,0.0116,0.0116,0.0109
,SA007335-024,0.0078,,mg/L,>100,0,0.0049,2.03,5,,0,-0.0003,0.0004
,SA007335-025,2.5568,,mg/L,1.5,0.0093,0.0057,2.02,5,,0.0092,0.0095,0.0093
,PATRON,0.9864,,mg/L,0.7,0.0858,0.0005,,,,0.0863,0.0859,0.0852
,SA007335-026,7.0975,,mg/L,1.4,0.0259,0.0061,2.04,5,,0.0255,0.0261,0.0261
,SA007335-027,2.5188,,mg/L,2.6,0.0091,0.0069,2,5,,0.0092,0.0088,0.0092
,SA007335-028,3.015,,mg/L,2.6,0.011,0.006,2.02,5,,0.0107,0.011,0.0113
,SA007335-029,3.505,,mg/L,3.1,0.0126,0.0058,1.99,5,,0.0121,0.0128,0.0128
,SA007335-030,3.4802,,mg/L,3.3,0.0127,0.006,2.02,5,,0.0127,0.0123,0.0131
,PATRON,0.9793,,mg/L,0.7,0.0852,0.0009,,,,0.0855,0.0857,0.0845
,BLANCO,-0.0032,,mg/L,>100,-0.0003,0.0013,,,,-0.0005,-0.0004,0
,BLANCO REACTIVO,0,,mg/L,89.5,0.0003,0.0011,,,,0.0002,0.0001,0.0005
,SA007335-031,2.752,,mg/L,6.1,0.01,0.0046,2.02,5,,0.0093,0.0105,0.0102
,SA007335-032,14.9822,,mg/L,0.7,0.0463,0.0044,2.01,5,,0.0459,0.0463,0.0466
,PATRON,0.9761,,mg/L,0.5,0.0849,-0.0002,,,,0.0853,0.085,0.0845
,BLANCO,0.0053,,mg/L,31.6,0.0005,0.0006,,,,0.0003,0.0005,0.0006
,BLANCO REACTIVO,0,,mg/L,>100,0.0003,0.0013,,,,0.0005,-0.0004,0.0009
