Analista,MVG,,,,,,,,,,,,
Fecha de inicio,22/12/2025 05:44 p. m.  GMT: 22/12/2025 11:44 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007338,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0002,,mg/L,0.5,0.0835,-0.0018,,,,0.0832,0.0839,0.0834
,BLANCO,0.0004,,mg/L,>100,0,-0.0002,,,,-0.0002,0.0003,-0.0001
,BLANCO REACTIVO,0,,mg/L,72,0.0006,-0.0005,,,,0.0004,0.0011,0.0003
,SA007338-001,4.881,,mg/L,2.2,0.0167,0.0036,2,5,,0.0168,0.0163,0.017
,SA007338-002,5.1401,,mg/L,1.6,0.0177,0.0027,2,5,,0.0178,0.0179,0.0174
,SA007338-003,4.3972,,mg/L,2.6,0.0151,0.003,2.01,5,,0.0149,0.0155,0.0148
,SA007338-004,6.9337,,mg/L,1.2,0.0237,0.0024,2,5,,0.0234,0.024,0.0238
,SA007338-005,5.9799,,mg/L,1.3,0.0204,0.0016,2,5,,0.0204,0.0207,0.0201
,PATRON,0.9945,,mg/L,0.2,0.083,-0.0023,,,,0.083,0.0832,0.083
,SA007338-006,9.5331,,mg/L,1.5,0.0326,0.0031,2.01,5,,0.0323,0.0331,0.0323
,SA007338-007,6.6374,,mg/L,1.2,0.0228,0.0015,2.01,5,,0.023,0.0225,0.0229
,SA007338-008,8.3995,,mg/L,2.9,0.0286,0.0012,2,5,,0.0296,0.0282,0.0281
,SA007338-009,4.5345,,mg/L,2.2,0.0156,0.0008,2.01,5,,0.0152,0.0159,0.0155
,SA007338-010,6.986,,mg/L,1.9,0.0238,0.0021,,5,,0.0233,0.024,0.0241
,PATRON,1.0034,,mg/L,0.5,0.0838,-0.0026,,,,0.0842,0.0835,0.0835
,BLANCO,-0.0021,,mg/L,>100,-0.0002,-0.0011,,,,0.0003,-0.0005,-0.0004
,BLANCO REACTIVO,0,,mg/L,20.9,0.0009,-0.0008,,,,0.0008,0.0007,0.001
,SA007338-011,2.8743,,mg/L,3.9,0.01,0.0027,2.02,5,,0.0102,0.0101,0.0095
,SA007338-012,4.0451,,mg/L,1.2,0.0139,0.0026,2.01,5,,0.0141,0.0138,0.0138
,SA007338-013,4.2646,,mg/L,3.4,0.0146,0.0031,2,5,,0.0151,0.0147,0.0141
,SA007338-014,1.906,,mg/L,7.5,0.0065,0.0037,,5,,0.0071,0.0061,0.0064
,SA007338-015,-0.1169,,mg/L,43.8,-0.0004,-0.0005,2,5,,-0.0006,-0.0002,-0.0005
,PATRON,1.002,,mg/L,0.4,0.0836,-0.0023,,,,0.0832,0.0838,0.0839
,SA007338-016,2.1435,,mg/L,2,0.0074,0.0033,2.02,5,,0.0073,0.0076,0.0074
,SA007338-017,1.507,,mg/L,5.9,0.0052,0.0037,2,5,,0.0049,0.0055,0.0051
,SA007338-018,1.443,,mg/L,2.3,0.005,0.0045,2.02,5,,0.0051,0.0049,0.0049
,SA007338-019,0.0172,,mg/L,>100,0.0001,-0.0014,,5,,0.0002,0.0001,-0.0001
,SA007338-020,1.8573,,mg/L,4.3,0.0064,0.002,2.02,5,,0.0066,0.0061,0.0066
,PATRON,1.0069,,mg/L,0.1,0.084,-0.0025,,,,0.0842,0.084,0.084
,BLANCO,-0.0017,,mg/L,>100,-0.0001,-0.0013,,,,0.0002,-0.0003,-0.0003
,BLANCO REACTIVO,0,,mg/L,40.1,0.0007,-0.0005,,,,0.0011,0.0005,0.0006
,SA007338-021,3.1926,,mg/L,1,0.011,0.0031,2.02,5,,0.011,0.0109,0.0112
,SA007338-022,-0.2825,,mg/L,15.7,-0.001,0.0029,2,5,,-0.0011,-0.001,-0.0008
,SA007338-023,3.6606,,mg/L,4.1,0.0126,0.0045,2.01,5,,0.013,0.0127,0.012
,SA007338-024,4.8881,,mg/L,2.3,0.0168,0.0054,2.01,5,,0.017,0.017,0.0164
,SA007338-025,3.3558,,mg/L,3.5,0.0116,0.0037,2.01,5,,0.0117,0.0119,0.0111
,PATRON,0.9984,,mg/L,1.5,0.0833,-0.0021,,,,0.0834,0.0821,0.0846
,SA007338-026,3.7897,,mg/L,2.4,0.0131,0.0029,2.02,5,,0.0135,0.0129,0.013
,SA007338-027,4.3138,,mg/L,3,0.0147,0.0032,,5,,0.015,0.015,0.0142
,SA007338-028,13.8636,,mg/L,0.5,0.0446,0.0018,2,5,,0.0445,0.0449,0.0444
,PATRON,0.9966,,mg/L,0.7,0.0832,-0.0027,,,,0.0834,0.0837,0.0825
,BLANCO,0.0004,,mg/L,>100,0,-0.0013,,,,-0.0003,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,38.3,0.0011,-0.0006,,,,0.001,0.0007,0.0015
