Analista,JS,,,,,,,,,
Fecha de inicio,10:14 a. m. 23/12/2025  GMT: 04:14 p. m. 23/12/2025,,,,,,,,,
Hoja de trabajo,SA007344,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.4828,,mg/L,1,0.2,0.0166,0.0013,,
Au,BLANCO,0.004,,mg/L,1,>100,0.0001,-0.0006,,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,-0.0006,,
Au,SA007344-001,0.0498,,mg/L,1,0.6,0.0072,-0.0003,30.04,
Au,SA007344-002,0.033,,mg/L,1,4.2,0.0048,0.0001,30.04,
Au,SA007344-003,0.0324,,mg/L,1,5.4,0.0047,0.0003,30.02,
Au,SA007344-004,0.0201,,mg/L,1,18.3,0.0029,0.0002,30.05,
Au,SA007344-005,0.0334,,mg/L,1,3.9,0.0048,0.0004,30.03,
Au,PATRON,0.5216,,mg/L,1,0.8,0.018,0.0018,,
Au,SA007344-006,0.0357,,mg/L,1,2.3,0.0052,0.0006,30.03,
Au,SA007344-007,0.0018,,mg/L,1,>100,0.0003,0.0004,30.01,
Au,SA007344-008,0.0314,,mg/L,1,3.2,0.0045,0,30,
Au,SA007344-009,0.021,,mg/L,1,9,0.003,0.0004,30,
Au,SA007344-010,0.1049,,mg/L,1,1,0.0154,0.0006,30.01,
Au,PATRON,0.5123,,mg/L,1,0.3,0.0176,0.0017,,
Au,BLANCO,0.0015,,mg/L,1,>100,0.0001,-0.0004,,
Au,BLANCO REACTIVO,0,,mg/L,1,20,-0.0003,-0.0005,,
Au,SA007344-011,0.164,,mg/L,1,1.4,0.0245,0.0007,30.02,
Au,SA007344-012,0.0513,,mg/L,1,4.4,0.0074,0.0006,30.02,
Au,SA007344-013,0.1556,,mg/L,1,1.8,0.0232,0.0008,30.02,
Au,SA007344-014,-0.0032,,mg/L,1,>100,-0.0005,0.0007,3,
Au,SA007344-015,0.0581,,mg/L,1,3.7,0.0084,0.0009,30,
Au,PATRON,0.4957,,mg/L,1,2.2,0.017,0.0021,,
Au,SA007344-016,0.0306,,mg/L,1,8.1,0.0044,0.0008,30.02,
Au,SA007344-017,0.0886,,mg/L,1,2.9,0.013,0.0003,30.02,
Au,SA007344-018,0.4485,,mg/L,1,0.5,0.0714,0.0001,30,
Au,SA007344-019,0.2124,,mg/L,1,2.8,0.0321,-0.0003,30.02,
Au,SA007344-020,0.0893,,mg/L,1,1.4,0.0131,0.0003,3,
Au,PATRON,0.5163,,mg/L,1,2,0.0178,0.001,,
Au,BLANCO,0.0078,,mg/L,1,>100,0.0003,-0.0005,,
Au,BLANCO REACTIVO,0,,mg/L,1,13.9,-0.0004,0.0001,,
Au,SA007344-021,0.0142,,mg/L,1,20.2,0.002,0.0007,30.01,
Au,SA007344-022,0.1978,,mg/L,1,0.2,0.0298,0.0005,30,
Au,SA007344-023,0.1958,,mg/L,1,0.9,0.0295,0.0004,30.03,
Au,SA007344-024,0.068,,mg/L,1,0.7,0.0099,0.0011,3,
Au,SA007344-025,0.0357,,mg/L,1,4.5,0.0051,0.0008,30,
Au,PATRON,0.5073,,mg/L,1,1.8,0.0175,0.0021,,
Au,SA007344-026,4.5792,,mg/L,1,0.3,0.0709,0.0002,30,
Au,SA007344-027,0.1572,,mg/L,1,0.7,0.0234,0.0008,30.02,
Au,SA007344-028,0.117,,mg/L,1,1.5,0.0173,0.0008,30.04,
Au,SA007344-029,0.1344,,mg/L,1,0.1,0.0199,0.0005,30.03,
Au,SA007344-030,0.1337,,mg/L,1,0.5,0.0198,0.0008,30.04,
Au,PATRON,0.5364,,mg/L,1,1,0.019,0.0022,,
Au,BLANCO,0.0164,,mg/L,1,>100,0.0005,0.0001,,
Au,BLANCO REACTIVO,0,,mg/L,1,33.9,-0.0009,-0.0004,,
Au,SA007344-031,0.4849,,mg/L,1,0.6,0.0752,0.0006,30.01,
Au,SA007344-032,0.2097,,mg/L,1,1.6,0.032,0.0001,30,
Au,PATRON,0.5053,,mg/L,1,1.6,0.0179,0.0015,,
Au,BLANCO,0.0108,,mg/L,1,59.7,0.0004,0.0004,,
Au,BLANCO REACTIVO,0,,mg/L,1,14.3,-0.0003,0.0002,,
Au,,0.5131,,mg/L,1,2.6,0.0182,0.0022,1,1
