Analista,JS,,,,,,,,
Fecha de inicio,10:58 a. m. 23/12/2025  GMT: 04:58 p. m. 23/12/2025,,,,,,,,
Hoja de trabajo,SA007346,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5112,,mg/L,1,1,0.0176,-0.0003,
Au,BLANCO,0.0132,,mg/L,1,37.6,0.0004,-0.0018,
Au,BLANCO REACTIVO,0,,mg/L,1,19.9,0.001,-0.0009,
Au,SA007346-001,0.1781,,mg/L,1,1.1,0.0266,-0.0012,30
Au,SA007346-002,0.1635,,mg/L,1,2.2,0.0243,-0.0012,30.01
Au,SA007346-003,0.2284,,mg/L,1,1.2,0.0343,-0.0013,30
Au,SA007346-004,0.3887,,mg/L,1,1.5,0.0598,-0.0015,30
Au,SA007346-005,0.6274,,mg/L,1,1.5,0.0994,-0.0023,30.01
Au,PATRON,0.4918,,mg/L,1,0.4,0.0169,-0.0001,
Au,SA007346-006,0.176,,mg/L,1,1.4,0.0262,-0.0014,30
Au,SA007346-007,0.3059,,mg/L,1,0.8,0.0465,-0.0014,30
Au,SA007346-008,-0.0007,,mg/L,1,>100,-0.0001,-0.0017,30.02
Au,SA007346-009,0.9235,,mg/L,1,0.8,0.15,-0.0017,30.03
Au,SA007346-010,0.1627,,mg/L,1,1,0.0242,-0.0021,30.04
Au,PATRON,0.5188,,mg/L,1,0.5,0.0179,-0.0002,
Au,BLANCO,0.0157,,mg/L,1,53.8,0.0005,-0.0022,
Au,BLANCO REACTIVO,0,,mg/L,1,36.6,0.0013,-0.0013,
Au,SA007346-011,0.2753,,mg/L,1,2.1,0.0417,-0.002,30.03
Au,SA007346-012,0.136,,mg/L,1,0.8,0.0201,-0.0016,30.01
Au,SA007346-013,0.0374,,mg/L,1,4.7,0.0054,-0.0016,30.02
Au,SA007346-014,0.0311,,mg/L,1,7.8,0.0045,-0.0018,30
Au,SA007346-015,0.0383,,mg/L,1,2.4,0.0056,-0.0014,30.01
Au,PATRON,0.4867,,mg/L,1,1,0.0167,-0.0003,
Au,SA007346-016,0.0481,,mg/L,1,3.1,0.007,-0.0014,30.02
Au,SA007346-017,0.021,,mg/L,1,8.2,0.0031,-0.0016,30.01
Au,SA007346-018,0.0755,,mg/L,1,0.8,0.0111,-0.0014,30.03
Au,SA007346-019,0.0365,,mg/L,1,2.4,0.0053,-0.0018,30
Au,SA007346-020,0.043,,mg/L,1,5,0.0063,-0.0013,3
Au,PATRON,0.485,,mg/L,1,1.1,0.0167,0,
Au,BLANCO,-0.0136,,mg/L,1,54.9,-0.0005,-0.0021,
Au,BLANCO REACTIVO,0,,mg/L,1,43.8,0.0007,-0.0007,
Au,SA007346-021,0.0516,,mg/L,1,2.3,0.0075,-0.0012,30.03
Au,SA007346-022,0.0012,,mg/L,1,>100,0.0002,-0.001,3
Au,SA007346-023,0.0015,,mg/L,1,46.4,0.0002,-0.0008,30.02
Au,SA007346-024,0.043,,mg/L,1,4.7,0.0063,-0.0002,30.02
Au,SA007346-025,0.1349,,mg/L,1,1.1,0.02,-0.0006,30.04
Au,PATRON,0.495,,mg/L,1,0.9,0.017,0.0003,
Au,SA007346-026,0.396,,mg/L,1,1.3,0.061,-0.0009,30
Au,SA007346-027,0.2072,,mg/L,1,0.8,0.0311,-0.001,30.02
Au,SA007346-028,0.2064,,mg/L,1,1.7,0.0309,-0.0016,30.02
Au,SA007346-029,-0.0001,,mg/L,1,>100,0,-0.0007,30
Au,SA007346-030,0.0657,,mg/L,1,3.4,0.0096,-0.0004,30.03
Au,PATRON,0.5074,,mg/L,1,1.8,0.0175,0.0005,
Au,BLANCO,0.0124,,mg/L,1,57.6,0.0004,-0.0014,
Au,BLANCO REACTIVO,0,,mg/L,1,31.8,0.0009,-0.0007,
Au,SA007346-031,0.0718,,mg/L,1,1.7,0.0105,-0.0011,30.01
Au,SA007346-032,0.0568,,mg/L,1,2.8,0.0083,-0.0011,30.04
Au,PATRON,0.5028,,mg/L,1,0.1,0.0173,0.0001,
Au,BLANCO,-0.0085,,mg/L,1,44.9,-0.0003,-0.0014,
Au,BLANCO REACTIVO,0,,mg/L,1,49.5,0.0002,-0.0004,
