Analista,JS,,,,,,,,
Fecha de inicio,03:37 p. m. 23/12/2025  GMT: 09:37 p. m. 23/12/2025,,,,,,,,
Hoja de trabajo,SA007349,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5129,,mg/L,1,1.4,0.0196,0.0014,
Au,BLANCO,-0.0106,,mg/L,1,95.5,-0.0004,0.0009,
Au,BLANCO REACTIVO,0,,mg/L,1,7.6,-0.0016,0.0009,
Au,SA007349-001,0.4698,,mg/L,1,0.9,0.0739,0.003,30.01
Au,SA007349-002,0.7353,,mg/L,1,1,0.1189,0.0028,30.01
Au,SA007349-003,0.707,,mg/L,1,1,0.1141,0.0026,30.02
Au,SA007349-004,0.9006,,mg/L,1,0.3,0.1474,0.003,30
Au,SA007349-005,0.2087,,mg/L,1,0.2,0.0344,0.0019,30
Au,PATRON,0.5071,,mg/L,1,0.4,0.0194,0.0014,
Au,SA007349-006,0.1955,,mg/L,1,0.8,0.0322,0.0004,30.01
Au,SA007349-007,0.3198,,mg/L,1,0.2,0.0529,0.0002,30.01
Au,SA007349-008,0.3769,,mg/L,1,1.2,0.0625,0.0002,30
Au,SA007349-009,0.6138,,mg/L,1,0.7,0.1022,-0.0001,3
Au,SA007349-010,0.2951,,mg/L,1,1.3,0.0488,-0.0001,30.03
Au,PATRON,0.4925,,mg/L,1,0.5,0.0189,0.0017,
Au,BLANCO,0.0033,,mg/L,1,78.1,0.0001,0,
Au,BLANCO REACTIVO,0,,mg/L,1,34.3,-0.0005,-0.0001,
Au,SA007349-011,0.0081,,mg/L,1,23.6,0.0013,0.0005,30
Au,SA007349-012,0.2711,,mg/L,1,0.2,0.0448,0.0008,30.02
Au,SA007349-013,0.6603,,mg/L,1,1.1,0.1102,0,30.03
Au,SA007349-014,0.1231,,mg/L,1,0.2,0.0202,0.0011,30.02
Au,SA007349-015,0.1089,,mg/L,1,1.7,0.0179,0.0004,30
Au,PATRON,0.4947,,mg/L,1,50.1,0.0189,0.0007,
Au,SA007349-016,0.1482,,mg/L,1,1.3,0.0244,0.001,30
Au,SA007349-017,0.1858,,mg/L,1,1.9,0.0306,0.0008,30.03
Au,SA007349-018,0.2749,,mg/L,1,0.4,0.0454,0.001,30.01
Au,SA007349-019,0.5034,,mg/L,1,1.1,0.0837,0.0003,30
Au,SA007349-020,0.7964,,mg/L,1,0.5,0.1329,0.0003,30
Au,PATRON,0.5004,,mg/L,1,0.6,0.0192,0.0031,
Au,BLANCO,-0.015,,mg/L,1,43.3,-0.0006,0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,26.2,-0.0016,0.0001,
Au,SA007349-021,0.0757,,mg/L,1,0.7,0.0124,0.0023,30.05
Au,SA007349-022,0.0819,,mg/L,1,1.1,0.0134,0.0021,30.03
Au,SA007349-023,0.0047,,mg/L,1,27.3,0.0008,0.0022,3
Au,SA007349-024,0.0101,,mg/L,1,8.6,0.0016,0.0021,3
Au,SA007349-025,0.8243,,mg/L,1,1.3,0.1375,0.0018,30.01
Au,PATRON,0.4954,,mg/L,1,1.8,0.019,0.0035,
Au,SA007349-026,0.2592,,mg/L,1,1.1,0.0428,0.0021,30.04
Au,SA007349-027,0.4669,,mg/L,1,0.2,0.0777,0.0016,30
Au,SA007349-028,0.035,,mg/L,1,3.2,0.0057,0.0019,30.03
Au,PATRON,0.4837,,mg/L,1,1.2,0.0185,0.0035,
Au,BLANCO,0.0099,,mg/L,1,>100,0.0004,0.0018,
Au,BLANCO REACTIVO,0,,mg/L,1,13.5,-0.0013,0.0001,
