Analista,RR,,,,,,,,,,,,
Fecha de inicio,23/12/2025 01:51 a. m.  GMT: 23/12/2025 07:51 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007350-RE_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9927,,mg/L,1.4,0.0962,-0.002,1,1,1,0.0975,0.0949,0.0964
,BLANCO,0.0004,,mg/L,>100,0,0,1,1,1,-0.0003,-0.0003,0.0007
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0008,1,1,1,0,-0.0004,-0.0002
,SA007336-017,6.0898,,mg/L,0.6,0.0246,0.0029,2.004,50,1,0.0244,0.0246,0.0247
,SA007336-018,8.5709,,mg/L,1.3,0.0353,0.0058,2.053,50,1,0.035,0.0358,0.0351
,SA007336-019,4.8833,,mg/L,0.9,0.0199,0.004,2.021,50,1,0.02,0.0201,0.0197
,SA007336-020,-0.0268,,mg/L,>100,-0.0001,0.0025,2.009,50,1,0,0.0003,-0.0007
,SA007336-021,3.1538,,mg/L,1.1,0.0129,0.0053,2.021,50,1,0.0128,0.0129,0.013
,PATRON,0.9998,,mg/L,0.1,0.0945,-0.0022,1,1,1,0.0944,0.0947,0.0945
,SA007336-022,2.7975,,mg/L,4.3,0.0111,0.0046,2.02,50,1,0.0107,0.0111,0.0116
,SA007336-024,3.1542,,mg/L,2.5,0.0124,0.004,2.002,50,1,0.0127,0.0125,0.0121
,PATRON,0.9844,,mg/L,0.7,0.0931,-0.001,1,1,1,0.0929,0.0939,0.0927
,BLANCO,-0.0021,,mg/L,65.1,-0.0002,0.0019,1,1,1,-0.0003,-0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,16.7,-0.001,0.0009,1,1,1,-0.0012,-0.0009,-0.001
