Analista,JS,,,,,,,,,
Fecha de inicio,04:13 p. m. 23/12/2025  GMT: 10:13 p. m. 23/12/2025,,,,,,,,,
Hoja de trabajo,SA007359,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5069,,mg/L,1,0.2,0.0188,-0.0004,1,1
Au,BLANCO,0.0135,,mg/L,1,62.4,0.0005,-0.0003,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,26.2,0.0016,-0.0005,1,1
Au,SA007359-001,0.0998,,mg/L,1,0.1,0.0159,-0.0013,30.011,7
Au,SA007359-002,0.0736,,mg/L,1,1.4,0.0117,-0.0018,30.041,7
Au,SA007359-003,0.0838,,mg/L,1,0.8,0.0133,-0.0013,30.026,7
Au,SA007359-004,0.04,,mg/L,1,1.6,0.0063,-0.0017,30.021,7
Au,SA007359-005,0.0588,,mg/L,1,1.4,0.0093,-0.0013,30.003,7
Au,PATRON,0.5025,,mg/L,1,0.5,0.0187,-0.0004,1,1
Au,SA007359-006,0.0244,,mg/L,1,2.4,0.0039,-0.0013,30.033,7
Au,SA007359-007,0.0337,,mg/L,1,5.8,0.0053,-0.0014,30.038,7
Au,SA007359-008,0.1283,,mg/L,1,1.4,0.0205,-0.0015,30.027,7
Au,SA007359-009,0.0447,,mg/L,1,4.9,0.0071,-0.0012,30.025,7
Au,SA007359-010,0.0544,,mg/L,1,4.6,0.0086,-0.0014,30.003,7
Au,PATRON,0.4835,,mg/L,1,0.8,0.018,-0.0002,1,1
Au,BLANCO,-0.0197,,mg/L,1,25.3,-0.0007,-0.0021,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,27.2,0.0007,-0.0003,1,1
Au,SA007359-011,0.0031,,mg/L,1,43,0.0005,-0.0004,30,7
Au,SA007359-012,0.0457,,mg/L,1,1.9,0.0072,-0.0006,30.033,7
Au,SA007359-013,0.4529,,mg/L,1,0.9,0.0737,0.0002,30.016,7
Au,SA007359-014,0.0503,,mg/L,1,1.3,0.008,-0.0008,30.035,7
Au,SA007359-015,0.0596,,mg/L,1,1.4,0.0095,-0.0001,30.032,7
Au,PATRON,0.5113,,mg/L,1,0.3,0.019,0.0009,1,1
Au,SA007359-016,0.4466,,mg/L,1,1.1,0.0727,-0.0005,30.031,7
Au,SA007359-017,0.409,,mg/L,1,1.2,0.0664,-0.0007,30.003,7
Au,SA007359-018,0.4325,,mg/L,1,0.5,0.0703,-0.0007,30.02,7
Au,SA007359-019,0.2711,,mg/L,1,0.6,0.0437,-0.0006,30.056,7
Au,SA007359-020,0.6007,,mg/L,1,1,0.0984,-0.0012,30.006,7
Au,PATRON,0.5128,,mg/L,1,1,0.0191,0.0007,1,1
Au,BLANCO,0.0001,,mg/L,1,>100,0,-0.0006,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,33.1,0.0008,-0.0001,1,1
Au,SA007359-021,6.1653,,mg/L,1,0.3,0.0989,-0.0003,30.021,7
Au,SA007359-022,0.0111,,mg/L,1,23.3,0.0017,-0.0006,30.006,7
Au,SA007359-023,0.0066,,mg/L,1,30.3,0.001,-0.0005,30.005,7
Au,SA007359-024,0.0059,,mg/L,1,19.9,0.0009,-0.0003,30.007,7
Au,SA007359-025,0.0527,,mg/L,1,2,0.0084,-0.0001,30.009,7
Au,PATRON,0.4989,,mg/L,1,0.8,0.0185,0.0007,1,1
Au,SA007359-026,0.0504,,mg/L,1,2.9,0.008,-0.0002,30.045,7
Au,SA007359-027,0.0625,,mg/L,1,1.5,0.0099,-0.0005,30.002,7
Au,SA007359-028,0.1343,,mg/L,1,1,0.0214,-0.0004,30.003,7
Au,SA007359-029,0.1218,,mg/L,1,0.9,0.0194,-0.0007,30.005,7
Au,SA007359-030,0.1234,,mg/L,1,1.9,0.0197,-0.0005,30.041,7
Au,PATRON,0.5035,,mg/L,1,0.8,0.0187,0.0006,1,1
Au,BLANCO,-0.0107,,mg/L,1,53.5,-0.0004,-0.0008,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,27.7,0.0006,-0.0005,1,1
Au,SA007359-031,0.9004,,mg/L,1,0.6,0.1487,-0.0007,30.011,7
Au,SA007359-032,0.0824,,mg/L,1,3.5,0.0131,-0.0004,30.021,7
Au,PATRON,0.5047,,mg/L,1,0.8,0.0184,0.0018,1,1
Au,BLANCO,-0.0198,,mg/L,1,50.2,-0.0007,-0.0001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0003,1,1
