Analista,JS,,,,,,,,
Fecha de inicio,06:15 p. m. 23/12/2025  GMT: 12:15 a. m. 24/12/2025,,,,,,,,
Hoja de trabajo,SA007363,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.479,,mg/L,1,0.8,0.0179,0.0016,
Au,BLANCO,-0.0079,,mg/L,1,>100,-0.0003,-0.0001,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,-0.0003,
Au,SA007363-001,0.1716,,mg/L,1,0.5,0.0276,0.0002,30.06
Au,SA007363-002,0.276,,mg/L,1,0.5,0.0444,-0.0003,30.02
Au,SA007363-003,0.2806,,mg/L,1,0.5,0.0453,-0.0001,30.07
Au,SA007363-004,0.1832,,mg/L,1,0.3,0.0294,-0.0006,30.04
Au,SA007363-005,0.461,,mg/L,1,0.9,0.0744,-0.0006,30.03
Au,PATRON,0.4894,,mg/L,1,0.5,0.0183,0.0006,
Au,SA007363-006,0.2604,,mg/L,1,1,0.042,-0.0005,30.08
Au,SA007363-007,0.1082,,mg/L,1,1.3,0.0179,-0.0004,31
Au,SA007363-008,0.2318,,mg/L,1,1.4,0.0372,-0.0006,30
Au,SA007363-009,0.1652,,mg/L,1,0.9,0.0265,-0.0004,30
Au,SA007363-010,0.1365,,mg/L,1,1.9,0.0219,-0.0003,30.08
Au,PATRON,0.4982,,mg/L,1,1.3,0.0186,0.0003,
Au,BLANCO,0.0151,,mg/L,1,64.9,0.0006,-0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0009,
Au,SA007363-011,0.2424,,mg/L,1,1.4,0.0389,-0.0003,30
Au,SA007363-012,0.3876,,mg/L,1,0.5,0.0625,-0.0002,29.99
Au,SA007363-013,0.1697,,mg/L,1,0.8,0.0273,-0.0004,30.1
Au,SA007363-014,0.2024,,mg/L,1,0.9,0.0325,-0.0002,30.02
Au,SA007363-015,0.1378,,mg/L,1,0.6,0.022,0.0003,29.94
Au,PATRON,0.4812,,mg/L,1,0.7,0.018,0.0013,
Au,SA007363-016,0.0936,,mg/L,1,1.5,0.015,0.0002,30.05
Au,SA007363-017,0.1228,,mg/L,1,2.5,0.0197,0,30.09
Au,SA007363-018,0.1071,,mg/L,1,1.3,0.0172,-0.0001,30.2
Au,SA007363-019,0.2139,,mg/L,1,0.7,0.0343,0.0001,30
Au,SA007363-020,0.0107,,mg/L,1,7.2,0.0017,0,3
Au,PATRON,0.4922,,mg/L,1,1.4,0.0184,0.0014,
Au,BLANCO,0.0081,,mg/L,1,>100,0.0003,-0.0002,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,-0.0001,
Au,SA007363-021,0.2279,,mg/L,1,1.4,0.0367,0.0001,30.06
Au,SA007363-022,0.0031,,mg/L,1,68.7,0.0005,0.0005,30.02
Au,SA007363-023,0.1236,,mg/L,1,0.9,0.0198,0.0008,30.09
Au,SA007363-024,0.114,,mg/L,1,1.3,0.0183,0.0006,30.07
Au,SA007363-025,0.1567,,mg/L,1,1.6,0.0251,0.0004,29.97
Au,PATRON,0.4799,,mg/L,1,1.7,0.0179,0.0014,
Au,SA007363-026,0.1631,,mg/L,1,1.2,0.0261,0.0008,29.93
Au,SA007363-027,-0.0021,,mg/L,1,>100,-0.0003,0.0003,29.99
Au,SA007363-028,0.265,,mg/L,1,0.8,0.0427,-0.0001,30.05
Au,SA007363-029,0.2432,,mg/L,1,1.1,0.0392,0.0003,30.06
Au,SA007363-030,0.2346,,mg/L,1,1.2,0.0377,0.0004,29.9
Au,PATRON,0.4995,,mg/L,1,2,0.0186,0.0015,
Au,BLANCO,-0.0018,,mg/L,1,>100,-0.0001,0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0001,
Au,SA007363-031,0.1256,,mg/L,1,1.2,0.0196,0,29.99
Au,PATRON,0.5143,,mg/L,1,6.7,0.0188,0.0018,
Au,BLANCO,0.0173,,mg/L,1,51.1,0.0006,0.0001,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,0.0005,
