Analista,LRF,,,,,,,,,,,,
Fecha de inicio,24/12/2025 04:21 p. m.  GMT: 24/12/2025 10:21 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007392-RE,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0001,,mg/L,1.4,0.108,-0.0015,,,,0.1098,0.107,0.1072
,BLANCO,-0.0062,,mg/L,41.8,-0.0007,-0.0018,,,,-0.0004,-0.0008,-0.0009
,BLANCO REACTIVO,0,,mg/L,16.5,0.001,-0.0005,,,,0.0009,0.0012,0.001
,SA007358-001,2.3671,,mg/L,1.1,0.0106,0.0048,,5,,0.0105,0.0107,0.0106
,SA007358-002,5.8491,,mg/L,1.2,0.0261,0.0026,,5,,0.0258,0.0259,0.0264
,SA007358-003,2.398,,mg/L,3.8,0.0107,0.0046,,5,,0.0105,0.0112,0.0105
,SA007358-004,2.1522,,mg/L,3.4,0.0096,0.0052,,5,,0.0095,0.01,0.0094
,SA007358-005,2.1101,,mg/L,4.8,0.0094,0.0041,,5,,0.0099,0.0093,0.0091
,PATRON,0.9824,,mg/L,1.4,0.1062,-0.0021,,,,0.1045,0.1068,0.1072
,BLANCO,0.007,,mg/L,47,0.0008,-0.0019,,,,0.001,0.001,0.0004
,BLANCO REACTIVO,0,,mg/L,19.5,0.0015,-0.0007,,,,0.0012,0.0018,0.0015
