Analista,ACG,,,,,,,,,,,,
Fecha de inicio,30/12/2025 09:34 a. m.  GMT: 30/12/2025 03:34 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007460,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0083,,mg/L,1.2,0.1001,-0.0027,,,,0.0988,0.1003,0.1011
,BLANCO,-0.0023,,mg/L,53.6,-0.0002,0,,,,-0.0002,-0.0004,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0002,,,,-0.0001,0.0001,0.0001
,SA007460-001,5.0709,,mg/L,1.1,0.0218,0.0039,2.07,5,,0.0218,0.0221,0.0216
,SA007460-002,7.4042,,mg/L,1.2,0.0316,0.0032,2.06,5,,0.0314,0.032,0.0313
,SA007460-003,7.4587,,mg/L,0.5,0.0317,0.0029,2.05,5,,0.0318,0.0319,0.0316
,SA007460-004,0.311,,mg/L,44.7,0.0013,-0.0015,,5,,0.0019,0.0013,0.0007
,SA007460-005,0.175,,mg/L,43.9,0.0008,0.0001,2.09,5,,0.0006,0.0006,0.0012
,PATRON,1.0057,,mg/L,0.2,0.0998,-0.0018,,,,0.0998,0.0996,0.1
,SA007460-006,4.2557,,mg/L,2.6,0.0182,0.0023,2.05,5,,0.0188,0.018,0.0179
,SA007460-007,3.7427,,mg/L,1.3,0.0162,0.0035,2,5,,0.0162,0.0165,0.0161
,SA007460-008,4.1522,,mg/L,1.4,0.0178,0.0026,2.06,5,,0.0176,0.0179,0.0181
,SA007460-009,0.1963,,mg/L,51,0.0008,0.0013,2.01,5,,0.0011,0.0003,0.001
,SA007460-010,2.7911,,mg/L,0.5,0.012,0.0026,2.05,5,,0.012,0.0119,0.012
,PATRON,1.0135,,mg/L,0.7,0.1006,-0.0022,,,,0.1003,0.1013,0.1001
,BLANCO,0.0101,,mg/L,33,0.0011,-0.0013,,,,0.0014,0.001,0.0007
,BLANCO REACTIVO,0,,mg/L,55.8,0.0006,-0.0008,,,,0.0004,0.0005,0.001
,SA007460-011,5.2564,,mg/L,0.2,0.022,0.0043,2.01,5,,0.022,0.022,0.022
,SA007460-012,4.6089,,mg/L,1.1,0.0196,0.0036,2.04,5,,0.0197,0.0194,0.0198
,SA007460-013,3.8647,,mg/L,1.7,0.0163,0.004,2.02,5,,0.0162,0.0166,0.0161
,SA007460-014,4.5275,,mg/L,0.5,0.0193,0.0035,2.04,5,,0.0193,0.0194,0.0192
,SA007460-015,5.4472,,mg/L,0.4,0.0233,0.0036,2.05,5,,0.0234,0.0233,0.0232
,PATRON,1.0102,,mg/L,0.5,0.1002,-0.0019,,,,0.0999,0.1,0.1009
,SA007460-016,4.2757,,mg/L,1.2,0.0182,0.0024,2.04,5,,0.018,0.0184,0.0182
,SA007460-017,5.0633,,mg/L,0.2,0.0217,0.0032,2,5,,0.0217,0.0217,0.0217
,SA007460-018,4.1917,,mg/L,2.6,0.018,0.0015,2.05,5,,0.0174,0.0183,0.0181
,SA007460-019,4.0537,,mg/L,2.6,0.0175,0.0019,2.07,5,,0.0173,0.0172,0.018
,SA007460-020,3.448,,mg/L,0.9,0.0146,0.0027,2.03,5,,0.0148,0.0145,0.0145
,PATRON,1.0012,,mg/L,0.9,0.0994,-0.0022,,,,0.0984,0.0998,0.1
,BLANCO,0.0047,,mg/L,53.6,0.0005,-0.0017,,,,0.0004,0.0008,0.0003
,BLANCO REACTIVO,0,,mg/L,18.6,0.001,-0.001,,,,0.001,0.0008,0.0011
,SA007460-021,4.3049,,mg/L,1.6,0.0183,0.0032,2.04,5,,0.0186,0.0183,0.0181
,SA007460-022,14.1633,,mg/L,0.8,0.0578,0.0018,2,5,,0.0577,0.0574,0.0583
,SA007460-023,3.8255,,mg/L,1.7,0.0164,0.0031,2.05,5,,0.0167,0.0165,0.0161
,SA007460-024,5.2707,,mg/L,2.6,0.0226,0.0021,2,5,,0.0231,0.022,0.0226
,SA007460-025,4.7415,,mg/L,1.8,0.0204,0.0021,2.06,5,,0.0204,0.0207,0.02
,PATRON,0.9909,,mg/L,0.6,0.0984,-0.0027,,,,0.0983,0.098,0.099
,SA007460-026,3.2858,,mg/L,2.9,0.0142,0.0026,2.07,5,,0.0147,0.0139,0.0141
,SA007460-027,3.152,,mg/L,2.7,0.0132,0.0024,2,5,,0.0129,0.0133,0.0135
,SA007460-028,3.0731,,mg/L,1.4,0.0131,0.0017,2.03,5,,0.0132,0.0132,0.0129
,SA007460-029,14.4329,,mg/L,0.3,0.0606,0.0011,2.06,5,,0.0607,0.0607,0.0604
,SA007460-030,2.8067,,mg/L,1.8,0.0119,0.0031,2.03,5,,0.0118,0.0119,0.0122
,PATRON,0.9862,,mg/L,0.4,0.098,-0.0029,,,,0.0976,0.098,0.0984
,BLANCO,0.0065,,mg/L,13.6,0.0007,-0.0028,,,,0.0007,0.0006,0.0007
,BLANCO REACTIVO,0,,mg/L,11.1,0.0014,-0.0014,,,,0.0013,0.0014,0.0016
,SA007460-031,4.1614,,mg/L,0.5,0.0178,0.0028,2.04,5,,0.0178,0.0178,0.0176
,SA007460-032,3.7914,,mg/L,0.7,0.0164,0.0038,2.07,5,,0.0164,0.0163,0.0165
,PATRON,0.977,,mg/L,0.4,0.0971,-0.003,,,,0.0976,0.097,0.0968
,BLANCO,-0.002,,mg/L,>100,-0.0002,-0.0027,,,,0.0001,-0.0002,-0.0006
,BLANCO REACTIVO,0,,mg/L,14.9,0.0007,-0.0007,,,,0.0008,0.0006,0.0007
