Analista,ACG,,,,,,,,,,,,
Fecha de inicio,30/12/2025 02:23 p. m.  GMT: 30/12/2025 08:23 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007472,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9914,,mg/L,0.3,0.1033,-0.002,,,,0.103,0.1036,0.1033
,BLANCO,0.0086,,mg/L,34.9,0.001,-0.001,,,,0.0013,0.0009,0.0007
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0001,,,,0,0,0
,SA007472-001,1.3879,,mg/L,3.7,0.0062,0.0035,2.02,5,,0.006,0.0062,0.0065
,SA007472-002,1.7226,,mg/L,4,0.0078,0.0022,2.03,5,,0.0077,0.0081,0.0075
,SA007472-003,2.185,,mg/L,1.2,0.01,0.0021,2.06,5,,0.01,0.0098,0.01
,SA007472-004,1.9882,,mg/L,3.4,0.0089,0.0026,2.03,5,,0.009,0.0092,0.0086
,SA007472-005,2.3129,,mg/L,1.5,0.0103,0.0025,2,5,,0.0104,0.0102,0.0104
,PATRON,0.996,,mg/L,0.7,0.1037,-0.0037,,,,0.1039,0.1029,0.1043
,SA007472-006,2.8512,,mg/L,4,0.0127,0.0015,2,5,,0.0126,0.0123,0.0133
,SA007472-007,4.0838,,mg/L,2,0.0186,0.0038,2,5,,0.0184,0.0184,0.019
,SA007472-008,2.9745,,mg/L,3.7,0.0134,0.0033,2.03,5,,0.0139,0.0133,0.0129
,SA007472-009,3.7134,,mg/L,0.7,0.0166,0.0034,2.02,5,,0.0167,0.0165,0.0166
,SA007472-010,3.6322,,mg/L,1.7,0.0163,0.0021,2,5,,0.0165,0.016,0.0165
,PATRON,1.0022,,mg/L,1.4,0.1044,-0.0034,,,,0.103,0.1042,0.1059
,BLANCO,0.0036,,mg/L,97.1,0.0004,-0.0028,,,,0.0002,0.0001,0.0008
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0001,,,,-0.0003,0.0002,-0.0001
,SA007472-011,1.5862,,mg/L,0.1,0.0073,0.0018,2.08,5,,0.0073,0.0073,0.0074
,SA007472-012,1.1852,,mg/L,8.7,0.0054,0.0026,2.03,5,,0.0055,0.0048,0.0057
,SA007472-013,0.0159,,mg/L,>100,0.0001,0.0008,2.05,5,,0.0004,0.0001,-0.0002
,SA007472-014,-0.0009,,mg/L,>100,0,-0.0004,2.05,5,,-0.0001,0,0
,SA007472-015,-0.0531,,mg/L,88.5,-0.0002,-0.003,,5,,-0.0004,-0.0003,0
,PATRON,0.9933,,mg/L,0.1,0.1035,-0.0038,,,,0.1036,0.1033,0.1035
,SA007472-016,1.5225,,mg/L,5.3,0.007,0.0006,2.06,5,,0.0066,0.0073,0.0071
,SA007472-017,1.7125,,mg/L,2.1,0.0076,0.002,2.01,5,,0.0078,0.0076,0.0075
,SA007472-018,-0.0114,,mg/L,>100,-0.0001,-0.0025,2.02,5,,-0.0002,0,0.0001
,SA007472-019,1.9172,,mg/L,2.8,0.0086,0.0019,2.03,5,,0.0085,0.0085,0.0089
,SA007472-020,1.7102,,mg/L,3.3,0.0078,0.0027,2.06,5,,0.0077,0.0081,0.0077
,PATRON,0.9895,,mg/L,0.8,0.1031,-0.0038,,,,0.1039,0.1031,0.1023
,BLANCO,-0.0021,,mg/L,>100,-0.0002,-0.003,,,,-0.0005,-0.0003,0.0001
,BLANCO REACTIVO,0,,mg/L,23.2,-0.0003,0.0004,,,,-0.0003,-0.0003,-0.0002
,SA007472-021,1.588,,mg/L,2.5,0.0072,0.0034,2,5,,0.007,0.0074,0.0072
,SA007472-022,2.1135,,mg/L,1,0.0095,0.0055,2.03,5,,0.0095,0.0096,0.0094
,SA007472-023,1.5921,,mg/L,3.9,0.0072,0.0038,2.03,5,,0.0073,0.0073,0.0069
,SA007472-024,1.9485,,mg/L,3.9,0.0088,0.0037,2.02,5,,0.0091,0.0084,0.0088
,SA007472-025,2.023,,mg/L,2.1,0.0093,0.0035,2.07,5,,0.0094,0.0094,0.0091
,PATRON,0.9894,,mg/L,0.3,0.1031,-0.0035,,,,0.1033,0.1032,0.1028
,SA007472-026,2.0359,,mg/L,2.6,0.0091,0.0017,2.01,5,,0.0094,0.009,0.0089
,SA007472-027,1.3468,,mg/L,2,0.0061,0.0016,2.04,5,,0.0063,0.0061,0.006
,SA007472-028,2.4242,,mg/L,2.3,0.011,0.0025,2,5,,0.0111,0.0112,0.0107
,SA007472-029,2.2809,,mg/L,2.6,0.0106,0.0029,2.09,5,,0.0103,0.0106,0.0109
,SA007472-030,4.7243,,mg/L,1.7,0.0215,0.0038,2.07,5,,0.0214,0.0219,0.0212
,PATRON,0.9875,,mg/L,0.3,0.1029,-0.0033,,,,0.1032,0.1029,0.1026
,BLANCO,0.0059,,mg/L,29.8,0.0007,-0.0027,,,,0.0004,0.0007,0.0008
,BLANCO REACTIVO,0,,mg/L,11.1,0.0017,-0.0015,,,,0.0019,0.0016,0.0016
,SA007472-031,1.7669,,mg/L,1.7,0.008,0.0069,2.03,5,,0.0081,0.008,0.0078
,SA007472-032,14.513,,mg/L,0.5,0.0625,0.005,2.01,5,,0.0622,0.0628,0.0626
,PATRON,0.9983,,mg/L,0.3,0.104,-0.0009,,,,0.1036,0.1043,0.104
,BLANCO,0.0018,,mg/L,>100,0.0002,-0.0025,,,,0.0003,0.0005,-0.0002
,BLANCO REACTIVO,0,,mg/L,36.5,0.0006,-0.0008,,,,0.0007,0.0004,0.0007
