Analista,,,,,,,,,,,,,
Fecha de inicio,01/01/2026 02:41 p. m.  GMT: 01/01/2026 08:41 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007499,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.981,,mg/L,1,0.0932,-0.0009,1,1,1,0.0921,0.0938,0.0936
,BLANCO,0.0027,,mg/L,30.3,0.0003,-0.0002,1,1,1,0.0002,0.0002,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0005,1,1,1,0,0.0008,0.0003
,SA007499-001,2.9844,,mg/L,2.8,0.012,0.0046,2.008,50,1,0.012,0.0116,0.0123
,SA007499-002,2.1437,,mg/L,2.6,0.0086,0.0054,2,50,1,0.0087,0.0087,0.0083
,SA007499-003,1.1374,,mg/L,1.9,0.0046,0.0061,2.005,50,1,0.0047,0.0046,0.0045
,SA007499-004,2.7653,,mg/L,13.7,0.0111,0.0066,2.005,50,1,0.0127,0.0108,0.0097
,SA007499-005,2.9861,,mg/L,7.7,0.012,0.0067,2.007,50,1,0.013,0.0115,0.0113
,PATRON,0.9742,,mg/L,1,0.0925,-0.0018,1,1,1,0.0915,0.0928,0.0933
,SA007499-006,0.0547,,mg/L,72.3,0.0002,0.0029,1.999,50,1,0.0001,0.0002,0.0004
,SA007499-007,3.1719,,mg/L,3.8,0.0127,0.0058,2.003,50,1,0.013,0.0129,0.0121
,SA007499-008,3.2435,,mg/L,3.7,0.0129,0.0049,1.999,50,1,0.0124,0.0133,0.0131
,SA007499-009,3.0037,,mg/L,3.3,0.0121,0.005,2.011,50,1,0.0116,0.0123,0.0122
,SA007499-010,0.0314,,mg/L,64.1,0.0001,-0.0011,2,50,1,0.0001,0.0001,0.0002
,PATRON,0.9757,,mg/L,0.6,0.0927,-0.0018,1,1,1,0.0925,0.0933,0.0922
,BLANCO,0.0001,,mg/L,>100,0,-0.001,1,1,1,0,0.0004,-0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0002,1,1,1,-0.0003,0.0003,0.0001
,SA007499-011,2.883,,mg/L,2.1,0.0116,0.005,2.012,50,1,0.0116,0.0118,0.0113
,SA007499-012,2.8565,,mg/L,1.1,0.0114,0.0056,2.006,50,1,0.0116,0.0115,0.0113
,SA007499-013,3.5936,,mg/L,3,0.0127,0.006,1.998,50,1,0.0132,0.0125,0.0125
,SA007499-014,2.917,,mg/L,2.8,0.0117,0.0059,2.003,50,1,0.0119,0.0119,0.0113
,SA007499-015,2.244,,mg/L,1.3,0.009,0.0058,2.013,50,1,0.0089,0.0091,0.009
,PATRON,0.9835,,mg/L,0.2,0.0934,-0.001,1,1,1,0.0933,0.0933,0.0936
,SA007499-016,1.8295,,mg/L,5.8,0.0073,0.0051,2.007,50,1,0.0073,0.0078,0.007
,SA007499-017,2.4056,,mg/L,6.3,0.0097,0.0056,2.009,50,1,0.0103,0.0095,0.0091
,SA007499-018,2.1037,,mg/L,13.3,0.0084,0.0083,2,50,1,0.0097,0.008,0.0075
,SA007499-019,2.2543,,mg/L,1.4,0.009,0.006,1.999,50,1,0.0091,0.0089,0.0091
,SA007499-020,4.5721,,mg/L,2.1,0.0183,0.0066,2.015,50,1,0.018,0.0188,0.0182
,PATRON,0.9604,,mg/L,0.5,0.0913,-0.0007,1,1,1,0.0908,0.0915,0.0916
,BLANCO,0.003,,mg/L,>100,0.0003,-0.0002,1,1,1,0.0004,-0.0003,0.0008
,BLANCO REACTIVO,0,,mg/L,51.2,0.0004,-0.0001,1,1,1,0.0003,0.0006,0.0003
,SA007499-021,2.3802,,mg/L,5,0.0095,0.0058,2.001,50,1,0.0096,0.009,0.01
,SA007499-022,1.2283,,mg/L,8.4,0.0049,0.0059,2.007,50,1,0.0054,0.0047,0.0047
,SA007499-023,1.686,,mg/L,2.8,0.0068,0.0056,2.003,50,1,0.0069,0.0068,0.0065
,SA007499-024,2.725,,mg/L,2.5,0.0109,0.0058,2.002,50,1,0.0107,0.0112,0.0108
,SA007499-025,2.7036,,mg/L,1,0.0108,0.0036,2.003,50,1,0.0107,0.0109,0.0107
,PATRON,1.0401,,mg/L,85.9,0.0984,-0.0012,1,1,1,0.1663,0.1254,0.0036
,SA007499-026,2.8485,,mg/L,3,0.0114,0.0029,2.001,50,1,0.0112,0.0111,0.0118
,SA007499-027,2.7834,,mg/L,1,0.0111,0.003,2.003,50,1,0.0111,0.0113,0.0111
,SA007499-028,3.5337,,mg/L,2.8,0.0141,0.004,1.998,50,1,0.0137,0.0145,0.014
,SA007499-029,5.2049,,mg/L,21.5,0.0207,0.0076,2.003,50,1,0.0256,0.0195,0.017
,SA007499-030,5.0674,,mg/L,12.8,0.0201,0.0124,1.998,50,1,0.0216,0.0216,0.0171
,PATRON,1.0075,,mg/L,88.7,0.0955,-0.0014,1,1,1,0.1694,0.1141,0.0031
,BLANCO,0.0069,,mg/L,73.3,0.0007,-0.0014,1,1,1,0.0013,0.0005,0.0003
,BLANCO REACTIVO,0,,mg/L,41.3,0.0004,0.0002,1,1,1,0.0004,0.0006,0.0003
,SA007499-031,-0.0428,,mg/L,37.3,-0.0002,0.0041,2.003,50,1,-0.0002,-0.0001,-0.0002
,SA007499-032,3.4935,,mg/L,3.4,0.0139,0.0064,2.003,50,1,0.0142,0.0142,0.0134
,PATRON,0.9947,,mg/L,88,0.0944,-0.0011,1,1,1,0.1657,0.1144,0.0031
,BLANCO,0.0015,,mg/L,>100,0.0001,-0.0004,1,1,1,0.0004,0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0.0005,0,1,1,1,0.001,0.0003,0.0001
