Analista,MVG,,,,,,,,,,,,,
Fecha de inicio,03/01/2026 04:58 a. m.  GMT: 03/01/2026 10:58 a. m.,,,,,,,,,,,,,
Hoja de trabajo,SA007517,,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,PATRON,0.9665,,mg/L,0.3,0.0951,-0.0019,,,,0.0947,0.0952,0.0953,0.0953
,BLANCO,-0.0032,,mg/L,80.7,-0.0003,-0.0003,,,,0,-0.0004,-0.0005,-0.0005
,BLANCO REACTIVO,0,,mg/L,17.8,0.0014,-0.0011,,,,0.0016,0.0014,0.0011,0.0011
,SA007517-001,5.7522,,mg/L,0.8,0.023,0.0014,2.01,5,,0.0232,0.0232,0.0228,0.0228
,SA007517-002,5.9356,,mg/L,0.6,0.024,0.0015,2,5,,0.0239,0.0242,0.0239,0.0239
,SA007517-003,5.5287,,mg/L,2.1,0.0222,0.0013,2.01,5,,0.0227,0.0218,0.022,0.022
,SA007517-004,0.1797,,mg/L,17.9,0.0007,-0.0009,,5,,0.0008,0.0006,0.0007,0.0007
,SA007517-005,0.1989,,mg/L,14.3,0.0008,-0.0003,2.03,5,,0.0007,0.0009,0.0008,0.0008
,PATRON,0.9851,,mg/L,1.1,0.0922,-0.0016,,,,0.0925,0.0931,0.0911,0.0911
,SA007517-006,3.1848,,mg/L,0.6,0.0123,0.003,2,5,,0.0124,0.0122,0.0123,0.0123
,SA007517-007,4.0927,,mg/L,2.3,0.0161,0.0028,2.04,5,,0.0162,0.0157,0.0164,0.0164
,SA007517-008,5.1706,,mg/L,1.7,0.0199,0.0037,2,5,,0.0203,0.0197,0.0197,0.0197
,SA007517-009,4.4376,,mg/L,2.4,0.0172,0.003,2,5,,0.0167,0.0172,0.0175,0.0175
,SA007517-010,6.1791,,mg/L,1.7,0.0239,0.0034,2,5,,0.0235,0.0238,0.0243,0.0243
,PATRON,0.9836,,mg/L,1.8,0.0965,-0.0004,,,,0.095,0.096,0.0984,0.0984
,BLANCO,-0.0006,,mg/L,>100,-0.0001,-0.0032,,,,-0.0005,-0.0003,0.0006,0.0006
,BLANCO REACTIVO,0,,mg/L,16.5,0.0016,-0.0016,,,,0.0016,0.0018,0.0013,0.0013
,SA007517-011,3.3907,,mg/L,2.9,0.0134,0.0052,2.02,5,,0.0132,0.0133,0.0139,0.0139
,PATRON,0.9666,,mg/L,0.6,0.0906,-0.0011,,,,0.0901,0.0904,0.0912,0.0912
,BLANCO,0.0007,,mg/L,>100,0.0001,-0.0006,,,,0.0004,0.0002,-0.0004,-0.0004
,BLANCO REACTIVO,0,,mg/L,56.5,0.0003,-0.0003,,,,0.0005,0.0001,0.0004,0.0004
