Analista,MVG,,,,,,,,,,,,
Fecha de inicio,07/01/2026 05:15 a. m.  GMT: 07/01/2026 11:15 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007591,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0358,,mg/L,0.6,0.0982,0.0108,1,1,1,0.0977,0.0989,0.098
,BLANCO,-0.0022,,mg/L,>100,-0.0002,0.0116,1,1,1,-0.0004,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,9.4,-0.006,0.0061,1,1,1,-0.0057,-0.0056,-0.0066
,SA007591-001,6.4637,,mg/L,0.8,0.022,0.0159,2.005,50,1,0.0218,0.0219,0.0222
,SA007591-002,6.4267,,mg/L,1.3,0.0219,0.0164,2.015,50,1,0.0218,0.0217,0.0223
,SA007591-003,4.0816,,mg/L,0.2,0.0136,0.0168,2.022,50,1,0.0137,0.0136,0.0136
,SA007591-004,4.6061,,mg/L,1.3,0.0156,0.0155,2.033,50,1,0.0156,0.0158,0.0154
,SA007591-005,0.221,,mg/L,41.7,0.0007,0.0127,2.011,50,1,0.0006,0.001,0.0005
,PATRON,1.0291,,mg/L,1.1,0.0975,0.0103,1,1,1,0.0985,0.0963,0.0978
,SA007591-006,5.2787,,mg/L,3.1,0.0178,0.0158,2.017,50,1,0.0185,0.0174,0.0176
,SA007591-007,-0.0077,,mg/L,>100,0,0.0119,2,50,1,0,0,0
,SA007591-008,-0.1601,,mg/L,52.5,-0.0005,0.0166,2.005,50,1,-0.0007,-0.0002,-0.0006
,SA007591-009,6.6353,,mg/L,0.9,0.0227,0.0169,2.016,50,1,0.0225,0.0228,0.0229
,SA007591-010,11.9894,,mg/L,0.7,0.0433,0.0176,2.028,50,1,0.0437,0.0433,0.0431
,PATRON,1.0009,,mg/L,0.3,0.0938,0.004,1,1,1,0.0937,0.0936,0.0941
,BLANCO,0.005,,mg/L,51.1,0.0004,0.0113,1,1,1,0.0002,0.0006,0.0005
,BLANCO REACTIVO,0,,mg/L,7.9,-0.0052,0.0058,1,1,1,-0.0057,-0.0049,-0.0051
,SA007591-011,5.7063,,mg/L,0.9,0.0193,0.0166,2.012,50,1,0.0193,0.0191,0.0195
,SA007591-012,7.6108,,mg/L,1.8,0.0263,0.017,2.014,50,1,0.026,0.026,0.0268
,SA007591-013,5.0795,,mg/L,2,0.0172,0.0167,2.023,50,1,0.0175,0.0168,0.0171
,SA007591-014,4.3526,,mg/L,1.8,0.0146,0.0166,2.019,50,1,0.0146,0.0143,0.0148
,SA007591-015,12.4824,,mg/L,0.6,0.0446,0.0169,2.001,50,1,0.0445,0.0445,0.0449
,PATRON,1.0281,,mg/L,0.6,0.0965,0.0092,1,1,1,0.0965,0.0959,0.097
,SA007591-016,10.8609,,mg/L,0.6,0.0385,0.0133,2.012,50,1,0.0384,0.0384,0.0388
,SA007591-017,4.9363,,mg/L,2.2,0.0168,0.0148,2.019,50,1,0.0164,0.0172,0.0168
,SA007591-018,3.5524,,mg/L,2.3,0.012,0.0145,2.029,50,1,0.0123,0.0118,0.0119
,SA007591-019,4.1159,,mg/L,1.6,0.014,0.0159,2.024,50,1,0.0141,0.0137,0.0141
,SA007591-020,2.4221,,mg/L,0.7,0.008,0.0139,2.011,50,1,0.0081,0.008,0.008
,PATRON,0.9804,,mg/L,0.7,0.0926,0.0039,1,1,1,0.092,0.0924,0.0932
,BLANCO,-0.0574,,mg/L,2.6,-0.0047,0.0056,1,1,1,-0.0046,-0.0048,-0.0046
,BLANCO REACTIVO,0,,mg/L,3.2,-0.0043,0.0052,1,1,1,-0.0042,-0.0045,-0.0043
,SA007591-021,5.0589,,mg/L,1,0.0172,0.0145,2.012,50,1,0.0173,0.0173,0.017
,SA007591-022,2.7648,,mg/L,1.8,0.0092,0.0151,2.006,50,1,0.0093,0.009,0.0092
,SA007591-023,2.9075,,mg/L,3.1,0.0097,0.0157,2.01,50,1,0.0095,0.01,0.0095
,SA007591-024,4.0106,,mg/L,5,0.0137,0.0168,2.035,50,1,0.0136,0.013,0.0144
,SA007591-025,4.1249,,mg/L,0.1,0.0139,0.0172,2.016,50,1,0.0139,0.014,0.0139
,PATRON,1.024,,mg/L,0.7,0.0968,0.0081,1,1,1,0.0976,0.0963,0.0965
,SA007591-026,13.8348,,mg/L,0.9,0.0505,0.0151,2.031,50,1,0.0503,0.0502,0.051
,SA007591-027,5.5602,,mg/L,0.8,0.0191,0.0139,2.028,50,1,0.0193,0.019,0.0191
,SA007591-028,2.0126,,mg/L,6,0.0067,0.0135,2.023,50,1,0.0063,0.0067,0.0071
,SA007591-029,2.4823,,mg/L,1.1,0.0083,0.0149,2.019,50,1,0.0083,0.0082,0.0084
,SA007591-030,2.1967,,mg/L,3.3,0.0073,0.0145,2.006,50,1,0.007,0.0075,0.0073
,PATRON,1.0197,,mg/L,1.1,0.0964,0.0077,1,1,1,0.0976,0.0961,0.0955
,BLANCO,0.0066,,mg/L,>100,0.0005,0.0091,1,1,1,0.0007,-0.0001,0.001
,BLANCO REACTIVO,0,,mg/L,4.4,-0.0042,0.0052,1,1,1,-0.004,-0.0044,-0.0041
,SA007591-031,1.8756,,mg/L,3.3,0.0062,0.0136,2.005,50,1,0.006,0.0065,0.0063
,SA007591-032,14.3467,,mg/L,1,0.0505,0.0108,2.009,50,1,0.0506,0.051,0.05
,PATRON,1.0291,,mg/L,0.8,0.0973,0.0072,1,1,1,0.0981,0.0974,0.0964
,BLANCO,-0.0048,,mg/L,80.8,-0.0004,0.0089,1,1,1,-0.0007,-0.0004,-0.0001
,BLANCO REACTIVO,0,,mg/L,3.3,-0.0047,0.0049,1,1,1,-0.0045,-0.0047,-0.0048
