Analista,NR,,,,,,,,
Fecha de inicio,10:47 a. m. 07/01/2026  GMT: 04:47 p. m. 07/01/2026,,,,,,,,
Hoja de trabajo,SA007593,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4873,,mg/L,1,1.1,0.0187,-0.0013,
Au,BLANCO,-0.0098,,mg/L,1,13.6,-0.0004,-0.0022,
Au,BLANCO REACTIVO,0,,mg/L,1,34.8,0.0012,-0.001,
Au,SA007593-001,0.3136,,mg/L,1,1,0.0511,-0.0012,30.03
Au,SA007593-002,0.1902,,mg/L,1,1.3,0.0312,-0.0019,30
Au,SA007593-003,0.4793,,mg/L,1,1,0.0774,-0.0016,30.01
Au,SA007593-004,0.2529,,mg/L,1,0.8,0.0414,-0.0021,30.01
Au,SA007593-005,0.2879,,mg/L,1,0.3,0.047,-0.0022,30.01
Au,PATRON,0.5072,,mg/L,1,1.1,0.0195,-0.0011,
Au,SA007593-006,0.287,,mg/L,1,0.3,0.0469,-0.0004,30.01
Au,SA007593-007,0.0371,,mg/L,1,4.5,0.0061,-0.0019,30.01
Au,SA007593-008,0.066,,mg/L,1,1.4,0.0109,-0.0017,30
Au,SA007593-009,0.0615,,mg/L,1,3.4,0.0102,-0.0014,30.02
Au,SA007593-010,0.1442,,mg/L,1,1.3,0.0238,-0.0017,30.03
Au,PATRON,0.5161,,mg/L,1,0.8,0.0198,-0.001,
Au,BLANCO,-0.001,,mg/L,1,>100,0,-0.0019,
Au,BLANCO REACTIVO,0,,mg/L,1,22.7,0.001,-0.001,
Au,SA007593-011,0.1005,,mg/L,1,2,0.0166,-0.0014,30.01
Au,SA007593-012,0.7201,,mg/L,1,1.3,0.115,-0.0017,30.03
Au,SA007593-013,0.1068,,mg/L,1,0.8,0.0176,-0.0011,30
Au,SA007593-014,0.2146,,mg/L,1,1.7,0.0352,-0.0016,30.02
Au,SA007593-015,0.1368,,mg/L,1,1.7,0.0225,-0.0016,30
Au,PATRON,0.5028,,mg/L,1,0.7,0.0193,-0.0012,
Au,SA007593-016,0.1176,,mg/L,1,1.3,0.0194,-0.0021,30.03
Au,SA007593-017,0.1191,,mg/L,1,1.5,0.0196,-0.0019,30.02
Au,SA007593-018,0.1274,,mg/L,1,0.3,0.021,-0.0019,30.01
Au,SA007593-019,0.075,,mg/L,1,2.4,0.0124,-0.0016,30
Au,SA007593-020,0.1278,,mg/L,1,1,0.0211,-0.0015,30.01
Au,PATRON,0.5078,,mg/L,1,2.1,0.0195,-0.0009,
Au,BLANCO,-0.0092,,mg/L,1,69.4,-0.0004,-0.0016,
Au,BLANCO REACTIVO,0,,mg/L,1,8.6,0.0011,-0.0009,
Au,SA007593-021,0.0099,,mg/L,1,8.9,0.0016,0.0001,30.01
Au,SA007593-022,0.6461,,mg/L,1,1.1,0.1035,-0.0007,30.01
Au,SA007593-023,0.1247,,mg/L,1,1.4,0.0206,-0.0002,30.02
Au,SA007593-024,0.0776,,mg/L,1,1.3,0.0128,-0.0002,30
Au,SA007593-025,0.3547,,mg/L,1,1.2,0.0577,-0.0006,30.02
Au,PATRON,0.4963,,mg/L,1,0.8,0.0191,-0.0005,
Au,SA007593-026,0.1271,,mg/L,1,1.6,0.0209,-0.001,30.02
Au,SA007593-027,0.15,,mg/L,1,1.6,0.0247,-0.0009,30.03
Au,SA007593-028,0.14,,mg/L,1,0.7,0.0231,-0.001,30.01
Au,SA007593-029,-0.0022,,mg/L,1,25.3,-0.0004,-0.0012,3
Au,SA007593-030,0.0891,,mg/L,1,1.8,0.0147,-0.0012,30.03
Au,PATRON,0.4839,,mg/L,1,0.4,0.0186,-0.0003,
Au,BLANCO,-0.0012,,mg/L,1,>100,0,-0.0004,
Au,BLANCO REACTIVO,0,,mg/L,1,55.3,0.0004,-0.0002,
Au,SA007593-031,0.1661,,mg/L,1,1.9,0.0268,0.0007,30
Au,SA007593-032,0.1905,,mg/L,1,0.5,0.0307,0.0005,30
Au,PATRON,0.5167,,mg/L,1,1.5,0.0195,0.0012,
Au,BLANCO,0.0008,,mg/L,1,>100,0,-0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,42.8,-0.0006,-0.0001,
