Analista,JS,,,,,,,,,,,
Fecha de inicio,11/01/2026 03:46 a. m.  GMT: 11/01/2026 09:46 a. m.,,,,,,,,,,,
Hoja de trabajo,SA007619,,,,,,,,,,,
Comentario,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,
,,,,,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,
,,,,,,,,,,,,
,PATRON,1.0033,,mg/L,0.3,0.1056,,,,0.1057,0.1052,0.1059
,BLANCO,-0.0016,,mg/L,13.9,-0.0002,,,,-0.0002,-0.0002,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,,,,-0.0001,0,0
,SA007619-001,12.0246,,mg/L,0.6,0.0506,2,5,,0.0503,0.0505,0.0509
,SA007619-002,12.0559,,mg/L,1,0.0524,2.06,5,,0.0531,0.0521,0.0521
,SA007619-003,11.3813,,mg/L,0,0.0491,2.05,5,,0.0491,0.0491,0.0491
,SA007619-004,11.7587,,mg/L,1.1,0.0501,2.02,5,,0.0497,0.0507,0.0498
,SA007619-005,8.6998,,mg/L,0.4,0.0373,2.04,5,,0.0375,0.0372,0.0372
,PATRON,1.0146,,mg/L,0.6,0.1043,,,,0.1049,0.1038,0.1041
,SA007619-006,7.9568,,mg/L,0.3,0.0338,2.02,5,,0.0338,0.0336,0.0338
,SA007619-007,11.0097,,mg/L,0.9,0.0467,2.01,5,,0.0463,0.0466,0.0472
,SA007619-008,6.3431,,mg/L,0.7,0.027,2.03,5,,0.0268,0.0272,0.027
,SA007619-009,5.4496,,mg/L,1.4,0.0232,2.03,5,,0.0228,0.0233,0.0234
,SA007619-010,8.5094,,mg/L,1.1,0.0362,2.02,5,,0.0358,0.0366,0.0362
,PATRON,1.0029,,mg/L,0.7,0.1031,,,,0.1027,0.1028,0.104
,BLANCO,0.0005,,mg/L,>100,0,,,,-0.0001,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,32.7,0.0003,,,,0.0002,0.0003,0.0004
,SA007619-011,0.0362,,mg/L,>100,0.0002,2.04,5,,0.0003,0,0.0002
,SA007619-012,0.0362,,mg/L,>100,-0.0001,2.05,5,,0,0,-0.0003
,SA007619-013,11.7288,,mg/L,0.4,0.0505,2,5,,0.0508,0.0504,0.0505
,SA007619-014,14.9204,,mg/L,0.4,0.0651,2.03,5,,0.065,0.0654,0.065
,SA007619-015,6.4301,,mg/L,0.7,0.0283,2.05,5,,0.0285,0.0282,0.0282
,PATRON,1.0085,,mg/L,0.2,0.1061,,,,0.1062,0.1059,0.1062
,SA007619-016,7.8494,,mg/L,1.2,0.0341,2.02,5,,0.0337,0.0345,0.0341
,SA007619-017,15.6394,,mg/L,0.8,0.0682,2.03,5,,0.0678,0.0681,0.0688
,SA007619-018,10.4085,,mg/L,0.8,0.0448,2,5,,0.0447,0.0453,0.0446
,SA007619-019,4.4505,,mg/L,0.4,0.0193,2.03,5,,0.0193,0.0194,0.0193
,SA007619-020,5.8211,,mg/L,1.5,0.025,2.01,5,,0.0248,0.0255,0.0248
,PATRON,1.011,,mg/L,0.5,0.1063,,,,0.106,0.1062,0.1069
,BLANCO,0.0023,,mg/L,64.6,0.0002,,,,0.0004,0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,,,,0,0,0
,SA007619-021,6.7332,,mg/L,1.5,0.0289,2,5,,0.0288,0.0286,0.0294
,SA007619-022,8.8227,,mg/L,0.9,0.0388,2.05,5,,0.039,0.0384,0.0391
,SA007619-023,42.3703,,mg/L,0.5,0.1678,2.02,5,,0.1676,0.1689,0.1671
,SA007619-024,5.1227,,mg/L,0.9,0.0222,2.02,5,,0.0224,0.0221,0.022
,SA007619-025,2.4484,,mg/L,0.7,0.0105,2.02,5,,0.0105,0.0106,0.0105
,PATRON,1.002,,mg/L,0.8,0.1055,,,,0.1059,0.1059,0.1045
,SA007619-026,10.5631,,mg/L,1.2,0.0459,2.02,5,,0.0456,0.0466,0.0456
,SA007619-027,7.0478,,mg/L,1.5,0.0305,2.02,5,,0.03,0.0308,0.0308
,SA007619-028,-0.0418,,mg/L,87.3,-0.0002,,5,,-0.0001,-0.0001,-0.0004
,SA007619-029,7.7554,,mg/L,0.9,0.0337,2.02,5,,0.0336,0.0334,0.034
,SA007619-030,7.347,,mg/L,1.2,0.0318,2,5,,0.0322,0.0314,0.0317
,PATRON,1.0012,,mg/L,0.2,0.1054,,,,0.1051,0.1054,0.1056
,BLANCO,-0.0034,,mg/L,29.2,-0.0004,,,,-0.0003,-0.0003,-0.0005
,BLANCO REACTIVO,0,,mg/L,34.3,-0.0002,,,,-0.0002,-0.0001,-0.0002
,SA007619-031,-0.0531,,mg/L,43.8,-0.0002,2,5,,-0.0003,-0.0003,-0.0001
,SA007619-032,24.5246,,mg/L,0.4,0.1046,2.02,5,,0.1043,0.1051,0.1043
,PATRON,0.9914,,mg/L,0.4,0.1044,,,,0.1047,0.104,0.1046
,BLANCO,-0.0027,,mg/L,24.4,-0.0003,,,,-0.0002,-0.0003,-0.0003
,BLANCO REACTIVO,0,,mg/L,17.5,-0.0007,,,,-0.0007,-0.0007,-0.0005
