Analista,ACG,,,,,,,,,,,,
Fecha de inicio,11/01/2026 05:58 a. m.  GMT: 11/01/2026 11:58 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007623,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9979,,mg/L,0.8,0.104,0.0063,1,1,1,0.104,0.1031,0.1049
,BLANCO,0.0046,,mg/L,22.4,0.0004,-0.0003,1,1,1,0.0004,0.0003,0.0005
,BLANCO REACTIVO,0,,mg/L,5.8,-0.0051,0.0054,1,1,1,-0.0048,-0.0052,-0.0054
,SA007623-001,10.6584,,mg/L,0.4,0.0419,0.0106,2.046,50,1,0.0418,0.0418,0.0421
,SA007623-002,8.0353,,mg/L,1.3,0.0304,0.01,2.026,50,1,0.0304,0.03,0.0308
,SA007623-003,0.1278,,mg/L,34.7,0.0004,0.014,2,50,1,0.0005,0.0005,0.0003
,SA007623-004,16.9906,,mg/L,0.5,0.0693,0.0122,2.019,50,1,0.069,0.0697,0.0692
,SA007623-005,19.5442,,mg/L,0.6,0.0813,0.0107,2.029,50,1,0.0813,0.0808,0.0818
,PATRON,0.9806,,mg/L,0.1,0.1021,0.0044,1,1,1,0.1022,0.1021,0.102
,SA007623-006,7.8698,,mg/L,1.6,0.0292,0.0147,1.995,50,1,0.0287,0.0292,0.0297
,SA007623-007,0.0482,,mg/L,50.2,0.0002,0.0141,2.04,50,1,0.0001,0.0003,0.0001
,SA007623-008,1.4756,,mg/L,3.2,0.0052,0.0123,2.03,50,1,0.005,0.0053,0.0053
,SA007623-009,2.5359,,mg/L,2.5,0.0089,0.0118,2.017,50,1,0.0092,0.0089,0.0087
,SA007623-010,13.3117,,mg/L,1.8,0.0523,0.0135,2,50,1,0.0519,0.0517,0.0534
,PATRON,0.9992,,mg/L,1,0.1018,0.0032,1,1,1,0.1007,0.102,0.1026
,BLANCO,0.0011,,mg/L,>100,0.0001,0.0103,1,1,1,0.0005,0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,1.5,-0.008,0.0072,1,1,1,-0.0079,-0.0079,-0.0081
,SA007623-011,10.2483,,mg/L,0.4,0.0393,0.0201,2.009,50,1,0.0394,0.0391,0.0394
,SA007623-012,17.0485,,mg/L,0.6,0.0698,0.0203,2.026,50,1,0.0694,0.0699,0.0702
,SA007623-013,10.4258,,mg/L,1.5,0.0404,0.0201,2.025,50,1,0.0405,0.0398,0.041
,SA007623-014,10.4167,,mg/L,0.7,0.0398,0.02,2,50,1,0.0401,0.0396,0.0398
,SA007623-015,25.357,,mg/L,0.7,0.1056,0.0241,2.042,50,1,0.1061,0.1048,0.1061
,PATRON,0.9882,,mg/L,1.2,0.1029,0.015,1,1,1,0.1015,0.1035,0.1037
,SA007623-016,10.0306,,mg/L,0.6,0.0391,0.0193,2.042,50,1,0.0389,0.039,0.0394
,SA007623-017,6.0523,,mg/L,0.5,0.0224,0.0194,2.027,50,1,0.0224,0.0225,0.0223
,SA007623-018,6.5912,,mg/L,0.3,0.0243,0.0192,2.008,50,1,0.0244,0.0242,0.0243
,SA007623-019,5.8675,,mg/L,0.6,0.0215,0.0202,2.016,50,1,0.0214,0.0215,0.0217
,SA007623-020,9.8545,,mg/L,0.7,0.0392,0.0203,2.082,50,1,0.0391,0.0395,0.0389
,PATRON,0.9819,,mg/L,2.6,0.1023,0.015,1,1,1,0.0998,0.1019,0.1051
,BLANCO,-0.0046,,mg/L,43.4,-0.0004,0.0151,1,1,1,-0.0004,-0.0002,-0.0005
,BLANCO REACTIVO,0,,mg/L,5.9,-0.0073,0.0084,1,1,1,-0.0078,-0.007,-0.0071
,SA007623-021,10.7124,,mg/L,1.1,0.0419,0.0206,2.037,50,1,0.0416,0.0424,0.0418
,SA007623-022,15.2106,,mg/L,0.3,0.0615,0.0215,2.026,50,1,0.0618,0.0614,0.0615
,SA007623-023,14.6468,,mg/L,1.1,0.0588,0.0204,2.021,50,1,0.0582,0.0589,0.0595
,SA007623-024,29.1703,,mg/L,1,0.1261,0.0196,2.07,50,1,0.1252,0.1256,0.1275
,SA007623-025,6.5313,,mg/L,1.3,0.0242,0.0192,2.016,50,1,0.0238,0.0243,0.0244
,PATRON,1.0025,,mg/L,0.7,0.1045,0.0142,1,1,1,0.1037,0.1047,0.1051
,SA007623-026,5.9816,,mg/L,1.2,0.0224,0.0209,2.056,50,1,0.0221,0.0225,0.0227
,SA007623-027,10.5034,,mg/L,0.5,0.041,0.0214,2.035,50,1,0.041,0.0412,0.0408
,SA007623-028,22.3109,,mg/L,0.3,0.0932,0.0193,2.016,50,1,0.0935,0.093,0.093
,SA007623-029,13.2852,,mg/L,0.9,0.0524,0.0186,2.008,50,1,0.0518,0.0526,0.0527
,SA007623-030,12.0743,,mg/L,0.7,0.0486,0.0207,2.063,50,1,0.0483,0.0489,0.0485
,PATRON,0.9989,,mg/L,1.5,0.1041,0.0151,1,1,1,0.1027,0.1039,0.1057
,BLANCO,0.0049,,mg/L,>100,0.0004,0.0157,1,1,1,0.0005,-0.0001,0.0008
,BLANCO REACTIVO,0,,mg/L,5.6,-0.0073,0.0086,1,1,1,-0.007,-0.0077,-0.007
,SA007623-031,28.8,,mg/L,0.7,0.1215,0.0203,2.019,50,1,0.1211,0.1211,0.1225
,SA007623-032,21.3616,,mg/L,0.8,0.0891,0.02,2.019,50,1,0.0885,0.0899,0.0888
,PATRON,1.016,,mg/L,0.1,0.106,0.0139,1,1,1,0.106,0.1059,0.106
,BLANCO,0.0048,,mg/L,62.2,0.0004,0.0157,1,1,1,0.0003,0.0007,0.0002
,BLANCO REACTIVO,0,,mg/L,3.7,-0.0076,0.0088,1,1,1,-0.0076,-0.0078,-0.0073
