Analista,GGP,,,,,,,,,,,,
Fecha de inicio,12/01/2026 11:41 a. m.  GMT: 12/01/2026 05:41 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007637,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9771,,mg/L,0.5,0.1161,-0.0042,,,,0.1167,0.1156,0.1161
,BLANCO,0.0058,,mg/L,32.7,0.0007,-0.0017,,,,0.0005,0.0009,0.0008
,BLANCO REACTIVO,0,,mg/L,32.4,-0.001,-0.0009,,,,-0.0009,-0.0014,-0.0008
,SA007637-001,4.5074,,mg/L,1.1,0.0226,0.0061,2.01,5,,0.0227,0.0223,0.0227
,SA007637-002,3.7221,,mg/L,1.4,0.0187,0.0042,2.01,5,,0.0188,0.0188,0.0184
,SA007637-003,2.7933,,mg/L,1.6,0.0143,0.004,2.04,5,,0.0145,0.014,0.0143
,SA007637-004,4.0911,,mg/L,2,0.0207,0.0039,2.03,5,,0.0211,0.0203,0.0208
,SA007637-005,3.3539,,mg/L,2.3,0.0168,0.0041,2,5,,0.0172,0.0167,0.0165
,PATRON,0.9674,,mg/L,0.8,0.115,-0.0037,,,,0.1142,0.116,0.1149
,SA007637-006,3.6732,,mg/L,0.8,0.0184,0.0055,2,5,,0.0184,0.0185,0.0182
,SA007637-007,0.2914,,mg/L,23.8,0.0015,0.0048,2,5,,0.0017,0.0011,0.0016
,SA007637-008,3.2653,,mg/L,1,0.0167,0.0063,2,5,,0.0167,0.0165,0.0168
,SA007637-009,2.5299,,mg/L,2.5,0.0127,0.0055,2.01,5,,0.0126,0.0131,0.0124
,SA007637-010,0.1854,,mg/L,15.7,0.0009,0.0013,2.01,5,,0.0008,0.001,0.001
,PATRON,0.9665,,mg/L,0.7,0.1125,-0.0022,,,,0.1119,0.1134,0.1122
,BLANCO,0.0033,,mg/L,97,0.0004,-0.0003,,,,0.0006,0.0006,0
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0024,,,,0.0001,-0.0002,0.0008
,SA007637-011,1.8807,,mg/L,3.2,0.0093,0.0054,2.03,5,,0.0096,0.009,0.0093
,SA007637-012,1.9585,,mg/L,2.3,0.0096,0.005,2.01,5,,0.0095,0.0099,0.0096
,SA007637-013,0.327,,mg/L,32.6,0.0016,0.0061,2.01,5,,0.0016,0.0021,0.0011
,SA007637-014,0.3711,,mg/L,8.1,0.0018,0.0049,2.03,5,,0.0017,0.0019,0.002
,SA007637-015,0.8616,,mg/L,3,0.0042,0.0054,2,5,,0.0044,0.0041,0.0042
,PATRON,1.0311,,mg/L,0.8,0.1184,-0.0038,,,,0.1194,0.1183,0.1175
,SA007637-016,1.5518,,mg/L,7.8,0.0076,0.0057,2.01,5,,0.0082,0.0075,0.0071
,SA007637-017,1.6132,,mg/L,1.7,0.0079,0.0052,2.02,5,,0.0081,0.0079,0.0078
,SA007637-018,1.625,,mg/L,8.7,0.008,0.005,2.02,5,,0.0073,0.0087,0.008
,SA007637-019,1.5547,,mg/L,1.3,0.0077,0.007,2.04,5,,0.0078,0.0078,0.0076
,SA007637-020,1.4425,,mg/L,4.2,0.007,0.0081,2,5,,0.0074,0.0069,0.0069
,PATRON,0.9939,,mg/L,0.6,0.1144,-0.0032,,,,0.114,0.114,0.1152
,BLANCO,-0.0028,,mg/L,58.7,-0.0003,-0.0019,,,,-0.0001,-0.0004,-0.0005
,BLANCO REACTIVO,0,,mg/L,18.7,0.0007,-0.0009,,,,0.0009,0.0006,0.0007
,SA007637-021,1.659,,mg/L,2.3,0.0081,0.0057,2,5,,0.0083,0.0081,0.0079
,SA007637-022,0.0017,,mg/L,>100,0,-0.0023,,5,,0,0.0001,0
,SA007637-023,3.3475,,mg/L,1.4,0.0162,0.005,2,5,,0.0162,0.0165,0.016
,SA007637-024,1.8421,,mg/L,0.8,0.009,0.0059,2,5,,0.0091,0.009,0.009
,SA007637-025,2.189,,mg/L,5.5,0.0107,0.0071,2,5,,0.0113,0.0102,0.0107
,PATRON,1.0067,,mg/L,0.8,0.1158,-0.0039,,,,0.1157,0.1149,0.1168
,SA007637-026,2.529,,mg/L,1.2,0.0123,0.0056,2.01,5,,0.0125,0.0124,0.0122
,SA007637-027,1.7487,,mg/L,2,0.0085,0.0048,2,5,,0.0084,0.0084,0.0087
,SA007637-028,4.4899,,mg/L,1.8,0.0217,0.0031,2,5,,0.0213,0.022,0.022
,SA007637-029,7.4208,,mg/L,0.3,0.0363,0.0052,2.03,5,,0.0363,0.0361,0.0363
,SA007637-030,1.884,,mg/L,1.9,0.0094,0.0054,2.04,5,,0.0092,0.0095,0.0093
,PATRON,1.0278,,mg/L,0.3,0.118,-0.0046,,,,0.1182,0.1183,0.1177
,BLANCO,0.0076,,mg/L,11.3,0.0009,-0.0023,,,,0.001,0.0008,0.001
,BLANCO REACTIVO,0,,mg/L,19.9,0.0013,-0.0011,,,,0.0012,0.0015,0.0011
,SA007637-031,1.6624,,mg/L,9.1,0.0081,0.0062,2,5,,0.0085,0.0072,0.0085
,SA007637-032,1.5855,,mg/L,1,0.0078,0.0049,2,5,,0.0078,0.0079,0.0078
,PATRON,0.9927,,mg/L,1.2,0.1143,-0.0044,,,,0.1128,0.1154,0.1146
,BLANCO,0.0036,,mg/L,>100,0.0004,-0.0027,,,,0.0005,-0.0001,0.0009
,BLANCO REACTIVO,0,,mg/L,26.3,0.0014,-0.0012,,,,0.0012,0.0011,0.0018
