Analista,NR,,,,,,,,,
Fecha de inicio,01:40 p. m. 12/01/2026  GMT: 07:40 p. m. 12/01/2026,,,,,,,,,
Hoja de trabajo,SA007640,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.4908,,mg/L,1,2.1,0.0187,0.0012,1,1
Au,BLANCO,-0.0027,,mg/L,1,>100,-0.0001,0.0003,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,16.2,0.0004,-0.001,1,1
Au,SA007640-001,0.06,,mg/L,1,4.6,0.0098,0.0008,30.001,7
Au,SA007640-002,0.0418,,mg/L,1,3.1,0.0068,0.0014,30.008,7
Au,SA007640-003,0.5098,,mg/L,1,1,0.084,0,30.003,7
Au,SA007640-004,0.764,,mg/L,1,1,0.1261,0.0003,30.02,7
Au,SA007640-005,0.286,,mg/L,1,0.6,0.047,-0.0002,30.022,7
Au,PATRON,0.4899,,mg/L,1,1.8,0.0187,0.0014,1,1
Au,SA007640-006,0.6292,,mg/L,1,1.2,0.1039,0.0005,30.03,7
Au,SA007640-007,0.0889,,mg/L,1,2.2,0.0145,0.0008,30.005,7
Au,SA007640-008,0.5992,,mg/L,1,1.2,0.0988,0.0001,30.004,7
Au,SA007640-009,0.5932,,mg/L,1,0.3,0.0979,0.0006,30.023,7
Au,SA007640-010,0.5041,,mg/L,1,0.8,0.0831,0.0004,30.011,7
Au,PATRON,0.4951,,mg/L,1,2.5,0.0189,0.0015,1,1
Au,BLANCO,0.0009,,mg/L,1,>100,0,-0.0006,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,16.2,0.0011,0.0006,1,1
Au,SA007640-011,0.0247,,mg/L,1,5.8,0.004,-0.0003,30.001,7
Au,SA007640-012,0.0037,,mg/L,1,40,0.0006,0.0004,30,7
Au,SA007640-013,0.6532,,mg/L,1,1.4,0.1078,-0.0009,30.009,7
Au,SA007640-014,0.922,,mg/L,1,0.2,0.1521,-0.0011,30.012,7
Au,SA007640-015,0.0052,,mg/L,1,21,0.0009,-0.0001,30.028,7
Au,PATRON,0.4858,,mg/L,1,0.8,0.0185,0.0011,1,1
Au,SA007640-016,0.2119,,mg/L,1,1.6,0.0348,0.0005,30.014,7
Au,SA007640-017,1.0144,,mg/L,1,1.1,0.1671,0,29.999,7
Au,SA007640-018,0.0503,,mg/L,1,5.3,0.0082,0.0005,30.001,7
Au,SA007640-019,0.0487,,mg/L,1,2.7,0.008,0.0006,30.01,7
Au,SA007640-020,0.5096,,mg/L,1,0.6,0.084,0.0005,30.017,7
Au,PATRON,0.4909,,mg/L,1,2.6,0.0187,0.0009,1,1
Au,BLANCO,0.0028,,mg/L,1,35.4,0.0001,-0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,19.3,0.0012,0.001,1,1
Au,SA007640-021,0.1542,,mg/L,1,2.8,0.0238,-0.0001,30.015,7
Au,SA007640-022,0.1033,,mg/L,1,1.4,0.0159,0.0002,30.01,7
Au,SA007640-023,0.6616,,mg/L,1,1,0.103,-0.0001,30.014,7
Au,SA007640-024,0.2027,,mg/L,1,1.4,0.0314,-0.0003,30.021,7
Au,SA007640-025,0.2169,,mg/L,1,0.3,0.0336,0,30.011,7
Au,PATRON,0.5124,,mg/L,1,4.4,0.0185,0.0011,1,1
Au,SA007640-026,0.3538,,mg/L,1,0.8,0.0549,0,30.017,7
Au,SA007640-027,0.5263,,mg/L,1,1.6,0.0819,0.0001,30.011,7
Au,SA007640-028,0.5187,,mg/L,1,0.5,0.0807,-0.0002,30.029,7
Au,SA007640-029,0.5014,,mg/L,1,15.3,0.078,0.0003,30.006,7
Au,SA007640-030,0.1485,,mg/L,1,1.8,0.023,-0.0002,30.017,7
Au,PATRON,0.4909,,mg/L,1,13.3,0.0177,0.0013,1,1
Au,BLANCO,-0.0085,,mg/L,1,>100,-0.0003,-0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,11.7,0.0013,0.0004,1,1
Au,SA007640-031,0.0522,,mg/L,1,3.2,0.0081,-0.0003,30.027,7
Au,SA007640-032,0.5047,,mg/L,1,0.3,0.0785,0,30.01,7
Au,PATRON,0.5053,,mg/L,1,1.5,0.0182,0.0004,1,1
Au,BLANCO,0.0089,,mg/L,1,85.2,0.0003,-0.0006,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,9.3,0.0016,0.0005,1,1
