Analista,NR,,,,,,,,
Fecha de inicio,12:51 p. m. 12/01/2026  GMT: 06:51 p. m. 12/01/2026,,,,,,,,
Hoja de trabajo,SA007642,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4889,,mg/L,1,1.2,0.0205,-0.0001,
Au,BLANCO,-0.0069,,mg/L,1,73.8,-0.0003,0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,-0.0003,
Au,SA007642-001,0.0308,,mg/L,1,3.3,0.0052,0.0005,30
Au,SA007642-002,0.0278,,mg/L,1,4.4,0.0047,0.0013,30
Au,SA007642-003,0.0592,,mg/L,1,2.8,0.01,0.0005,29.99
Au,SA007642-004,0.0391,,mg/L,1,2.6,0.0066,0.0009,30.03
Au,SA007642-005,0.0511,,mg/L,1,5.1,0.0087,0.001,30
Au,PATRON,0.512,,mg/L,1,2,0.0204,0.0014,
Au,SA007642-006,0.0396,,mg/L,1,2.8,0.0067,0.0001,30.02
Au,SA007642-007,0.0245,,mg/L,1,2.4,0.0042,0.0001,30.04
Au,SA007642-008,0.0214,,mg/L,1,9.1,0.0036,-0.0001,30.03
Au,SA007642-009,0.0203,,mg/L,1,6.8,0.0034,0.0005,30.03
Au,SA007642-010,0.0216,,mg/L,1,6.2,0.0037,0.0005,30.01
Au,PATRON,0.5164,,mg/L,1,0.9,0.0206,0.0018,
Au,BLANCO,0.0045,,mg/L,1,>100,0.0002,-0.0005,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0008,
Au,SA007642-011,0.0132,,mg/L,1,9.6,0.0022,-0.0002,3
Au,SA007642-012,0.027,,mg/L,1,5.5,0.0046,0.0003,30
Au,SA007642-013,0.0194,,mg/L,1,10.2,0.0033,-0.0002,30.02
Au,SA007642-014,0.0343,,mg/L,1,2.2,0.0058,0.0002,30.01
Au,SA007642-015,0.0331,,mg/L,1,2,0.0056,-0.0001,30
Au,PATRON,0.5106,,mg/L,1,0.9,0.0203,0.0008,
Au,SA007642-016,0.029,,mg/L,1,7.3,0.0049,-0.0002,30.03
Au,SA007642-017,0.0018,,mg/L,1,>100,0.0003,-0.0006,30.03
Au,SA007642-018,0.0283,,mg/L,1,8.8,0.0048,-0.0001,30
Au,SA007642-019,0.0262,,mg/L,1,5.4,0.0044,-0.0003,30
Au,SA007642-020,0.0291,,mg/L,1,2.6,0.0049,-0.0002,30
Au,PATRON,0.5142,,mg/L,1,0.4,0.0205,0.0006,
Au,BLANCO,-0.0104,,mg/L,1,64.1,-0.0004,-0.0012,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,-0.001,
Au,SA007642-021,0.0256,,mg/L,1,4.2,0.0043,-0.0001,30.02
Au,SA007642-022,0.0055,,mg/L,1,31.5,0.0009,-0.0001,3
Au,SA007642-023,0.0072,,mg/L,1,8.8,0.0012,-0.0004,30.01
Au,SA007642-024,0.1227,,mg/L,1,14.2,0.0209,0.0004,30.01
Au,SA007642-025,0.0235,,mg/L,1,9.7,0.004,-0.0002,30.02
Au,PATRON,0.5106,,mg/L,1,1.7,0.0203,0.0014,
Au,SA007642-026,0.2298,,mg/L,1,1.8,0.0396,0.0001,30
Au,SA007642-027,0.0709,,mg/L,1,5.8,0.0121,0.0001,30.03
Au,SA007642-028,0.0631,,mg/L,1,1.3,0.0107,0.0001,30.03
Au,SA007642-029,0.0331,,mg/L,1,8.3,0.0056,0.0001,30
Au,SA007642-030,0.0349,,mg/L,1,4.2,0.0059,-0.0002,30.01
Au,PATRON,0.5134,,mg/L,1,0.8,0.0204,0.0012,
Au,BLANCO,-0.0041,,mg/L,1,>100,-0.0002,-0.001,
Au,BLANCO REACTIVO,0,,mg/L,1,50.6,-0.0004,-0.0012,
Au,SA007642-031,0.0268,,mg/L,1,9.3,0.0045,0.0002,29.99
Au,SA007642-032,0.0403,,mg/L,1,3.6,0.0068,0.0002,30.01
Au,PATRON,0.4956,,mg/L,1,1.8,0.0208,0,
Au,BLANCO,0.0071,,mg/L,1,>100,0.0003,-0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,10.3,0.0006,-0.0014,
