Analista,,,,,,,,,,
Fecha de inicio,06:40 a. m. 13/01/2026  GMT: 12:40 p. m. 13/01/2026,,,,,,,,,
Hoja de trabajo,SA007645,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5186,,mg/L,1,3.3,0.0206,0.001,1,1
Au,BLANCO,0.0043,,mg/L,1,>100,0.0002,-0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0004,1,1
Au,SA007645-001,0.2207,,mg/L,1,1.3,0.0379,0.0002,30.001,7
Au,SA007645-002,0.2126,,mg/L,1,1.5,0.0365,0.0003,30.03,7
Au,SA007645-003,0.295,,mg/L,1,1,0.051,0.0001,30.038,7
Au,SA007645-004,0.3434,,mg/L,1,1,0.0594,0.0004,30.007,7
Au,SA007645-005,0.3672,,mg/L,1,1.1,0.0637,-0.0004,30.014,7
Au,PATRON,0.5052,,mg/L,1,2,0.0201,0.0013,1,1
Au,SA007645-006,0.9048,,mg/L,1,1.1,0.1597,0.0004,30.008,7
Au,SA007645-007,0.8614,,mg/L,1,4.2,0.1521,0.0006,30.021,7
Au,SA007645-008,0.3914,,mg/L,1,1.1,0.068,0.0001,30.033,7
Au,SA007645-009,0.0033,,mg/L,1,58.8,0.0006,0.0003,30.011,7
Au,SA007645-010,0.0613,,mg/L,1,0.9,0.0104,0.0005,30.005,7
Au,PATRON,0.481,,mg/L,1,1.5,0.0191,0.0026,1,1
Au,BLANCO,-0.0093,,mg/L,1,90.4,-0.0004,0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,22.6,-0.0005,0.0004,1,1
Au,SA007645-011,0.3755,,mg/L,1,1.9,0.0651,0.0013,30.008,7
Au,SA007645-012,0.4266,,mg/L,1,1.1,0.0742,0.0009,30.018,7
Au,SA007645-013,0.006,,mg/L,1,42.3,0.001,0.0016,30,7
Au,SA007645-014,0.4387,,mg/L,1,2.1,0.0764,0.0006,30.012,7
Au,SA007645-015,0.5431,,mg/L,1,0.5,0.0951,0.0012,30.042,7
Au,PATRON,0.5057,,mg/L,1,1.6,0.0201,0.0025,1,1
Au,SA007645-016,0.094,,mg/L,1,1.1,0.016,0.0009,30.021,7
Au,SA007645-017,0.1799,,mg/L,1,1.2,0.0308,0.0016,30.025,7
Au,SA007645-018,0.3206,,mg/L,1,1,0.0554,0.0008,30.006,7
Au,SA007645-019,0.1996,,mg/L,1,2,0.0342,0.0008,30.03,7
Au,SA007645-020,0.042,,mg/L,1,6.9,0.0071,0.001,30.001,7
Au,PATRON,0.4855,,mg/L,1,1.9,0.0191,0.0003,1,1
Au,BLANCO,0.0104,,mg/L,1,12.2,0.0004,-0.0013,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,-0.0011,1,1
Au,SA007645-021,0.1288,,mg/L,1,1.9,0.022,0.0008,30.017,7
Au,SA007645-022,0.2231,,mg/L,1,1.9,0.0383,0.0016,30.016,7
Au,SA007645-023,0.0047,,mg/L,1,44,0.0008,0.001,30.006,7
Au,SA007645-024,0.6604,,mg/L,1,1.8,0.1099,-0.0004,30.027,7
Au,SA007645-025,0.4544,,mg/L,1,1.7,0.076,-0.0009,30.022,7
Au,PATRON,0.494,,mg/L,1,0.9,0.0194,0.0007,1,1
Au,SA007645-026,0.2614,,mg/L,1,1.8,0.0439,0.0001,30.015,7
Au,SA007645-027,0.2616,,mg/L,1,1.6,0.044,-0.0004,30.006,7
Au,SA007645-028,0.1293,,mg/L,1,2.2,0.0218,-0.0004,30.033,7
Au,SA007645-029,0.2165,,mg/L,1,1.2,0.0364,-0.0007,30.02,7
Au,SA007645-030,0.1859,,mg/L,1,0.4,0.0313,-0.0003,30.03,7
Au,PATRON,0.4997,,mg/L,1,2.7,0.0198,0.0027,1,1
Au,BLANCO,-0.0018,,mg/L,1,91.4,-0.0001,0.001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,66.2,-0.0005,0.0007,1,1
Au,SA007645-031,0.2288,,mg/L,1,0.5,0.0393,0.0011,30.017,7
Au,SA007645-032,0.097,,mg/L,1,3.5,0.0165,0.002,30.004,7
Au,PATRON,0.5196,,mg/L,1,2.2,0.0206,0.0009,1,1
Au,BLANCO,0.0099,,mg/L,1,61.1,0.0004,0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,19.6,-0.0007,0.0003,1,1
