Analista,GGP,,,,,,,,,
Fecha de inicio,10:11 a. m. 13/01/2026  GMT: 04:11 p. m. 13/01/2026,,,,,,,,,
Hoja de trabajo,SA007647,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5029,,mg/L,1,2.9,0.0185,0.0021,1,1
Au,BLANCO,0.0045,,mg/L,1,>100,0.0002,0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0.0003,1,1
Au,SA007647-001,0.1687,,mg/L,1,1.1,0.0267,0.0005,30.036,7
Au,SA007647-002,0.0552,,mg/L,1,1.1,0.0086,0.0004,30.024,7
Au,SA007647-003,0.1043,,mg/L,1,1,0.0164,0.0007,30.038,7
Au,SA007647-004,0.0091,,mg/L,1,35.3,0.0014,0.0004,30,7
Au,SA007647-005,0.1075,,mg/L,1,2.5,0.0169,0.0003,30.009,7
Au,PATRON,0.5151,,mg/L,1,1.6,0.0189,0.0013,1,1
Au,SA007647-006,0.1937,,mg/L,1,0.4,0.0307,0.0006,30.015,7
Au,SA007647-007,0.006,,mg/L,1,10.3,0.0009,0.0008,30.018,7
Au,SA007647-008,0.1103,,mg/L,1,1.4,0.0173,0.0006,30.001,7
Au,SA007647-009,0.2487,,mg/L,1,2,0.0396,0.0008,30.004,7
Au,SA007647-010,0.3158,,mg/L,1,1.5,0.0506,0.0007,30.005,7
Au,PATRON,0.5097,,mg/L,1,2.1,0.0187,0.0014,1,1
Au,BLANCO,0.0015,,mg/L,1,>100,0.0001,0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0.0008,1,1
Au,SA007647-011,0.1204,,mg/L,1,1.5,0.0189,0.0007,30.009,7
Au,SA007647-012,0.1503,,mg/L,1,1.4,0.0237,0.0005,30.018,7
Au,SA007647-013,0.1161,,mg/L,1,2.4,0.0183,0.0013,30.021,7
Au,SA007647-014,1.0971,,mg/L,1,0.8,0.1815,0.0009,30.004,7
Au,SA007647-015,0.1321,,mg/L,1,1.4,0.0208,0.0007,30.021,7
Au,PATRON,0.5052,,mg/L,1,1.6,0.0185,0.0018,1,1
Au,SA007647-016,0.1994,,mg/L,1,0.6,0.0316,0.0011,30.002,7
Au,SA007647-017,0.1631,,mg/L,1,1.9,0.0258,0.0011,30.019,7
Au,SA007647-018,0.1584,,mg/L,1,1.8,0.0251,0.0009,30.04,7
Au,SA007647-019,0.1704,,mg/L,1,1,0.027,0.0015,30.011,7
Au,SA007647-020,0.17,,mg/L,1,1.4,0.0269,0.0008,30.002,7
Au,PATRON,0.4983,,mg/L,1,2.1,0.0183,0.0022,1,1
Au,BLANCO,0.0095,,mg/L,1,60.8,0.0003,0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,12.4,0.0004,0.0005,1,1
Au,SA007647-021,0.2444,,mg/L,1,1.3,0.0389,0.0009,30.012,7
Au,SA007647-022,0.1251,,mg/L,1,1.4,0.0197,0.001,30.012,7
Au,SA007647-023,0.0836,,mg/L,1,0.7,0.0131,0.0008,30.03,7
Au,SA007647-024,0.1797,,mg/L,1,2.1,0.0285,0.0002,30.012,7
Au,SA007647-025,0.2545,,mg/L,1,1.4,0.0406,0.0008,30.039,7
Au,PATRON,0.4877,,mg/L,1,0.5,0.0179,0.002,1,1
Au,SA007647-026,0.2423,,mg/L,1,1.9,0.0386,0.0009,30.025,7
Au,SA007647-027,-0.0024,,mg/L,1,21.1,-0.0004,0,30.014,7
Au,SA007647-028,0.5636,,mg/L,1,1,0.092,0.0007,30.023,7
Au,SA007647-029,0.2022,,mg/L,1,0.8,0.0321,0.0003,30.011,7
Au,SA007647-030,0.1974,,mg/L,1,1.5,0.0313,0.0004,30.011,7
Au,PATRON,0.5107,,mg/L,1,1,0.0187,0.0017,1,1
Au,BLANCO,-0.0009,,mg/L,1,>100,0,0.0001,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0003,0.0008,1,1
Au,SA007647-031,0.3467,,mg/L,1,0.4,0.0557,0.0012,30.023,7
Au,SA007647-032,0.3213,,mg/L,1,1.3,0.0516,0.0007,30.025,7
Au,PATRON,0.5156,,mg/L,1,3.4,0.0184,0.0022,1,1
Au,BLANCO,-0.007,,mg/L,1,>100,-0.0002,0.0006,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,47.3,-0.0004,0.001,1,1
