Analista,GGP,,,,,,,,
Fecha de inicio,11:15 a. m. 13/01/2026  GMT: 05:15 p. m. 13/01/2026,,,,,,,,
Hoja de trabajo,SA007650,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.505,,mg/L,1,0.9,0.0198,0.0009,
Au,BLANCO,0.0063,,mg/L,1,87.9,0.0002,-0.0009,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0003,-0.0006,
Au,SA007650-001,0.3061,,mg/L,1,1,0.0517,-0.0009,30.02
Au,SA007650-002,0.0046,,mg/L,1,14.8,0.0008,-0.0006,3
Au,SA007650-003,0.1241,,mg/L,1,1.7,0.0208,-0.0003,30
Au,SA007650-004,0.0973,,mg/L,1,2.1,0.0163,-0.0003,30.02
Au,SA007650-005,0.3561,,mg/L,1,0.3,0.0602,-0.001,30
Au,PATRON,0.4997,,mg/L,1,2.9,0.0196,0.0008,
Au,SA007650-006,0.1231,,mg/L,1,11.3,0.0207,-0.0001,30.01
Au,SA007650-007,0.0021,,mg/L,1,22.1,0.0003,0,30.01
Au,SA007650-008,0.4687,,mg/L,1,1,0.0794,-0.0008,30
Au,SA007650-009,0.0707,,mg/L,1,1.1,0.0119,0,30
Au,SA007650-010,0.0779,,mg/L,1,1.8,0.0131,-0.0005,30
Au,PATRON,0.493,,mg/L,1,1.1,0.0193,0.001,
Au,BLANCO,-0.0088,,mg/L,1,76.8,-0.0003,-0.0004,
Au,BLANCO REACTIVO,0,,mg/L,1,86,0.0004,-0.0009,
Au,SA007650-011,0.0292,,mg/L,1,3.1,0.0049,-0.0008,30
Au,SA007650-012,0.1159,,mg/L,1,1.6,0.0195,0.0001,30.01
Au,SA007650-013,0.1053,,mg/L,1,2.4,0.0177,0.0001,30
Au,SA007650-014,0.3831,,mg/L,1,1.2,0.0648,-0.0004,30.01
Au,SA007650-015,0.02,,mg/L,1,12.8,0.0033,-0.0003,30.01
Au,PATRON,0.5109,,mg/L,1,0.8,0.02,0.0011,
Au,SA007650-016,0.0296,,mg/L,1,6.3,0.005,-0.0004,30
Au,SA007650-017,0.0224,,mg/L,1,7.4,0.0038,-0.0007,30.03
Au,SA007650-018,0.0001,,mg/L,1,>100,0,-0.0006,30
Au,SA007650-019,0.037,,mg/L,1,5.4,0.0062,-0.0005,30
Au,SA007650-020,0.0193,,mg/L,1,2.1,0.0032,-0.0005,30.02
Au,PATRON,0.4888,,mg/L,1,2.4,0.0191,0.0004,
Au,BLANCO,-0.0017,,mg/L,1,>100,-0.0001,-0.0013,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0,
Au,SA007650-021,0.0564,,mg/L,1,3.1,0.0095,-0.0001,30.02
Au,SA007650-022,0.1252,,mg/L,1,2,0.021,-0.0007,30.01
Au,SA007650-023,0.0543,,mg/L,1,0.7,0.0091,-0.0002,30.02
Au,SA007650-024,0.6318,,mg/L,1,0.4,0.1072,-0.001,30
Au,PATRON,0.4942,,mg/L,1,2.1,0.0193,0.0005,
Au,BLANCO,0.0033,,mg/L,1,>100,0.0001,-0.0011,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0003,
