Analista,GGP,,,,,,,,
Fecha de inicio,01:38 p. m. 13/01/2026  GMT: 07:38 p. m. 13/01/2026,,,,,,,,
Hoja de trabajo,SA007653,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4979,,mg/L,1,1.1,0.0194,0.0013,
Au,BLANCO,0.01,,mg/L,1,>100,0.0004,-0.0001,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.0003,
Au,SA007653-001,0.0267,,mg/L,1,5.6,0.0044,0.0014,30.02
Au,SA007653-002,0.0229,,mg/L,1,2.1,0.0038,0.0011,30
Au,SA007653-003,0.0242,,mg/L,1,8.5,0.004,0.0009,30
Au,SA007653-004,1.6636,,mg/L,1,2,0.2744,0.0009,30
Au,SA007653-005,0.0317,,mg/L,1,2.5,0.0053,0.001,30.02
Au,PATRON,0.4896,,mg/L,1,1.7,0.0191,0.0019,
Au,SA007653-006,0.0401,,mg/L,1,1.2,0.0067,0.0012,30
Au,SA007653-007,0.0151,,mg/L,1,9.9,0.0025,0.0011,30.01
Au,SA007653-008,0.0152,,mg/L,1,5.9,0.0025,0.0008,30.03
Au,SA007653-009,0.0463,,mg/L,1,2.8,0.0077,0.0009,30.01
Au,SA007653-010,0.0162,,mg/L,1,11.2,0.0027,0.0012,30
Au,PATRON,0.4798,,mg/L,1,2.7,0.0187,0.0018,
Au,BLANCO,0.0018,,mg/L,1,>100,0.0001,0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,59.7,-0.0005,0.001,
Au,SA007653-011,0.018,,mg/L,1,16.8,0.003,0.0011,30.01
Au,SA007653-012,0.0012,,mg/L,1,>100,0.0002,0.0009,3
Au,SA007653-013,0.0181,,mg/L,1,7.1,0.003,0.0011,30
Au,SA007653-014,0.0233,,mg/L,1,3.1,0.0039,0.0008,30.02
Au,SA007653-015,0.0304,,mg/L,1,1.6,0.0051,0.0014,30
Au,PATRON,0.4807,,mg/L,1,0.4,0.0181,0.0009,
Au,SA007653-016,0.0066,,mg/L,1,25.7,0.0011,-0.0001,30.02
Au,SA007653-017,0.0803,,mg/L,1,1.9,0.0129,0.0001,30
Au,SA007653-018,0.0622,,mg/L,1,2.9,0.01,0.0002,30.01
Au,SA007653-019,0.1259,,mg/L,1,0.8,0.0203,-0.0004,30.01
Au,SA007653-020,0.5302,,mg/L,1,0.8,0.0862,-0.0004,30.03
Au,PATRON,0.4856,,mg/L,1,2.6,0.0183,0.0036,
Au,BLANCO,-0.0096,,mg/L,1,>100,-0.0004,0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,0.0002,
Au,SA007653-021,0.0203,,mg/L,1,9.6,0.0033,0.0023,30.02
Au,SA007653-022,0.0237,,mg/L,1,2.8,0.0038,0.0018,30
Au,SA007653-023,0.0273,,mg/L,1,1.6,0.0044,0.0017,30
Au,SA007653-024,0.0068,,mg/L,1,5.7,0.0011,0.0017,30.01
Au,SA007653-025,0.0125,,mg/L,1,10.2,0.002,0.0026,30
Au,PATRON,0.518,,mg/L,1,3.5,0.0182,0.0009,
Au,SA007653-026,0.0215,,mg/L,1,4.6,0.0032,0.0004,30.01
Au,SA007653-027,0.103,,mg/L,1,3.8,0.0156,0.0007,30.02
Au,SA007653-028,0.1479,,mg/L,1,3.2,0.0224,0,30
Au,SA007653-029,1.2492,,mg/L,1,1.6,0.1896,-0.0002,30.01
Au,SA007653-030,0.4477,,mg/L,1,14.9,0.0681,-0.0002,30.01
Au,PATRON,0.5018,,mg/L,1,0.2,0.0177,0.0016,
Au,BLANCO,-0.0013,,mg/L,1,>100,0,-0.0004,
Au,BLANCO REACTIVO,0,,mg/L,1,8.8,-0.0009,0.001,
Au,SA007653-031,0.2848,,mg/L,1,1.8,0.0432,0.003,30.02
Au,SA007653-032,0.4089,,mg/L,1,0.8,0.0621,0.0024,30
Au,PATRON,0.5042,,mg/L,1,0.6,0.0178,0.0032,
Au,BLANCO,0.0047,,mg/L,1,41.7,0.0002,0.0012,
Au,BLANCO REACTIVO,0,,mg/L,1,34,-0.0009,0.001,
