Analista,GGP,,,,,,,,,
Fecha de inicio,02:38 p. m. 13/01/2026  GMT: 08:38 p. m. 13/01/2026,,,,,,,,,
Hoja de trabajo,SA007654,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5072,,mg/L,1,1.4,0.0177,0.0006,,
Au,BLANCO,-0.0085,,mg/L,1,>100,-0.0003,-0.0011,,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0012,,
Au,SA007654-001,1.5507,,mg/L,1,0.4,0.2384,-0.0001,30.02,
Au,SA007654-002,0.6057,,mg/L,1,0.5,0.0935,-0.0007,30,
Au,SA007654-003,0.0128,,mg/L,1,8.4,0.0019,0.0004,30.02,
Au,SA007654-004,0.0199,,mg/L,1,10.4,0.003,0,30,
Au,SA007654-005,0.0174,,mg/L,1,14.1,0.0026,0,30.02,
Au,PATRON,0.5074,,mg/L,1,1.3,0.0177,0.0014,,
Au,SA007654-006,0.513,,mg/L,1,0.3,0.0789,-0.0002,30,
Au,SA007654-007,0.2487,,mg/L,1,1.6,0.0376,-0.0003,30,
Au,SA007654-008,0.3309,,mg/L,1,1.6,0.0503,0.0001,30,
Au,SA007654-009,0.1789,,mg/L,1,0.7,0.0269,-0.0011,30.02,
Au,SA007654-010,0.0554,,mg/L,1,5,0.0083,-0.0004,3,
Au,PATRON,0.51,,mg/L,1,2.9,0.0202,0.0003,,
Au,BLANCO,-0.0073,,mg/L,1,94.4,-0.0003,-0.0025,,
Au,BLANCO REACTIVO,0,,mg/L,1,22.1,0.0017,-0.001,,
Au,SA007654-011,0.4503,,mg/L,1,1.8,0.077,-0.0023,30.01,
Au,SA007654-012,0.1568,,mg/L,1,3,0.0266,-0.0017,30.01,
Au,SA007654-013,0.4054,,mg/L,1,1.6,0.0693,-0.0022,30.01,
Au,SA007654-014,0.2015,,mg/L,1,1.4,0.0343,-0.0018,30,
Au,SA007654-015,0.5963,,mg/L,1,0.8,0.1022,-0.0025,30,
Au,PATRON,0.5013,,mg/L,1,0.3,0.0194,0.0016,,
Au,SA007654-016,0.479,,mg/L,1,0.7,0.0801,0.0002,30.04,
Au,SA007654-017,0.4719,,mg/L,1,4.5,0.0788,-0.0002,30.02,
Au,SA007654-018,0.177,,mg/L,1,0.5,0.0294,0,30.01,
Au,SA007654-019,0.6591,,mg/L,1,1.7,0.1103,-0.0011,30,
Au,SA007654-020,0.5327,,mg/L,1,1.6,0.089,0.0001,30.01,
Au,PATRON,0.5205,,mg/L,1,2.2,0.0201,0.0015,,
Au,BLANCO,-0.002,,mg/L,1,>100,-0.0001,-0.0017,,
Au,BLANCO REACTIVO,0,,mg/L,1,11.7,0.0011,-0.001,,
Au,SA007654-021,0.211,,mg/L,1,0.8,0.035,-0.0011,30,
Au,SA007654-022,0.2113,,mg/L,1,1.3,0.0351,-0.0008,30.03,
Au,SA007654-023,0.1072,,mg/L,1,2.6,0.0177,-0.0003,30,
Au,SA007654-024,-0.0007,,mg/L,1,73.9,-0.0001,-0.0003,3,
Au,SA007654-025,0.4149,,mg/L,1,0.7,0.0693,-0.0013,30,
Au,PATRON,0.4891,,mg/L,1,1.7,0.0189,-0.0006,,
Au,SA007654-026,0.2217,,mg/L,1,0.3,0.0369,-0.0016,30.03,
Au,SA007654-027,0.2813,,mg/L,1,1.3,0.0468,-0.0012,30,
Au,SA007654-028,0.0054,,mg/L,1,18.1,0.0009,-0.0011,30.02,
Au,SA007654-029,0.7464,,mg/L,1,2.2,0.125,-0.0012,30.01,
Au,PATRON,0.4988,,mg/L,1,1.9,0.0193,-0.0004,,
Au,BLANCO,-0.0084,,mg/L,1,59.2,-0.0003,-0.0009,,
Au,BLANCO REACTIVO,0,,mg/L,1,52.8,0.001,-0.0005,,
Au,BLANCO REACTIVO,0,,mg/L,1,13,0.0012,-0.0009,1,1
