Analista,GMC,,,,,,,,,,,,
Fecha de inicio,15/01/2026 04:39 a. m.  GMT: 15/01/2026 10:39 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007670,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.0166,,mg/L,0.1,0.1026,-0.0039,,,,0.1027,0.1024,0.1025
,BLANCO,0.0125,,mg/L,26.6,0.0012,-0.001,,,,0.0015,0.0013,0.0009
,BLANCO REACTIVO,0,,mg/L,18.8,0.0013,-0.0011,,,,0.001,0.0015,0.0014
,SA007670-001,8.1652,,mg/L,1.2,0.0334,0.0052,2,5,,0.0334,0.0331,0.0339
,SA007670-002,10.4081,,mg/L,1,0.0426,0.0059,2.03,5,,0.0425,0.0423,0.0431
,SA007670-003,5.5883,,mg/L,1.2,0.0224,0.0035,2.01,5,,0.0222,0.0224,0.0227
,SA007670-004,12.5817,,mg/L,0.9,0.0529,0.0041,2.07,5,,0.0528,0.0524,0.0533
,SA007670-005,5.8162,,mg/L,0.5,0.0242,0.0039,2.08,5,,0.0243,0.0243,0.0241
,PATRON,0.9903,,mg/L,0.7,0.1,-0.0046,,,,0.1003,0.1004,0.0992
,SA007670-006,9.6654,,mg/L,1.3,0.0395,0.0031,2,5,,0.0401,0.0393,0.0392
,SA007670-007,16.2123,,mg/L,0.7,0.0678,0.0039,2.06,5,,0.0673,0.0681,0.0681
,SA007670-008,10.6372,,mg/L,0.1,0.0445,0.0034,2.07,5,,0.0446,0.0445,0.0445
,SA007670-009,11.9075,,mg/L,1.3,0.0484,0.0036,2.01,5,,0.0477,0.049,0.0486
,SA007670-010,7.0983,,mg/L,1.2,0.0292,0.0031,2.05,5,,0.0294,0.0294,0.0288
,PATRON,0.9871,,mg/L,0,0.0997,-0.0048,,,,0.0996,0.0997,0.0997
,BLANCO,0.0077,,mg/L,22.9,0.0008,-0.0028,,,,0.0009,0.0008,0.0006
,BLANCO REACTIVO,0,,mg/L,12.2,0.0018,-0.0014,,,,0.0016,0.002,0.0017
,SA007670-011,5.9764,,mg/L,2.1,0.0244,0.0025,2.04,5,,0.0242,0.0241,0.025
,SA007670-012,7.2772,,mg/L,1.4,0.0301,0.0024,2.06,5,,0.0296,0.0304,0.0301
,SA007670-013,14.2057,,mg/L,1.7,0.059,0.0033,2,5,,0.0581,0.0587,0.0601
,SA007670-014,13.793,,mg/L,0.3,0.0573,0.0014,2.05,5,,0.0571,0.0574,0.0573
,SA007670-015,14.8658,,mg/L,0.9,0.0621,0.0018,2.06,5,,0.0615,0.0622,0.0626
,PATRON,0.9745,,mg/L,1.3,0.0984,-0.005,,,,0.0998,0.098,0.0975
,SA007670-016,15.2135,,mg/L,0.2,0.063,0.0002,2.04,5,,0.063,0.0629,0.0632
,SA007670-017,12.2055,,mg/L,1.4,0.0513,0.0005,2.07,5,,0.0505,0.0516,0.0517
,SA007670-018,11.214,,mg/L,0.7,0.0462,0.0006,2,5,,0.046,0.0461,0.0465
,SA007670-019,7.5868,,mg/L,0.6,0.031,0.003,2.03,5,,0.0312,0.031,0.0308
,SA007670-020,10.5284,,mg/L,0.1,0.0424,0.0002,,5,,0.0424,0.0425,0.0425
,PATRON,0.9831,,mg/L,0.5,0.0993,-0.0056,,,,0.099,0.099,0.0998
,BLANCO,0.0028,,mg/L,>100,0.0003,-0.0033,,,,0.0006,0.0005,-0.0002
,BLANCO REACTIVO,0,,mg/L,13.1,0.0019,-0.0015,,,,0.0016,0.0021,0.002
,SA007670-021,0.1351,,mg/L,37.9,0.0005,-0.0025,2.07,5,,0.0006,0.0003,0.0007
,SA007670-022,15.242,,mg/L,0.6,0.0637,0.0008,2.06,5,,0.0633,0.0641,0.0638
,SA007670-023,0.1544,,mg/L,27.1,0.0006,-0.0012,2.03,5,,0.0005,0.0008,0.0006
,SA007670-024,15.3979,,mg/L,0.8,0.0625,0.0009,2,5,,0.0627,0.0619,0.0629
,SA007670-025,5.8859,,mg/L,1.1,0.0241,0.003,2.05,5,,0.0239,0.0245,0.024
,PATRON,0.9715,,mg/L,0.6,0.0981,-0.0057,,,,0.0977,0.0988,0.0979
,SA007670-026,12.3236,,mg/L,0.8,0.0518,0.0034,2.07,5,,0.0515,0.0523,0.0516
,SA007670-027,10.8183,,mg/L,1.4,0.0452,0.0017,2,5,,0.0445,0.0458,0.0453
,SA007670-028,13.7787,,mg/L,0.4,0.0559,0.0002,2,5,,0.0558,0.0562,0.0558
,SA007670-029,13.8498,,mg/L,0.7,0.0576,-0.0002,2.05,5,,0.0571,0.0577,0.0579
,SA007670-030,9.3768,,mg/L,0.7,0.039,-0.0003,2.06,5,,0.0387,0.0392,0.039
,PATRON,0.9624,,mg/L,0.3,0.0973,-0.0058,,,,0.0969,0.0973,0.0975
,BLANCO,0.0091,,mg/L,39.5,0.0009,-0.0041,,,,0.0005,0.0012,0.001
,BLANCO REACTIVO,0,,mg/L,11.9,0.0013,-0.0016,,,,0.0015,0.0012,0.0013
,SA007670-031,13.8338,,mg/L,1.1,0.0579,0.0012,2.06,5,,0.0572,0.0584,0.0582
,SA007670-032,0.1377,,mg/L,54.7,0.0005,-0.0039,,5,,0.0007,0.0007,0.0002
,PATRON,1.017,,mg/L,0.3,0.1026,-0.0055,,,,0.1023,0.1029,0.1026
,BLANCO,-0.0004,,mg/L,>100,0,-0.0034,,,,0.0001,0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,25.9,0.0017,-0.0008,,,,0.0021,0.0016,0.0013
