Analista,ACG,,,,,,,,
Fecha de inicio,05:32 a. m. 15/01/2026  GMT: 11:32 a. m. 15/01/2026,,,,,,,,
Hoja de trabajo,SA007671,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5073,,mg/L,1,0.5,0.0193,0.001,
Au,BLANCO,0.0086,,mg/L,1,26.6,0.0003,-0.0009,
Au,BLANCO REACTIVO,0,,mg/L,1,93.4,0.0001,-0.001,
Au,SA007671-001,0.1603,,mg/L,1,1.7,0.026,-0.0003,30.01
Au,SA007671-002,0.085,,mg/L,1,3,0.0139,0.0001,30.03
Au,SA007671-003,0.0989,,mg/L,1,2,0.0161,-0.0001,30.01
Au,SA007671-004,0.0025,,mg/L,1,31,0.0004,0,3
Au,SA007671-005,0.1354,,mg/L,1,2,0.022,0,30.02
Au,PATRON,0.4943,,mg/L,1,3.6,0.0188,0.0005,
Au,SA007671-006,0.0739,,mg/L,1,0.2,0.0121,-0.0005,30.05
Au,SA007671-007,0.0868,,mg/L,1,1.4,0.0142,-0.0005,30.03
Au,SA007671-008,0.0965,,mg/L,1,3.3,0.0157,-0.0005,30.01
Au,SA007671-009,0.2043,,mg/L,1,0.7,0.0331,-0.0002,30.02
Au,SA007671-010,0.4533,,mg/L,1,1.9,0.074,0.0007,3
Au,PATRON,0.4929,,mg/L,1,2.5,0.0187,0.0012,
Au,BLANCO,-0.006,,mg/L,1,99.8,-0.0002,-0.0002,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0,-0.0003,
Au,SA007671-011,0.4535,,mg/L,1,1.7,0.0723,-0.0004,30
Au,SA007671-012,0.3009,,mg/L,1,0.9,0.0485,-0.0007,30.02
Au,SA007671-013,0.2651,,mg/L,1,1.9,0.0428,-0.0003,30.02
Au,SA007671-014,0.4978,,mg/L,1,1.2,0.0792,-0.0001,30.01
Au,SA007671-015,0.1965,,mg/L,1,0.4,0.0314,-0.0015,30
Au,PATRON,0.4914,,mg/L,1,3.2,0.0187,0.0016,
Au,SA007671-016,0.2188,,mg/L,1,0.1,0.0354,0.0003,30
Au,SA007671-017,0.2645,,mg/L,1,1.4,0.0427,0,30.02
Au,SA007671-018,0.1231,,mg/L,1,0.6,0.02,-0.0003,30
Au,SA007671-019,0.0055,,mg/L,1,47.1,0.0009,0.0003,30.02
Au,SA007671-020,0.1972,,mg/L,1,0.2,0.032,-0.0003,30
Au,PATRON,0.5021,,mg/L,1,1,0.0191,0.0007,
Au,BLANCO,0.0017,,mg/L,1,>100,0.0001,-0.0009,
Au,BLANCO REACTIVO,0,,mg/L,1,73.5,-0.0003,-0.0006,
Au,SA007671-021,0.2868,,mg/L,1,1.5,0.0462,0.0001,30.01
Au,SA007671-022,0.2013,,mg/L,1,0.4,0.0326,-0.0001,30
Au,SA007671-023,0.2145,,mg/L,1,1.8,0.0347,0.0001,30.01
Au,SA007671-024,0.1819,,mg/L,1,1.1,0.0295,0,30.03
Au,SA007671-025,0.1569,,mg/L,1,1.6,0.0255,0.0007,30.01
Au,PATRON,0.5104,,mg/L,1,1.9,0.0194,0.0007,
Au,SA007671-026,0.1396,,mg/L,1,1.9,0.0227,0.0002,30.03
Au,SA007671-027,0.1325,,mg/L,1,1.8,0.0216,0.0006,30
Au,SA007671-028,0.204,,mg/L,1,0.8,0.0331,0.0005,30.02
Au,SA007671-029,0.2298,,mg/L,1,0.8,0.0372,0.0006,30
Au,SA007671-030,0.1783,,mg/L,1,1.7,0.0289,0.0008,30
Au,PATRON,0.5032,,mg/L,1,2.5,0.0191,0.0017,
Au,BLANCO,0.006,,mg/L,1,>100,0.0002,-0.0026,
Au,BLANCO REACTIVO,0,,mg/L,1,71.9,-0.0005,0.0007,
Au,SA007671-031,0.6252,,mg/L,1,1.4,0.0988,0.0004,30
Au,SA007671-032,0.1641,,mg/L,1,0.6,0.0263,-0.0002,30.01
Au,PATRON,0.5344,,mg/L,1,2.6,0.02,0.0004,
Au,BLANCO,-0.0002,,mg/L,1,>100,0,-0.0022,
Au,BLANCO REACTIVO,0,,mg/L,1,10.3,0.0009,-0.001,
