Analista,,,,,,,,,,,,,
Fecha de inicio,15/01/2026 06:38 a. m.  GMT: 15/01/2026 12:38 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007671,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9837,,mg/L,1.1,0.092,-0.0034,1,1,1,0.0909,0.0928,0.0923
,BLANCO,-0.003,,mg/L,>100,-0.0003,-0.0018,1,1,1,0.0004,-0.0002,-0.0009
,BLANCO REACTIVO,0,,mg/L,36.5,0.0006,-0.0007,1,1,1,0.0008,0.0004,0.0005
,SA007671-001,11.588,,mg/L,0.2,0.0504,0.0031,2.01,50,1,0.0505,0.0505,0.0503
,SA007671-002,11.4159,,mg/L,1.6,0.0508,0.0018,2.057,50,1,0.0503,0.0518,0.0504
,SA007671-003,11.0384,,mg/L,0.7,0.0481,0.0026,2.018,50,1,0.0479,0.0485,0.048
,SA007671-004,0.0102,,mg/L,>100,0,-0.0032,2,50,1,0.0003,-0.0001,0
,SA007671-005,8.8516,,mg/L,0.4,0.039,0.0014,2.057,50,1,0.0389,0.039,0.0392
,PATRON,1.0153,,mg/L,0.7,0.111,-0.0054,1,1,1,0.1102,0.1111,0.1118
,SA007671-006,15.1222,,mg/L,0.6,0.0667,-0.0007,2.017,50,1,0.0662,0.067,0.0668
,SA007671-007,11.5001,,mg/L,0.2,0.0519,-0.0004,2.084,50,1,0.0521,0.0518,0.0519
,SA007671-008,10.4522,,mg/L,1.1,0.0459,-0.0001,2.036,50,1,0.0453,0.046,0.0463
,SA007671-009,23.9439,,mg/L,0.6,0.1077,0,2.054,50,1,0.1081,0.1069,0.108
,SA007671-010,21.9508,,mg/L,0.7,0.0985,-0.0008,2.044,50,1,0.0985,0.0979,0.0991
,PATRON,1,,mg/L,0.8,0.1011,-0.0039,1,1,1,0.102,0.1004,0.101
,BLANCO,-0.0009,,mg/L,>100,-0.0001,-0.0032,1,1,1,0.0001,-0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,22.3,0.0032,-0.0004,1,1,1,0.0024,0.0037,0.0035
,SA007671-011,15.8324,,mg/L,1,0.0699,0.0004,2.016,50,1,0.0691,0.0705,0.0699
,SA007671-012,24.7012,,mg/L,1.2,0.1095,-0.0004,2.025,50,1,0.1086,0.1088,0.1109
,SA007671-013,33.5926,,mg/L,0.6,0.1445,-0.0001,2.018,50,1,0.1454,0.1445,0.1437
,SA007671-014,47.2701,,mg/L,0,0.1935,0,2.081,50,1,0.1935,,
,SA007671-015,26.8233,,mg/L,0.3,0.1103,0.0095,2.045,50,1,0.1105,0.1106,0.1099
,PATRON,0.9879,,mg/L,0.1,0.1,-0.004,1,1,1,0.0999,0.1001,0.1
,SA007671-016,26.9633,,mg/L,0.6,0.111,0.0087,2.048,50,1,0.1116,0.1103,0.1112
,SA007671-017,99.6706,,mg/L,2.2,0.043,-0.0033,2.06,50,10,0.042,0.0433,0.0438
,SA007671-018,19.6626,,mg/L,0.4,0.0814,0.001,2.022,50,1,0.0814,0.0818,0.0811
,SA007671-019,0.2307,,mg/L,7.5,0.001,0.0008,2.068,50,1,0.001,0.0009,0.001
,SA007671-020,33.5293,,mg/L,0.4,0.1464,-0.001,2.052,50,1,0.1464,0.1458,0.1469
,PATRON,1.0093,,mg/L,0.1,0.102,-0.0039,1,1,1,0.1021,0.102,0.1021
,BLANCO,0.0021,,mg/L,69.6,0.0002,-0.0018,1,1,1,0.0004,0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,12.1,0.0018,-0.0006,1,1,1,0.0017,0.002,0.0016
,SA007671-021,34.9411,,mg/L,0.9,0.1487,-0.0003,2.005,50,1,0.1472,0.15,0.1489
,SA007671-022,25.9918,,mg/L,0.8,0.1145,0,2.018,50,1,0.1135,0.1146,0.1154
,SA007671-023,26.0856,,mg/L,0.6,0.1141,0.0001,2.003,50,1,0.1144,0.1146,0.1133
,SA007671-024,13.4709,,mg/L,1.6,0.0611,-0.0001,2.08,50,1,0.0615,0.0618,0.0599
,SA007671-025,19.5025,,mg/L,0.7,0.0871,-0.0009,2.034,50,1,0.0865,0.0872,0.0877
,PATRON,0.9933,,mg/L,8.3,0.1087,-0.0064,1,1,1,0.1134,0.0983,0.1144
,SA007671-026,6.1836,,mg/L,0.9,0.0272,-0.0001,2.082,50,1,0.0271,0.0275,0.027
,SA007671-027,28.0832,,mg/L,0.6,0.1251,0.0004,2.053,50,1,0.1243,0.1259,0.1252
,SA007671-028,10.2111,,mg/L,0.5,0.0446,-0.0003,2.029,50,1,0.0448,0.0444,0.0448
,SA007671-029,20.1951,,mg/L,0.9,0.0891,-0.0013,2.008,50,1,0.0882,0.0893,0.0898
,SA007671-030,18.1324,,mg/L,0.8,0.0815,-0.0016,2.048,50,1,0.0819,0.0819,0.0808
,PATRON,0.9671,,mg/L,7,0.1059,-0.0058,1,1,1,0.1014,0.1019,0.1146
,BLANCO,0.0087,,mg/L,14.9,0.0009,-0.0039,1,1,1,0.001,0.001,0.0007
,BLANCO REACTIVO,0,,mg/L,9,0.0026,-0.0017,1,1,1,0.0026,0.0029,0.0024
,SA007671-031,32.4491,,mg/L,0.7,0.1416,0.0001,2.041,50,1,0.1404,0.1423,0.1422
,SA007671-032,6.911,,mg/L,1.3,0.0303,0.0002,2.065,50,1,0.0307,0.0302,0.03
,PATRON,1.0152,,mg/L,2.6,0.111,-0.0061,1,1,1,0.1082,0.1109,0.1139
,BLANCO,-0.0021,,mg/L,25.5,-0.0002,-0.004,1,1,1,-0.0002,-0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,10.2,0.0026,-0.0017,1,1,1,0.0024,0.0027,0.0029
