Analista,ACG,,,,,,,,,
Fecha de inicio,06:56 a. m. 15/01/2026  GMT: 12:56 p. m. 15/01/2026,,,,,,,,,
Hoja de trabajo,SA007673,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.5018,,mg/L,1,1.6,0.018,0.0003,1,1
Au,BLANCO,0.0226,,mg/L,1,43.1,0.0008,0.0011,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,11.4,-0.0023,0.0004,1,1
Au,SA007673-001,0.0359,,mg/L,1,7.7,0.0059,0.0002,30.022,7
Au,SA007673-002,0.0481,,mg/L,1,2.1,0.0079,0.0006,30.007,7
Au,SA007673-003,0.052,,mg/L,1,0.7,0.0085,0.0005,30.011,7
Au,SA007673-004,0.1823,,mg/L,1,0.8,0.0298,0.0008,30.016,7
Au,SA007673-005,0.1825,,mg/L,1,0.8,0.0299,0.0008,30.009,7
Au,PATRON,0.4806,,mg/L,1,1.2,0.0184,0.0018,1,1
Au,SA007673-006,0.9724,,mg/L,1,0.4,0.1545,0.0001,30.019,7
Au,SA007673-007,0.2765,,mg/L,1,1.3,0.045,0.0004,30.004,7
Au,SA007673-008,0.0922,,mg/L,1,1.9,0.0142,0.003,30.017,7
Au,SA007673-009,1.1082,,mg/L,1,0.8,0.1692,0,30.008,7
Au,SA007673-010,0.3805,,mg/L,1,1.2,0.0585,0.0019,30.017,7
Au,PATRON,0.5143,,mg/L,1,0.3,0.0197,0.0006,1,1
Au,BLANCO,-0.001,,mg/L,1,>100,0,-0.0005,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,88.7,0.0003,0.0001,1,1
Au,SA007673-011,0.0072,,mg/L,1,71,0.0012,-0.0002,30.02,7
Au,SA007673-012,0.2571,,mg/L,1,1.9,0.042,0.0005,30.029,7
Au,SA007673-013,0.1077,,mg/L,1,3.1,0.0177,0.0009,30.015,7
Au,SA007673-014,0.024,,mg/L,1,9,0.004,0.0005,30.002,7
Au,SA007673-015,0.0139,,mg/L,1,6.9,0.0023,0.0002,30.012,7
Au,PATRON,0.4951,,mg/L,1,1.7,0.0189,0.0014,1,1
Au,SA007673-016,0.0257,,mg/L,1,1,0.0042,0.0001,30.01,7
Au,SA007673-017,0.1145,,mg/L,1,2,0.0188,0.0002,30.001,7
Au,SA007673-018,0.144,,mg/L,1,1.8,0.0236,-0.0001,30.036,7
Au,SA007673-019,0.302,,mg/L,1,0.6,0.0492,0.0002,30.023,7
Au,SA007673-020,0.06,,mg/L,1,0.6,0.0099,0.0006,30.034,7
Au,PATRON,0.4909,,mg/L,1,0.7,0.0188,0.001,1,1
Au,BLANCO,0.0038,,mg/L,1,>100,0.0001,0,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,43.3,-0.0004,0.0005,1,1
Au,SA007673-021,0.0628,,mg/L,1,1.6,0.0103,0.0005,30.042,7
Au,SA007673-022,0.0062,,mg/L,1,18.6,0.001,0.0008,30.035,7
Au,SA007673-023,0.0906,,mg/L,1,1,0.0149,0.0009,30.01,7
Au,SA007673-024,0.0743,,mg/L,1,1.2,0.0122,0.0004,30.019,7
Au,SA007673-025,0.0063,,mg/L,1,29,0.001,0.0003,30,7
Au,PATRON,0.4949,,mg/L,1,1.5,0.0189,0.002,1,1
Au,SA007673-026,0.0746,,mg/L,1,2.9,0.0123,0.0016,30.009,7
Au,SA007673-027,0.1765,,mg/L,1,0.7,0.0289,0.0009,30.015,7
Au,SA007673-028,0.079,,mg/L,1,1.4,0.0126,0.001,30.018,7
Au,SA007673-029,0.1742,,mg/L,1,1.7,0.0278,0.0016,30.007,7
Au,SA007673-030,0.1955,,mg/L,1,1.5,0.0311,0.0011,30.001,7
Au,PATRON,0.4875,,mg/L,1,0.4,0.0181,0.0011,1,1
Au,BLANCO,0.0041,,mg/L,1,>100,0.0002,-0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0004,-0.0001,1,1
Au,SA007673-031,0.037,,mg/L,1,8.7,0.0059,0.0005,30.01,7
Au,SA007673-032,0.0625,,mg/L,1,3.5,0.01,0.0009,30.022,7
Au,PATRON,0.5086,,mg/L,1,2.5,0.0189,0.0012,1,1
Au,BLANCO,0.0048,,mg/L,1,38.7,0.0002,0.0002,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,29.2,0.0006,0.0002,1,1
