Analista,mav,,,,,,,,,,,,
Fecha de inicio,15/01/2026 10:01 a. m.  GMT: 15/01/2026 04:01 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007674,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9866,,mg/L,0.3,0.1023,-0.0035,,,,0.1022,0.1026,0.1019
,BLANCO,-0.002,,mg/L,69.3,-0.0002,-0.0026,,,,-0.0001,-0.0003,-0.0003
,BLANCO REACTIVO,0,,mg/L,34,-0.0008,0.0006,,,,-0.0009,-0.0005,-0.0009
,SA007674-001,3.3791,,mg/L,0.6,0.0148,0.0017,2.06,5,,0.0149,0.0149,0.0148
,SA007674-002,3.5247,,mg/L,1.9,0.0154,0.0017,2.05,5,,0.0158,0.0152,0.0153
,SA007674-003,3.5039,,mg/L,2.6,0.0155,0.0023,2.07,5,,0.0151,0.0154,0.0159
,SA007674-004,0.095,,mg/L,64.7,0.0004,-0.0024,,5,,0.0007,0.0004,0.0001
,SA007674-005,0.0609,,mg/L,22.1,0.0003,-0.0015,2.05,5,,0.0002,0.0002,0.0003
,PATRON,0.9812,,mg/L,0.7,0.1017,-0.0043,,,,0.1024,0.101,0.1017
,SA007674-006,6.0451,,mg/L,1.1,0.0259,0.0007,2.01,5,,0.0261,0.0261,0.0256
,PATRON,0.9899,,mg/L,0.9,0.1014,-0.0031,,,,0.1023,0.1005,0.1016
,BLANCO,0.0016,,mg/L,>100,0.0002,0.0012,,,,0.0003,0.0003,-0.0001
,BLANCO REACTIVO,0,,mg/L,5.8,-0.0006,0.0004,,,,-0.0006,-0.0006,-0.0006
