Analista,MAV,,,,,,,,,,,,
Fecha de inicio,15/01/2026 10:03 a. m.  GMT: 15/01/2026 04:03 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA007679,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9843,,mg/L,1,0.1025,-0.0042,,,,0.1013,0.1031,0.103
,BLANCO,-0.0027,,mg/L,>100,-0.0003,0.0001,,,,0.0002,-0.0005,-0.0006
,BLANCO REACTIVO,0,,mg/L,27.9,0.001,-0.0007,,,,0.0013,0.0011,0.0007
,SA007679-001,1.3713,,mg/L,6.5,0.006,0.0021,2.07,5,,0.0064,0.0061,0.0056
,SA007679-002,-0.0665,,mg/L,77.4,-0.0003,-0.0015,2.03,5,,-0.0004,0,-0.0004
,SA007679-003,1.9083,,mg/L,4.3,0.0081,0.0032,2.01,5,,0.0077,0.0082,0.0084
,SA007679-004,1.7394,,mg/L,1.8,0.0075,0.0046,2.05,5,,0.0074,0.0077,0.0075
,SA007679-005,1.8665,,mg/L,1.8,0.0079,0.0035,2,5,,0.0078,0.0079,0.0081
,PATRON,0.9716,,mg/L,0.4,0.1012,-0.0029,,,,0.101,0.1017,0.1009
,SA007679-006,2.0052,,mg/L,5.3,0.0088,0.0027,2.06,5,,0.0091,0.009,0.0082
,SA007679-007,2.1275,,mg/L,0.8,0.009,0.0034,2,5,,0.009,0.009,0.0091
,SA007679-008,1.7446,,mg/L,1.3,0.0075,0.0029,2.02,5,,0.0073,0.0075,0.0075
,SA007679-009,3.5532,,mg/L,0.3,0.0155,0.0031,2.06,5,,0.0155,0.0156,0.0155
,SA007679-010,-0.1667,,mg/L,18.8,-0.0007,-0.0001,2.02,5,,-0.0007,-0.0006,-0.0009
,PATRON,0.9927,,mg/L,0.8,0.0994,-0.0017,,,,0.099,0.1002,0.0988
,BLANCO,-0.0024,,mg/L,40.1,-0.0002,0.0004,,,,-0.0002,-0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,21.6,-0.0011,0.001,,,,-0.0009,-0.0013,-0.0013
,SA007679-011,4.7081,,mg/L,1.3,0.0192,0.0084,2.04,5,,0.0193,0.0194,0.0189
,SA007679-012,6.8208,,mg/L,0.7,0.0278,0.009,2.03,5,,0.0276,0.028,0.0279
,SA007679-013,5.6565,,mg/L,1.3,0.0229,0.0078,2.02,5,,0.0225,0.023,0.0231
,SA007679-014,0.025,,mg/L,>100,0.0001,0.0027,2.02,5,,-0.0003,0.0003,0.0003
,SA007679-015,4.2741,,mg/L,0.7,0.0171,0.0077,2,5,,0.017,0.0172,0.0171
,PATRON,0.9918,,mg/L,0,0.0993,0.0001,,,,0.0993,0.0993,0.0993
,SA007679-016,4.4825,,mg/L,2,0.018,0.0072,2.01,5,,0.0185,0.0178,0.0178
,SA007679-017,15.3922,,mg/L,1.3,0.0624,0.0063,2.01,5,,0.0624,0.0615,0.0632
,PATRON,0.9937,,mg/L,0.3,0.0995,0.0001,,,,0.0993,0.0993,0.0997
,BLANCO,0.0088,,mg/L,34.2,0.0009,0.0022,,,,0.0012,0.0008,0.0006
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.001,,,,0.0001,-0.0004,-0.0003
