Analista,MVG,,,,,,,,
Fecha de inicio,10:25 a. m. 15/01/2026  GMT: 04:25 p. m. 15/01/2026,,,,,,,,
Hoja de trabajo,SA007680,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.508,,mg/L,1,1.8,0.0176,0.0016,
Au,BLANCO,-0.0013,,mg/L,1,>100,0,-0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,89.9,0.0003,-0.0011,
Au,SA007680-001,0.3458,,mg/L,1,1.4,0.0521,-0.0015,30.02
Au,SA007680-002,0.1828,,mg/L,1,2.5,0.0273,-0.0014,30.02
Au,SA007680-003,0.2106,,mg/L,1,0.6,0.0315,-0.0011,30
Au,SA007680-004,0.1943,,mg/L,1,1,0.029,-0.0009,30
Au,SA007680-005,0.0871,,mg/L,1,2.4,0.013,-0.0001,30.03
Au,PATRON,0.5,,mg/L,1,0.5,0.0174,0.0003,
Au,SA007680-006,0.2459,,mg/L,1,2.1,0.0369,-0.0007,30
Au,SA007680-007,0.2145,,mg/L,1,0.5,0.0321,-0.0006,30.02
Au,SA007680-008,0.1611,,mg/L,1,1.1,0.0241,-0.0005,30.02
Au,SA007680-009,-0.0018,,mg/L,1,40.7,-0.0003,-0.0006,3
Au,SA007680-010,0.0406,,mg/L,1,4.4,0.006,-0.0004,30
Au,PATRON,0.4961,,mg/L,1,3.6,0.0172,0.0007,
Au,BLANCO,0.0024,,mg/L,1,>100,0.0001,-0.0013,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0008,
Au,SA007680-011,0.5778,,mg/L,1,1,0.0877,-0.0009,30.02
Au,SA007680-012,0.476,,mg/L,1,0.7,0.0721,-0.0015,30.02
Au,SA007680-013,0.0279,,mg/L,1,3.8,0.0041,-0.0015,30.02
Au,SA007680-014,0.0225,,mg/L,1,6.2,0.0033,-0.0002,30.01
Au,SA007680-015,0.0217,,mg/L,1,4.5,0.0032,-0.0007,30.01
Au,PATRON,0.4933,,mg/L,1,0.2,0.0171,0.0002,
Au,SA007680-016,-0.0022,,mg/L,1,>100,-0.0003,-0.0007,3
Au,SA007680-017,0.0405,,mg/L,1,3.2,0.006,-0.001,30.01
Au,SA007680-018,0.0354,,mg/L,1,3.5,0.0052,-0.0004,30.02
Au,SA007680-019,0.0341,,mg/L,1,2.7,0.0051,-0.0011,30.02
Au,SA007680-020,0.2289,,mg/L,1,0.6,0.0343,-0.0002,30
Au,PATRON,0.5081,,mg/L,1,0.8,0.0176,0.0003,
Au,BLANCO,-0.0008,,mg/L,1,>100,0,0.0001,
Au,BLANCO REACTIVO,0,,mg/L,1,98.4,-0.0005,-0.001,
