Analista,MVG,,,,,,,,,
Fecha de inicio,11:11 a. m. 15/01/2026  GMT: 05:11 p. m. 15/01/2026,,,,,,,,,
Hoja de trabajo,SA007681,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
Au,PATRON,0.4862,,mg/L,1,0.3,0.0166,0.0006,1,1
Au,BLANCO,-0.0029,,mg/L,1,>100,-0.0001,-0.0012,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,24.9,-0.0009,-0.0012,1,1
Au,SA007681-001,0.0164,,mg/L,1,13.2,0.0025,-0.0012,30.022,7
Au,SA007681-002,0.0179,,mg/L,1,13.4,0.0027,-0.0012,30.011,7
Au,SA007681-003,0.0469,,mg/L,1,3.5,0.007,-0.0011,30.004,7
Au,SA007681-004,0.0283,,mg/L,1,3.6,0.0042,-0.0014,30.029,7
Au,SA007681-005,0.025,,mg/L,1,5.2,0.0037,-0.0014,30.004,7
Au,PATRON,0.5097,,mg/L,1,1.1,0.0177,0.0018,1,1
Au,SA007681-006,0.0343,,mg/L,1,5.6,0.0051,0.0008,30.021,7
Au,SA007681-007,0.0298,,mg/L,1,3,0.0044,0.0002,30.017,7
Au,SA007681-008,0.0252,,mg/L,1,20.2,0.0037,-0.0002,30.021,7
Au,SA007681-009,0.3888,,mg/L,1,0.5,0.0586,0.0008,30.037,7
Au,SA007681-010,0.0513,,mg/L,1,1.6,0.0076,0.0007,30.038,7
Au,PATRON,0.5181,,mg/L,1,0.9,0.018,0.0012,1,1
Au,BLANCO,0.007,,mg/L,1,83.3,0.0002,0.0004,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,62.8,0.0004,-0.0009,1,1
Au,SA007681-011,1.1208,,mg/L,1,1,0.1707,-0.0009,30.007,7
Au,SA007681-012,0.0192,,mg/L,1,13.9,0.0028,-0.0015,30.035,7
Au,SA007681-013,0.0256,,mg/L,1,3.8,0.0038,-0.002,30.028,7
Au,SA007681-014,0.0649,,mg/L,1,2.2,0.0096,-0.0012,30.027,7
Au,SA007681-015,0.0778,,mg/L,1,1.5,0.0116,-0.0013,30.04,7
Au,PATRON,0.5158,,mg/L,1,1.5,0.0179,-0.0004,1,1
Au,SA007681-016,0.0713,,mg/L,1,2.5,0.0106,-0.0013,30.038,7
Au,SA007681-017,0.0655,,mg/L,1,3.5,0.0097,-0.0009,30.001,7
Au,SA007681-018,0.0113,,mg/L,1,16.8,0.0017,-0.0013,30.027,7
Au,SA007681-019,0.7736,,mg/L,1,0.3,0.1178,-0.0012,30.015,7
Au,SA007681-020,0.0063,,mg/L,1,47.8,0.0009,-0.0009,30,7
Au,PATRON,0.5186,,mg/L,1,3.3,0.018,0.0001,1,1
Au,BLANCO,0.0049,,mg/L,1,5.9,0.0002,-0.0012,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,62.9,0.0005,-0.0008,1,1
Au,SA007681-021,0.5968,,mg/L,1,0.3,0.0892,-0.0006,29.997,7
Au,SA007681-022,1.8367,,mg/L,1,0.2,0.2702,0.0002,30.032,7
Au,SA007681-023,0.6867,,mg/L,1,1.1,0.1029,-0.0002,30.019,7
Au,SA007681-024,0.0328,,mg/L,1,5.9,0.0048,0.0004,30.034,7
Au,SA007681-025,0.0743,,mg/L,1,2.3,0.0109,0.0004,30.029,7
Au,PATRON,0.5177,,mg/L,1,1.8,0.0177,0.0006,1,1
Au,SA007681-026,0.0294,,mg/L,1,8.3,0.0043,-0.0002,30.02,7
Au,SA007681-027,0.0435,,mg/L,1,1.4,0.0064,-0.0011,30.017,7
Au,SA007681-028,0.1698,,mg/L,1,1.9,0.0253,-0.001,30.032,7
Au,SA007681-029,0.8375,,mg/L,1,0.6,0.1276,-0.0015,30.007,7
Au,SA007681-030,0.3795,,mg/L,1,1.7,0.0572,-0.0013,30.01,7
Au,PATRON,0.5008,,mg/L,1,0.9,0.0174,-0.0006,1,1
Au,BLANCO,-0.0017,,mg/L,1,>100,-0.0001,-0.0014,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,43.6,0.0005,-0.0015,1,1
Au,SA007681-031,0.0399,,mg/L,1,3.8,0.0059,-0.0009,30.001,7
Au,SA007681-032,0.0801,,mg/L,1,1.3,0.0119,-0.0013,30.017,7
Au,PATRON,0.516,,mg/L,1,0.8,0.0179,-0.0008,1,1
Au,BLANCO,0.0025,,mg/L,1,>100,0.0001,-0.0012,1,1
Au,BLANCO REACTIVO,0,,mg/L,1,33.7,0.0008,-0.0009,1,1
