Analista,MVG,,,,,,,,
Fecha de inicio,12:06 p. m. 15/01/2026  GMT: 06:06 p. m. 15/01/2026,,,,,,,,
Hoja de trabajo,SA007683,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5071,,mg/L,1,1,0.0181,0.0006,
Au,BLANCO,0.0029,,mg/L,1,>100,0.0001,-0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,46,0.0004,0.0002,
Au,SA007683-001,0.1431,,mg/L,1,0.7,0.0219,0.0001,30
Au,SA007683-002,0.0898,,mg/L,1,3.6,0.0138,-0.0003,30
Au,SA007683-003,0.0061,,mg/L,1,23.3,0.0009,-0.0002,3
Au,SA007683-004,0.2163,,mg/L,1,1,0.0332,-0.0003,30
Au,SA007683-005,0.2136,,mg/L,1,0.6,0.0328,0.0001,30.01
Au,PATRON,0.4826,,mg/L,1,1.1,0.0173,0.0005,
Au,SA007683-006,0.0024,,mg/L,1,>100,0.0004,0,30.01
Au,SA007683-007,0.0989,,mg/L,1,0.8,0.0152,-0.0004,30
Au,SA007683-008,0.0037,,mg/L,1,58.8,0.0006,-0.0003,30.02
Au,SA007683-009,0.1747,,mg/L,1,1.7,0.0268,0,30
Au,SA007683-010,0.0652,,mg/L,1,5.3,0.01,0,30
Au,PATRON,0.4831,,mg/L,1,0.2,0.0173,0.001,
Au,BLANCO,-0.0055,,mg/L,1,35.6,-0.0002,-0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,41.8,0.0004,0.0004,
Au,SA007683-011,0.0677,,mg/L,1,4.3,0.0104,-0.0007,30.01
Au,SA007683-012,0.1243,,mg/L,1,0.9,0.0191,-0.0008,30.01
Au,SA007683-013,0.1517,,mg/L,1,1.5,0.0233,-0.0009,30.02
Au,SA007683-014,0.4407,,mg/L,1,1,0.0676,-0.0011,30.03
Au,SA007683-015,0.4465,,mg/L,1,0.8,0.0684,-0.0014,30
Au,PATRON,0.4998,,mg/L,1,3.4,0.0173,0.0011,
Au,SA007683-016,0.2062,,mg/L,1,1.1,0.0306,0.0006,30.01
Au,SA007683-017,0.0724,,mg/L,1,4.5,0.0107,0.0004,30.02
Au,SA007683-018,0.1145,,mg/L,1,3.3,0.017,0.0006,30.02
Au,SA007683-019,0.0952,,mg/L,1,2,0.0141,0.0008,30
Au,SA007683-020,0.2457,,mg/L,1,1.4,0.0365,0.0007,30.04
Au,PATRON,0.4998,,mg/L,1,0.6,0.0173,0.0013,
Au,BLANCO,-0.0019,,mg/L,1,>100,-0.0001,0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,36.4,0.0007,0.0003,
Au,SA007683-021,0.2229,,mg/L,1,0.9,0.0331,-0.0001,30.02
Au,SA007683-022,0.1116,,mg/L,1,0.8,0.0166,0.0002,30.01
Au,SA007683-023,0.6528,,mg/L,1,1.3,0.0966,-0.001,30
Au,SA007683-024,0.6772,,mg/L,1,0.9,0.1003,-0.0004,30.02
Au,SA007683-025,0.3058,,mg/L,1,1.2,0.0454,-0.0009,30.03
Au,PATRON,0.5025,,mg/L,1,2,0.0174,0.0002,
Au,SA007683-026,0.2456,,mg/L,1,2.2,0.0365,-0.0004,30.02
Au,SA007683-027,0.0989,,mg/L,1,0.7,0.0147,-0.0007,30
Au,SA007683-028,0.1922,,mg/L,1,0.6,0.0286,-0.0005,30.03
Au,SA007683-029,0.147,,mg/L,1,1.2,0.0218,-0.0002,30.04
Au,SA007683-030,0.0811,,mg/L,1,1.6,0.012,-0.0003,30
Au,PATRON,0.4836,,mg/L,1,1.9,0.0167,0.0006,
Au,BLANCO,-0.0039,,mg/L,1,>100,-0.0001,-0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0004,
Au,SA007683-031,0.0887,,mg/L,1,0.5,0.0132,-0.0001,30.02
Au,SA007683-032,0.3666,,mg/L,1,0.3,0.0544,0.0001,30.03
Au,PATRON,0.5052,,mg/L,1,0.3,0.0175,0.0003,
Au,BLANCO,0.0023,,mg/L,1,>100,0.0001,-0.0009,
Au,BLANCO REACTIVO,0,,mg/L,1,23.1,0.0003,-0.0002,
