Analista,JS,,,,,,,,,,,,
Fecha de inicio,31/01/2026 02:55 a. m.  GMT: 31/01/2026 08:55 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA007824,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9959,,mg/L,0.2,0.0876,0.0028,,,,0.0874,0.0877,0.0877
,BLANCO,-0.0031,,mg/L,12.3,-0.0003,0.0009,,,,-0.0002,-0.0003,-0.0003
,BLANCO REACTIVO,0,,mg/L,19.2,-0.0011,0.0014,,,,-0.0011,-0.0008,-0.0012
,SA007824-001,3.9617,,mg/L,3,0.0145,0.0084,2.03,5,,0.0147,0.0148,0.014
,SA007824-002,5.128,,mg/L,2.9,0.0184,0.01,,5,,0.0179,0.0189,0.0186
,SA007824-003,3.8985,,mg/L,4.6,0.0142,0.0103,2,5,,0.0149,0.0139,0.0137
,SA007824-004,5.7575,,mg/L,2,0.0208,0.0093,2,5,,0.0203,0.0212,0.0208
,SA007824-005,5.6117,,mg/L,0.9,0.0203,0.0077,2.01,5,,0.0201,0.0204,0.0205
,PATRON,0.9863,,mg/L,1.1,0.0868,0.003,,,,0.0857,0.0875,0.087
,SA007824-006,3.9474,,mg/L,1.9,0.0144,0.0079,2.02,5,,0.0141,0.0144,0.0146
,SA007824-007,6.8501,,mg/L,2.7,0.0248,0.008,2,5,,0.0254,0.025,0.0241
,SA007824-008,7.3546,,mg/L,1.5,0.0268,0.0075,2.02,5,,0.0264,0.0266,0.0272
,SA007824-009,8.2346,,mg/L,1.4,0.0297,0.0077,2.01,5,,0.0302,0.0293,0.0296
,SA007824-010,22.3726,,mg/L,0.6,0.079,0.0085,2,5,,0.0792,0.0785,0.0793
,PATRON,0.9824,,mg/L,1.4,0.0839,0.0007,,,,0.0846,0.0826,0.0846
,BLANCO,0.0059,,mg/L,15.7,0.0005,-0.0002,,,,0.0006,0.0005,0.0005
,BLANCO REACTIVO,0,,mg/L,95.4,0.0004,0.0018,,,,0.0008,0,0.0005
,SA007824-011,24.9155,,mg/L,1.3,0.0863,0.0065,2.02,5,,0.0853,0.0859,0.0875
,SA007824-012,8.8727,,mg/L,1.7,0.0313,0.0085,2.02,5,,0.0315,0.0307,0.0317
,SA007824-013,8.2372,,mg/L,0.7,0.029,0.0078,2,5,,0.0287,0.0291,0.0291
,SA007824-014,5.8046,,mg/L,1.8,0.0205,0.0062,2.02,5,,0.0204,0.0209,0.0202
,SA007824-015,15.4799,,mg/L,1.1,0.0536,0.0082,2,5,,0.0532,0.0533,0.0543
,PATRON,1.0092,,mg/L,0.5,0.0831,0,,,,0.0827,0.0831,0.0835
,SA007824-016,8.4956,,mg/L,3.4,0.0294,0.005,2.02,5,,0.0284,0.0295,0.0304
,SA007824-017,5.1077,,mg/L,2.2,0.0178,0.0051,2.01,5,,0.0182,0.0174,0.0179
,SA007824-018,19.059,,mg/L,1.9,0.0641,0.0054,2.01,5,,0.0637,0.0655,0.0632
,SA007824-019,5.3038,,mg/L,2.7,0.0186,0.0052,2.02,5,,0.019,0.018,0.0188
,SA007824-020,4.8739,,mg/L,3.9,0.017,0.0048,2,5,,0.0171,0.0162,0.0175
,PATRON,0.9846,,mg/L,2,0.0812,0.0001,,,,0.0829,0.081,0.0797
,BLANCO,0.0014,,mg/L,>100,0.0001,0,,,,-0.0002,0.0003,0.0003
,BLANCO REACTIVO,0,,mg/L,96.9,0.0004,0,,,,0.0008,0.0003,0.0001
,SA007824-021,8.0815,,mg/L,1.6,0.0278,0.004,2,5,,0.0274,0.0277,0.0283
,SA007824-022,0.293,,mg/L,15.4,0.001,0.0016,2,5,,0.0009,0.0011,0.0011
,SA007824-023,14.6311,,mg/L,1.5,0.0497,0.0022,2.01,5,,0.049,0.0504,0.0498
,SA007824-024,-0.0469,,mg/L,60.5,-0.0002,-0.0005,2,5,,-0.0001,-0.0001,-0.0003
,SA007824-025,4.2514,,mg/L,3.5,0.0149,0.0035,2.01,5,,0.0152,0.0152,0.0143
,PATRON,0.9862,,mg/L,1.1,0.0813,-0.0002,,,,0.0803,0.0821,0.0815
,SA007824-026,3.276,,mg/L,8.2,0.0114,0.0058,2,5,,0.0123,0.0117,0.0104
,SA007824-027,2.0937,,mg/L,5,0.0074,0.0049,2.02,5,,0.0078,0.0074,0.0071
,SA007824-028,1.2457,,mg/L,6.5,0.0044,0.0062,2.01,5,,0.0043,0.0047,0.0042
,SA007824-029,1.5512,,mg/L,7.9,0.0055,0.0049,2.02,5,,0.005,0.0059,0.0056
,SA007824-030,3.5629,,mg/L,6.4,0.0124,0.0046,2,5,,0.0117,0.0133,0.0124
,PATRON,0.995,,mg/L,1.6,0.0787,0.0003,,,,0.0798,0.0774,0.0788
,BLANCO,0.0031,,mg/L,95.7,0.0003,0,,,,0.0003,0,0.0005
,BLANCO REACTIVO,0,,mg/L,42.4,0.0002,0,,,,0.0003,0.0003,0.0001
,SA007824-031,0.0943,,mg/L,19.8,0.0003,-0.0003,,5,,0.0003,0.0004,0.0003
,SA007824-032,1.7692,,mg/L,4.5,0.006,0.0052,2.02,5,,0.006,0.0063,0.0058
,PATRON,0.9821,,mg/L,1,0.0777,0.0006,,,,0.0769,0.0777,0.0785
,BLANCO,-0.0006,,mg/L,>100,0,0,,,,-0.0001,0,0
,BLANCO REACTIVO,0,,mg/L,74.6,0.0002,0.0003,,,,0.0002,0.0004,0.0001
