Analista,MVG,,,,,,,,,,,,
Fecha de inicio,2/2/2026 03:26  GMT: 2/2/2026 09:26,,,,,,,,,,,,
Hoja de trabajo,SA007836,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,1.01,,mg/L,2.7,0.0926,-0.0036,,,,0.0899,0.0936,0.0945
,BLANCO,0.008,,mg/L,>100,0.0008,-0.0078,,,,0.0017,-0.0002,0.0009
,BLANCO REACTIVO,0,,mg/L,1.4,0.0256,-0.0113,,,,0.0253,0.026,0.0257
,SA007836-001,0.1719,,mg/L,53.8,0.0007,-0.0095,2,5,,0.0003,0.0008,0.001
,SA007836-002,10.9112,,mg/L,4.8,0.0421,-0.0094,2,5,,0.0399,0.0439,0.0425
,SA007836-003,15.8699,,mg/L,4.1,0.0607,-0.0107,2.02,5,,0.0579,0.0626,0.0616
,SA007836-004,16.2015,,mg/L,1.8,0.0618,-0.0118,2.02,5,,0.0626,0.0605,0.0622
,SA007836-005,15.0169,,mg/L,1.1,0.0574,-0.0371,2.01,5,,0.0579,0.0577,0.0567
,PATRON,0.9775,,mg/L,2.3,0.0899,-0.0126,,,,0.0879,0.0897,0.0921
,SA007836-006,14.4556,,mg/L,0.8,0.055,-0.0111,2,5,,0.0546,0.0555,0.0549
,SA007836-007,7.4728,,mg/L,5.9,0.0295,-0.011,2.02,5,,0.031,0.0276,0.03
,SA007836-008,7.4199,,mg/L,3.4,0.0293,-0.0123,2,5,,0.0291,0.0284,0.0303
,SA007836-009,8.8527,,mg/L,2.6,0.0348,-0.0118,2.02,5,,0.0356,0.0348,0.0338
,SA007836-010,8.8631,,mg/L,6.9,0.0345,-0.0126,2,5,,0.0335,0.0328,0.0372
,PATRON,0.9838,,mg/L,0.9,0.0904,-0.0265,,,,0.0912,0.0905,0.0896
,BLANCO,-0.0076,,mg/L,>100,-0.0008,-0.0228,,,,0.0012,-0.0018,-0.0016
,BLANCO REACTIVO,0,,mg/L,3.9,0.027,-0.0116,,,,0.0282,0.0265,0.0263
,SA007836-011,11.0938,,mg/L,4,0.0431,-0.023,2.02,5,,0.0438,0.0412,0.0444
,SA007836-012,11.1438,,mg/L,1.5,0.0434,-0.0225,2.02,5,,0.0436,0.044,0.0427
,SA007836-013,7.8889,,mg/L,5,0.0313,-0.0227,2.03,5,,0.0304,0.0331,0.0303
,SA007836-014,7.9827,,mg/L,4.2,0.0314,-0.0222,2.01,5,,0.0317,0.0299,0.0325
,SA007836-015,5.1345,,mg/L,4.5,0.0203,-0.0228,2,5,,0.0194,0.0213,0.0202
,PATRON,0.9794,,mg/L,2.6,0.09,-0.0253,,,,0.0897,0.0925,0.0879
,SA007836-016,5.1067,,mg/L,7.8,0.0204,-0.0234,2.02,5,,0.022,0.0188,0.0205
,SA007836-017,0.21,,mg/L,>100,0.0008,-0.0384,,5,,-0.0009,0.0013,0.0021
,SA007836-018,25.5429,,mg/L,2.1,0.0945,-0.0248,2.01,5,,0.0923,0.095,0.0962
,SA007836-019,7.3434,,mg/L,3.5,0.0292,-0.0225,2.03,5,,0.0301,0.0292,0.0281
,SA007836-020,3.3532,,mg/L,8.4,0.0136,-0.0358,2.03,5,,0.0124,0.0138,0.0146
,PATRON,1.0002,,mg/L,1.4,0.0918,-0.0251,,,,0.0931,0.0905,0.0919
,BLANCO,0.019,,mg/L,66.2,0.0019,-0.0273,,,,0.0005,0.0022,0.003
,BLANCO REACTIVO,0,,mg/L,4.8,0.0191,-0.0079,,,,0.0197,0.0181,0.0196
,SA007836-021,5.9849,,mg/L,2.4,0.0237,-0.0251,2.01,5,,0.0232,0.0243,0.0236
,SA007836-022,6.7221,,mg/L,8.1,0.0266,-0.025,2.02,5,,0.0275,0.0242,0.0283
,SA007836-023,4.6651,,mg/L,3.7,0.0186,-0.0252,2.01,5,,0.018,0.0193,0.0183
,SA007836-024,6.7239,,mg/L,5.1,0.0266,-0.0245,2.02,5,,0.0257,0.0282,0.026
,SA007836-025,6.2303,,mg/L,2.5,0.0247,-0.0253,2.01,5,,0.0245,0.0254,0.0242
,PATRON,0.9792,,mg/L,0.7,0.09,-0.0291,,,,0.0899,0.0894,0.0907
,SA007836-026,12.5304,,mg/L,2,0.048,-0.0269,2,5,,0.0475,0.0474,0.0491
,SA007836-027,28.9105,,mg/L,1.1,0.1067,-0.028,2.03,5,,0.106,0.106,0.108
,SA007836-028,7.9988,,mg/L,2.5,0.0318,-0.0265,2.04,5,,0.0319,0.0325,0.0309
,SA007836-029,3.0064,,mg/L,15.4,0.0121,-0.0268,2.01,5,,0.0108,0.0142,0.0112
,SA007836-030,1.93,,mg/L,8.8,0.0078,-0.0248,2.02,5,,0.0072,0.0077,0.0086
,PATRON,1.0051,,mg/L,1.6,0.0922,-0.03,,,,0.0922,0.0908,0.0938
,BLANCO,0.0108,,mg/L,12.7,0.0011,-0.0277,,,,0.0012,0.0012,0.0009
,BLANCO REACTIVO,0,,mg/L,5.2,0.0217,-0.0085,,,,0.023,0.0209,0.0212
,SA007836-031,1.8587,,mg/L,3,0.0075,-0.027,2.01,5,,0.0074,0.0073,0.0078
,SA007836-032,0.2185,,mg/L,>100,0.0009,-0.0297,2,5,,0.0032,-0.0006,0.0001
,PATRON,0.9877,,mg/L,0.5,0.0907,-0.0324,,,,0.0904,0.0913,0.0905
,BLANCO,0.0018,,mg/L,>100,0.0002,-0.0303,,,,0.0004,0,0.0002
,BLANCO REACTIVO,0,,mg/L,9.6,0.0224,-0.0084,,,,0.0249,0.0209,0.0214
