Analista,NR,,,,,,,,,,,,
Fecha de inicio,18/02/2026 04:52 a. m.  GMT: 18/02/2026 10:52 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA008026,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9853,,mg/L,1.6,0.1019,0.0011,,,,0.1015,0.1004,0.1036
,BLANCO,0.0047,,mg/L,42.2,0.0005,-0.0003,,,,0.0007,0.0003,0.0004
,BLANCO REACTIVO,0,,mg/L,90.9,-0.0004,-0.0002,,,,-0.0002,-0.0007,-0.0002
,SA008026-001,2.6151,,mg/L,2.5,0.0112,0.0039,2.02,5,,0.0114,0.0108,0.0112
,SA008026-002,2.2425,,mg/L,4.7,0.0095,0.0035,2,5,,0.0096,0.0098,0.009
,SA008026-003,2.1128,,mg/L,3.5,0.0089,0.004,2,5,,0.0087,0.0087,0.0093
,SA008026-004,7.6417,,mg/L,2,0.0322,0.0044,2,5,,0.0327,0.0324,0.0315
,SA008026-005,16.4997,,mg/L,0.6,0.0698,0.0028,2.02,5,,0.0693,0.07,0.0701
,PATRON,0.9933,,mg/L,0.5,0.1026,0.0006,,,,0.103,0.1029,0.102
,SA008026-006,8.3664,,mg/L,1.5,0.0352,0.001,,5,,0.035,0.0358,0.0348
,SA008026-007,6.8433,,mg/L,1.4,0.029,0.0027,2.01,5,,0.0288,0.0295,0.0288
,SA008026-008,5.6547,,mg/L,1.6,0.024,0.0054,2.01,5,,0.0237,0.0244,0.0238
,SA008026-009,5.6816,,mg/L,2.9,0.024,0.0046,2,5,,0.0232,0.0246,0.0242
,SA008026-010,3.843,,mg/L,2,0.0164,0.0051,2.02,5,,0.0161,0.0164,0.0167
,PATRON,1.0037,,mg/L,1.1,0.1037,0.0029,,,,0.1025,0.1037,0.1048
,BLANCO,-0.0051,,mg/L,90.8,-0.0005,0.0007,,,,-0.0007,-0.0009,0
,BLANCO REACTIVO,0,,mg/L,17.2,-0.0007,0.0001,,,,-0.0007,-0.0007,-0.0009
,SA008026-011,0.3601,,mg/L,42.7,0.0015,0.0018,2,5,,0.002,0.0008,0.0018
,SA008026-012,8.0682,,mg/L,1.4,0.0343,0.0157,2,5,,0.034,0.0348,0.034
,SA008026-013,7.3414,,mg/L,0.6,0.0312,0.0047,2.02,5,,0.0314,0.0313,0.031
,SA008026-014,4.033,,mg/L,2.3,0.0171,0.0057,2.01,5,,0.0171,0.0175,0.0167
,SA008026-015,4.6495,,mg/L,1,0.0199,0.0053,2.03,5,,0.0198,0.0202,0.0198
,PATRON,0.9832,,mg/L,1,0.1016,0.0025,,,,0.1018,0.1026,0.1006
,SA008026-016,4.9023,,mg/L,2,0.0208,0.0053,2.01,5,,0.0208,0.0211,0.0203
,SA008026-017,0.0121,,mg/L,>100,0.0001,0.0009,,5,,-0.0002,0.0005,-0.0001
,SA008026-018,5.57,,mg/L,0.7,0.0237,0.0068,2.02,5,,0.0238,0.0235,0.0238
,SA008026-019,5.6463,,mg/L,0.9,0.0238,0.0048,2,5,,0.0236,0.0241,0.0238
,SA008026-020,5.1608,,mg/L,2.2,0.0217,0.0064,,5,,0.0217,0.0222,0.0212
,PATRON,1.0042,,mg/L,0.6,0.1037,0.0024,,,,0.1031,0.1044,0.1037
,BLANCO,-0.0008,,mg/L,>100,-0.0001,0.0011,,,,-0.0008,0.0002,0.0003
,BLANCO REACTIVO,0,,mg/L,81.6,-0.0006,0,,,,-0.0005,-0.0001,-0.0011
,SA008026-021,3.4005,,mg/L,3.6,0.0145,0.0068,2.02,5,,0.015,0.0145,0.0139
,PATRON,1.0124,,mg/L,0.5,0.1045,0.0027,,,,0.1049,0.104,0.1047
,BLANCO,0.0065,,mg/L,36,0.0007,0.0001,,,,0.0006,0.0009,0.0005
,BLANCO REACTIVO,0,,mg/L,50.1,-0.0006,0.0002,,,,-0.0006,-0.0008,-0.0003
